benchmark,n,signal,auroc,auroc_low,auroc_high
FactStream_f1_fresh3B,600,G0_cling,0.4979058269824478,0.4532115171650055,0.5456730769230769
FactStream_f1_fresh3B,600,G1_contradicted,0.4197845376627302,0.3851052048726467,0.4575757575757576
FactStream_f1_fresh3B,600,M7_velocity_selector,0.4804399922278115,0.4373117262912553,0.5261606415044264
FactStream_f1_fresh3B,600,M5_soft_blend,0.4330728210885382,0.38700133613284976,0.4820261437908497
FactStream_f1_fresh3B,600,M4_cross_item,0.5724756579373476,0.5087607268490512,0.6394571320859541
FactStream_f1_fresh3B,600,M6_agreement_drop,0.5377814719661478,0.49306397306397304,0.58036800675424
FactStream_f1_fresh3B,600,M8_bimodal_split,0.5106543750944537,0.4795653201039452,0.5394345238095238
FactStream_f1_fresh3B,600,M9_selector,0.5004857617824219,0.459,0.5457466437615321
FactStream_f1_fresh8B,600,G0_cling,0.7862005344191373,0.7364130434782609,0.8325892857142857
FactStream_f1_fresh8B,600,G1_contradicted,0.6018895533782924,0.535010865440999,0.6638124649073555
FactStream_f1_fresh8B,600,M7_velocity_selector,0.7394388599058405,0.6838610827374872,0.7899159663865546
FactStream_f1_fresh8B,600,M5_soft_blend,0.6862832421427663,0.6387499568831706,0.7278098739495799
FactStream_f1_fresh8B,600,M4_cross_item,0.43523349026593716,0.36643869891576314,0.5067607188437792
FactStream_f1_fresh8B,600,M6_agreement_drop,0.5053282860414811,0.43521818181818184,0.5721747388414055
FactStream_f1_fresh8B,600,M8_bimodal_split,0.4294439496119099,0.3716311061201572,0.48192171605484296
FactStream_f1_fresh8B,600,M9_selector,0.7627878864995546,0.7044786982402329,0.8155330290386715
