step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,Cascade Group,Kim,Navarro,0,0.6,Kim|Lee|Kim|Kim|Lee
1,pre,Harbour Works,Kim,Quinn,0,0.4,Okafor|Kim|Quinn|Navarro|Kim
2,pre,Dovetail Inc,Kim,Navarro,0,0.4,Petrov|Kim|Kim|Navarro|Navarro
3,pre,Dovetail Inc,Navarro,Navarro,1,0.4,Navarro|Lee|Quinn|Quinn|Navarro
4,pre,Eastgate Trust,Petrov,Navarro,0,0.4,Kim|Petrov|Lee|Petrov|Lee
5,pre,Borealis Ltd,Quinn,Okafor,0,0.4,Petrov|Quinn|Quinn|Navarro|Navarro
6,pre,Cascade Group,Navarro,Navarro,1,0.4,Quinn|Okafor|Kim|Navarro|Navarro
7,pre,Borealis Ltd,Navarro,Okafor,0,0.4,Lee|Quinn|Navarro|Navarro|Okafor
8,pre,Borealis Ltd,Lee,Okafor,0,0.4,Lee|Kim|Okafor|Okafor|Lee
9,pre,Cascade Group,Navarro,Navarro,1,0.6,Navarro|Navarro|Lee|Petrov|Navarro
10,pre,Ivory Systems,Navarro,Petrov,0,0.4,Navarro|Navarro|Kim|Petrov|Okafor
11,pre,Fairwind Co,Kim,Lee,0,0.4,Quinn|Kim|Kim|Navarro|Petrov
12,pre,Acme Corp,Navarro,Petrov,0,0.6,Navarro|Navarro|Lee|Petrov|Navarro
13,pre,Borealis Ltd,Okafor,Okafor,1,0.6,Okafor|Kim|Lee|Okafor|Okafor
14,pre,Cascade Group,Navarro,Navarro,1,1.0,Navarro|Navarro|Navarro|Navarro|Navarro
15,pre,Acme Corp,Quinn,Petrov,0,0.4,Quinn|Lee|Navarro|Okafor|Quinn
16,pre,Borealis Ltd,Okafor,Okafor,1,0.6,Okafor|Kim|Navarro|Okafor|Okafor
17,pre,Acme Corp,Lee,Petrov,0,0.6,Okafor|Lee|Lee|Lee|Okafor
18,pre,Acme Corp,Navarro,Petrov,0,0.4,Navarro|Kim|Navarro|Petrov|Okafor
19,pre,Acme Corp,Navarro,Petrov,0,0.6,Navarro|Navarro|Navarro|Petrov|Kim
20,pre,Keystone Partners,Navarro,Navarro,1,0.8,Kim|Navarro|Navarro|Navarro|Navarro
21,pre,Acme Corp,Okafor,Petrov,0,0.4,Kim|Lee|Petrov|Okafor|Okafor
22,pre,Acme Corp,Quinn,Petrov,0,0.4,Quinn|Navarro|Quinn|Kim|Petrov
23,pre,Acme Corp,Quinn,Petrov,0,0.4,Quinn|Kim|Quinn|Kim|Petrov
24,pre,Fairwind Co,Lee,Lee,1,0.6,Lee|Lee|Petrov|Lee|Navarro
25,pre,Granite Holdings,Navarro,Quinn,0,0.6,Navarro|Navarro|Lee|Lee|Navarro
26,pre,Cascade Group,Navarro,Navarro,1,1.0,Navarro|Navarro|Navarro|Navarro|Navarro
27,pre,Ivory Systems,Navarro,Petrov,0,0.6,Navarro|Navarro|Navarro|Okafor|Lee
28,pre,Acme Corp,Kim,Petrov,0,0.6,Kim|Kim|Navarro|Kim|Petrov
29,pre,Acme Corp,Petrov,Petrov,1,0.4,Petrov|Quinn|Lee|Lee|Petrov
30,pre,Borealis Ltd,Okafor,Okafor,1,0.8,Okafor|Okafor|Lee|Okafor|Okafor
31,pre,Acme Corp,Petrov,Petrov,1,0.8,Quinn|Petrov|Petrov|Petrov|Petrov
32,pre,Acme Corp,Petrov,Petrov,1,1.0,Petrov|Petrov|Petrov|Petrov|Petrov
33,pre,Cascade Group,Navarro,Navarro,1,1.0,Navarro|Navarro|Navarro|Navarro|Navarro
34,pre,Fairwind Co,Lee,Lee,1,0.8,Lee|Lee|Lee|Navarro|Lee
35,pre,Borealis Ltd,Okafor,Okafor,1,1.0,Okafor|Okafor|Okafor|Okafor|Okafor
36,pre,Acme Corp,Petrov,Petrov,1,0.8,Petrov|Petrov|Navarro|Petrov|Petrov
37,pre,Lantern Industries,Navarro,Kim,0,0.4,Navarro|Navarro|Lee|Quinn|Quinn
38,pre,Acme Corp,Petrov,Petrov,1,0.8,Petrov|Petrov|Navarro|Petrov|Petrov
39,pre,Fairwind Co,Lee,Lee,1,0.8,Lee|Lee|Navarro|Lee|Lee
40,pre,Borealis Ltd,Okafor,Okafor,1,1.0,Okafor|Okafor|Okafor|Okafor|Okafor
41,pre,Acme Corp,Petrov,Petrov,1,1.0,Petrov|Petrov|Petrov|Petrov|Petrov
42,pre,Acme Corp,Petrov,Petrov,1,0.8,Petrov|Petrov|Quinn|Petrov|Petrov
43,pre,Acme Corp,Petrov,Petrov,1,0.8,Petrov|Petrov|Quinn|Petrov|Petrov
44,pre,Fairwind Co,Lee,Lee,1,0.8,Lee|Lee|Kim|Lee|Lee
45,pre,Eastgate Trust,Lee,Navarro,0,0.6,Lee|Lee|Okafor|Lee|Okafor
46,pre,Cascade Group,Navarro,Navarro,1,1.0,Navarro|Navarro|Navarro|Navarro|Navarro
47,pre,Dovetail Inc,Navarro,Navarro,1,0.8,Navarro|Navarro|Navarro|Navarro|Lee
48,pre,Cascade Group,Navarro,Navarro,1,0.8,Navarro|Kim|Navarro|Navarro|Navarro
49,pre,Acme Corp,Petrov,Petrov,1,1.0,Petrov|Petrov|Petrov|Petrov|Petrov
50,pre,Cascade Group,Navarro,Navarro,1,0.8,Lee|Navarro|Navarro|Navarro|Navarro
51,pre,Keystone Partners,Navarro,Navarro,1,0.6,Navarro|Okafor|Navarro|Okafor|Navarro
52,pre,Lantern Industries,Lee,Kim,0,0.4,Lee|Quinn|Lee|Quinn|Okafor
53,pre,Granite Holdings,Quinn,Quinn,1,0.4,Quinn|Lee|Quinn|Okafor|Okafor
54,pre,Acme Corp,Petrov,Petrov,1,0.8,Petrov|Petrov|Navarro|Petrov|Petrov
55,pre,Lantern Industries,Quinn,Kim,0,0.4,Navarro|Quinn|Quinn|Okafor|Okafor
56,pre,Keystone Partners,Navarro,Navarro,1,0.6,Navarro|Kim|Navarro|Okafor|Navarro
57,pre,Eastgate Trust,Kim,Navarro,0,0.6,Kim|Kim|Navarro|Kim|Quinn
58,pre,Ivory Systems,Lee,Petrov,0,0.2,Lee|Navarro|Kim|Petrov|Okafor
59,pre,Acme Corp,Petrov,Petrov,1,0.8,Petrov|Petrov|Navarro|Petrov|Petrov
60,post,Lantern Industries,Okafor,Okafor,1,0.4,Kim|Okafor|Navarro|Okafor|Quinn
61,post,Acme Corp,Petrov,Lee,0,0.8,Petrov|Petrov|Navarro|Petrov|Petrov
62,post,Ivory Systems,Quinn,Navarro,0,0.2,Quinn|Lee|Navarro|Kim|Okafor
63,post,Acme Corp,Petrov,Lee,0,0.6,Navarro|Petrov|Navarro|Petrov|Petrov
64,post,Acme Corp,Petrov,Lee,0,0.6,Navarro|Petrov|Navarro|Petrov|Petrov
65,post,Acme Corp,Petrov,Lee,0,0.8,Petrov|Petrov|Navarro|Petrov|Petrov
66,post,Borealis Ltd,Okafor,Kim,0,1.0,Okafor|Okafor|Okafor|Okafor|Okafor
67,post,Eastgate Trust,Navarro,Lee,0,0.4,Navarro|Kim|Lee|Navarro|Quinn
68,post,Acme Corp,Quinn,Lee,0,0.4,Quinn|Kim|Quinn|Navarro|Petrov
69,post,Acme Corp,Petrov,Lee,0,0.8,Petrov|Petrov|Quinn|Petrov|Petrov
70,post,Lantern Industries,Okafor,Okafor,1,0.6,Okafor|Okafor|Navarro|Petrov|Okafor
71,post,Borealis Ltd,Okafor,Kim,0,0.6,Okafor|Kim|Navarro|Okafor|Okafor
72,post,Cascade Group,Navarro,Kim,0,0.8,Quinn|Navarro|Navarro|Navarro|Navarro
73,post,Cascade Group,Navarro,Kim,0,0.8,Navarro|Navarro|Navarro|Kim|Navarro
74,post,Lantern Industries,Okafor,Okafor,1,1.0,Okafor|Okafor|Okafor|Okafor|Okafor
75,post,Acme Corp,Okafor,Lee,0,0.2,Okafor|Kim|Quinn|Lee|Petrov
76,post,Keystone Partners,Navarro,Kim,0,1.0,Navarro|Navarro|Navarro|Navarro|Navarro
77,post,Cascade Group,Navarro,Kim,0,0.6,Navarro|Navarro|Quinn|Kim|Navarro
78,post,Granite Holdings,Quinn,Petrov,0,0.8,Quinn|Quinn|Quinn|Okafor|Quinn
79,post,Acme Corp,Navarro,Lee,0,0.4,Navarro|Lee|Lee|Navarro|Petrov
