step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,Junction Labs,Quinn,Petrov,0,0.6,Quinn|Quinn|Petrov|Quinn|Petrov
1,pre,Cascade Group,Quinn,Kim,0,0.6,Quinn|Petrov|Navarro|Quinn|Quinn
2,pre,Ivory Systems,Petrov,Navarro,0,0.8,Petrov|Petrov|Petrov|Petrov|Quinn
3,pre,Harbour Works,Quinn,Navarro,0,0.6,Petrov|Petrov|Quinn|Quinn|Quinn
4,pre,Borealis Ltd,Petrov,Kim,0,1.0,Petrov|Petrov|Petrov|Petrov|Petrov
5,pre,Junction Labs,Navarro,Petrov,0,0.6,Navarro|Navarro|Petrov|Petrov|Navarro
6,pre,Ivory Systems,Quinn,Navarro,0,1.0,Quinn|Quinn|Quinn|Quinn|Quinn
7,pre,Borealis Ltd,Quinn,Kim,0,1.0,Quinn|Quinn|Quinn|Quinn|Quinn
8,pre,Ivory Systems,Navarro,Navarro,1,1.0,Navarro|Navarro|Navarro|Navarro|Navarro
9,pre,Acme Corp,Quinn,Kim,0,0.4,Quinn|Navarro|Petrov|Quinn|Petrov
10,pre,Acme Corp,Petrov,Kim,0,0.8,Petrov|Petrov|Petrov|Navarro|Petrov
11,pre,Acme Corp,Navarro,Kim,0,0.8,Navarro|Okafor|Navarro|Navarro|Navarro
12,pre,Acme Corp,Okafor,Kim,0,1.0,Okafor|Okafor|Okafor|Okafor|Okafor
13,pre,Acme Corp,Kim,Kim,1,0.8,Lee|Kim|Kim|Kim|Kim
14,pre,Cascade Group,Petrov,Kim,0,0.8,Petrov|Petrov|Petrov|Petrov|Navarro
15,pre,Borealis Ltd,Navarro,Kim,0,0.6,Navarro|Okafor|Navarro|Navarro|Okafor
16,pre,Cascade Group,Navarro,Kim,0,1.0,Navarro|Navarro|Navarro|Navarro|Navarro
17,pre,Cascade Group,Okafor,Kim,0,1.0,Okafor|Okafor|Okafor|Okafor|Okafor
18,pre,Lantern Industries,Quinn,Petrov,0,0.6,Quinn|Navarro|Quinn|Quinn|Petrov
19,pre,Borealis Ltd,Okafor,Kim,0,1.0,Okafor|Okafor|Okafor|Okafor|Okafor
20,pre,Borealis Ltd,Lee,Kim,0,0.6,Lee|Kim|Lee|Lee|Kim
21,pre,Cascade Group,Lee,Kim,0,0.8,Lee|Lee|Lee|Lee|Kim
22,pre,Ivory Systems,Navarro,Navarro,1,1.0,Navarro|Navarro|Navarro|Navarro|Navarro
23,pre,Borealis Ltd,Kim,Kim,1,1.0,Kim|Kim|Kim|Kim|Kim
24,pre,Dovetail Inc,Quinn,Navarro,0,0.6,Quinn|Quinn|Petrov|Quinn|Petrov
25,pre,Borealis Ltd,Kim,Kim,1,1.0,Kim|Kim|Kim|Kim|Kim
26,pre,Harbour Works,Navarro,Navarro,1,0.6,Navarro|Petrov|Petrov|Navarro|Navarro
27,pre,Borealis Ltd,Kim,Kim,1,0.8,Kim|Kim|Petrov|Kim|Kim
28,pre,Keystone Partners,Quinn,Lee,0,0.6,Quinn|Petrov|Navarro|Quinn|Quinn
29,pre,Borealis Ltd,Kim,Kim,1,1.0,Kim|Kim|Kim|Kim|Kim
30,pre,Fairwind Co,Petrov,Quinn,0,0.6,Quinn|Petrov|Petrov|Quinn|Petrov
31,pre,Dovetail Inc,Petrov,Navarro,0,0.6,Petrov|Petrov|Petrov|Navarro|Navarro
32,pre,Acme Corp,Kim,Kim,1,0.8,Kim|Kim|Lee|Kim|Kim
33,pre,Acme Corp,Kim,Kim,1,0.8,Kim|Kim|Lee|Kim|Kim
34,pre,Cascade Group,Kim,Kim,1,1.0,Kim|Kim|Kim|Kim|Kim
35,pre,Cascade Group,Kim,Kim,1,1.0,Kim|Kim|Kim|Kim|Kim
36,pre,Granite Holdings,Petrov,Quinn,0,0.8,Petrov|Petrov|Petrov|Petrov|Kim
37,pre,Dovetail Inc,Navarro,Navarro,1,0.8,Navarro|Okafor|Navarro|Navarro|Navarro
38,pre,Borealis Ltd,Kim,Kim,1,1.0,Kim|Kim|Kim|Kim|Kim
39,pre,Ivory Systems,Navarro,Navarro,1,1.0,Navarro|Navarro|Navarro|Navarro|Navarro
40,pre,Borealis Ltd,Kim,Kim,1,1.0,Kim|Kim|Kim|Kim|Kim
