step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,q4,B,B,1,1.0,B|B|B|B|B
1,pre,q0,B,B,1,1.0,B|B|B|B|B
2,pre,q2,B,B,1,1.0,B|B|B|B|B
3,pre,q9,B,B,1,1.0,B|B|B|B|B
4,pre,q10,A,A,1,1.0,A|A|A|A|A
5,pre,q10,A,A,1,1.0,A|A|A|A|A
6,pre,q0,B,B,1,1.0,B|B|B|B|B
7,pre,q7,B,B,1,1.0,B|B|B|B|B
8,pre,q7,B,B,1,1.0,B|B|B|B|B
9,pre,q9,B,B,1,1.0,B|B|B|B|B
10,pre,q10,A,A,1,1.0,A|A|A|A|A
11,pre,q11,A,A,1,1.0,A|A|A|A|A
12,pre,q4,B,B,1,1.0,B|B|B|B|B
13,pre,q3,A,A,1,1.0,A|A|A|A|A
14,pre,q4,B,B,1,1.0,B|B|B|B|B
15,pre,q5,B,B,1,1.0,B|B|B|B|B
16,pre,q4,B,B,1,1.0,B|B|B|B|B
17,pre,q6,B,B,1,1.0,B|B|B|B|B
18,pre,q1,A,A,1,1.0,A|A|A|A|A
19,pre,q5,B,B,1,1.0,B|B|B|B|B
20,pre,q7,B,B,1,1.0,B|B|B|B|B
21,pre,q6,B,B,1,1.0,B|B|B|B|B
22,pre,q8,A,A,1,1.0,A|A|A|A|A
23,pre,q10,A,A,1,1.0,A|A|A|A|A
24,pre,q2,B,B,1,1.0,B|B|B|B|B
25,pre,q9,B,B,1,1.0,B|B|B|B|B
26,pre,q4,B,B,1,1.0,B|B|B|B|B
27,pre,q9,B,B,1,1.0,B|B|B|B|B
28,pre,q0,B,B,1,1.0,B|B|B|B|B
29,pre,q4,B,B,1,1.0,B|B|B|B|B
30,pre,q1,A,A,1,1.0,A|A|A|A|A
31,pre,q0,B,B,1,1.0,B|B|B|B|B
32,pre,q8,A,A,1,1.0,A|A|A|A|A
33,pre,q5,B,B,1,1.0,B|B|B|B|B
34,pre,q3,A,A,1,1.0,A|A|A|A|A
35,pre,q7,B,B,1,1.0,B|B|B|B|B
36,pre,q2,B,B,1,1.0,B|B|B|B|B
37,pre,q4,B,B,1,1.0,B|B|B|B|B
38,pre,q4,B,B,1,1.0,B|B|B|B|B
39,pre,q5,B,B,1,1.0,B|B|B|B|B
40,pre,q7,B,B,1,1.0,B|B|B|B|B
41,pre,q7,B,B,1,1.0,B|B|B|B|B
42,pre,q1,A,A,1,1.0,A|A|A|A|A
43,pre,q2,B,B,1,1.0,B|B|B|B|B
44,pre,q11,A,A,1,1.0,A|A|A|A|A
45,pre,q7,B,B,1,1.0,B|B|B|B|B
46,pre,q11,A,A,1,1.0,A|A|A|A|A
47,pre,q0,B,B,1,1.0,B|B|B|B|B
48,pre,q7,B,B,1,1.0,B|B|B|B|B
49,pre,q7,B,B,1,1.0,B|B|B|B|B
50,pre,q0,B,B,1,1.0,B|B|B|B|B
51,pre,q7,B,B,1,1.0,B|B|B|B|B
52,pre,q11,A,A,1,1.0,A|A|A|A|A
53,pre,q1,A,A,1,1.0,A|A|A|A|A
54,pre,q7,B,B,1,1.0,B|B|B|B|B
55,pre,q9,B,B,1,1.0,B|B|B|B|B
56,pre,q1,A,A,1,1.0,A|A|A|A|A
57,pre,q7,B,B,1,1.0,B|B|B|B|B
58,pre,q10,A,A,1,1.0,A|A|A|A|A
59,pre,q0,B,B,1,1.0,B|B|B|B|B
60,post,q2,B,B,1,1.0,B|B|B|B|B
61,post,q11,A,A,1,1.0,A|A|A|A|A
62,post,q3,A,B,0,1.0,A|A|A|A|A
63,post,q6,B,A,0,1.0,B|B|B|B|B
64,post,q5,B,A,0,1.0,B|B|B|B|B
65,post,q0,B,A,0,1.0,B|B|B|B|B
66,post,q8,A,A,1,1.0,A|A|A|A|A
67,post,q0,B,A,0,1.0,B|B|B|B|B
68,post,q10,A,B,0,1.0,A|A|A|A|A
69,post,q10,A,B,0,1.0,A|A|A|A|A
70,post,q6,B,A,0,1.0,B|B|B|B|B
71,post,q9,B,B,1,1.0,B|B|B|B|B
72,post,q5,B,A,0,1.0,B|B|B|B|B
73,post,q7,B,A,0,1.0,B|B|B|B|B
74,post,q8,A,A,1,1.0,A|A|A|A|A
75,post,q10,A,B,0,1.0,A|A|A|A|A
76,post,q10,A,B,0,0.8,A|A|B|A|A
77,post,q10,B,B,1,1.0,B|B|B|B|B
78,post,q1,A,B,0,1.0,A|A|A|A|A
79,post,q3,A,B,0,1.0,A|A|A|A|A
