step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,q5,B,B,1,1.0,B|B|B|B|B
1,pre,q0,B,A,0,1.0,B|B|B|B|B
2,pre,q0,A,A,1,1.0,A|A|A|A|A
3,pre,q0,A,A,1,1.0,A|A|A|A|A
4,pre,q10,B,B,1,1.0,B|B|B|B|B
5,pre,q8,B,B,1,1.0,B|B|B|B|B
6,pre,q0,A,A,1,1.0,A|A|A|A|A
7,pre,q6,B,A,0,1.0,B|B|B|B|B
8,pre,q10,B,B,1,1.0,B|B|B|B|B
9,pre,q3,B,B,1,1.0,B|B|B|B|B
10,pre,q6,A,A,1,0.8,A|A|A|A|B
11,pre,q11,A,A,1,0.8,A|A|A|B|A
12,pre,q0,A,A,1,1.0,A|A|A|A|A
13,pre,q8,B,B,1,1.0,B|B|B|B|B
14,pre,q3,B,B,1,1.0,B|B|B|B|B
15,pre,q7,B,B,1,1.0,B|B|B|B|B
16,pre,q7,B,B,1,1.0,B|B|B|B|B
17,pre,q8,B,B,1,1.0,B|B|B|B|B
18,pre,q3,B,B,1,1.0,B|B|B|B|B
19,pre,q5,B,B,1,1.0,B|B|B|B|B
20,pre,q3,B,B,1,1.0,B|B|B|B|B
21,pre,q10,B,B,1,1.0,B|B|B|B|B
22,pre,q3,B,B,1,1.0,B|B|B|B|B
23,pre,q7,B,B,1,1.0,B|B|B|B|B
24,pre,q4,B,A,0,1.0,B|B|B|B|B
25,pre,q0,A,A,1,1.0,A|A|A|A|A
26,pre,q6,A,A,1,1.0,A|A|A|A|A
27,pre,q8,B,B,1,1.0,B|B|B|B|B
28,pre,q10,B,B,1,1.0,B|B|B|B|B
29,pre,q1,B,A,0,0.6,A|A|B|B|B
30,pre,q2,B,B,1,1.0,B|B|B|B|B
31,pre,q10,B,B,1,1.0,B|B|B|B|B
32,pre,q11,A,A,1,1.0,A|A|A|A|A
33,pre,q4,A,A,1,1.0,A|A|A|A|A
34,pre,q1,A,A,1,1.0,A|A|A|A|A
35,pre,q11,A,A,1,1.0,A|A|A|A|A
36,pre,q5,B,B,1,1.0,B|B|B|B|B
37,pre,q11,A,A,1,1.0,A|A|A|A|A
38,pre,q11,A,A,1,1.0,A|A|A|A|A
39,pre,q8,B,B,1,1.0,B|B|B|B|B
40,pre,q6,A,A,1,1.0,A|A|A|A|A
41,pre,q8,B,B,1,1.0,B|B|B|B|B
42,pre,q10,B,B,1,1.0,B|B|B|B|B
43,pre,q3,B,B,1,1.0,B|B|B|B|B
44,pre,q4,A,A,1,1.0,A|A|A|A|A
45,pre,q4,A,A,1,1.0,A|A|A|A|A
46,pre,q9,B,A,0,1.0,B|B|B|B|B
47,pre,q7,B,B,1,1.0,B|B|B|B|B
48,pre,q8,B,B,1,1.0,B|B|B|B|B
49,pre,q6,A,A,1,1.0,A|A|A|A|A
50,pre,q9,A,A,1,0.8,A|A|B|A|A
51,pre,q0,A,A,1,1.0,A|A|A|A|A
52,pre,q7,B,B,1,1.0,B|B|B|B|B
53,pre,q3,B,B,1,1.0,B|B|B|B|B
54,pre,q11,A,A,1,1.0,A|A|A|A|A
55,pre,q6,A,A,1,1.0,A|A|A|A|A
56,pre,q6,A,A,1,1.0,A|A|A|A|A
57,pre,q10,B,B,1,1.0,B|B|B|B|B
58,pre,q2,B,B,1,1.0,B|B|B|B|B
59,pre,q5,B,B,1,1.0,B|B|B|B|B
60,post,q8,B,B,1,1.0,B|B|B|B|B
61,post,q11,A,A,1,1.0,A|A|A|A|A
62,post,q10,B,A,0,1.0,B|B|B|B|B
63,post,q11,A,A,1,1.0,A|A|A|A|A
64,post,q5,B,A,0,1.0,B|B|B|B|B
65,post,q1,A,B,0,1.0,A|A|A|A|A
66,post,q7,B,B,1,1.0,B|B|B|B|B
67,post,q10,B,A,0,1.0,B|B|B|B|B
68,post,q8,B,B,1,1.0,B|B|B|B|B
69,post,q1,A,B,0,1.0,A|A|A|A|A
70,post,q2,B,A,0,1.0,B|B|B|B|B
71,post,q8,B,B,1,1.0,B|B|B|B|B
72,post,q6,A,B,0,1.0,A|A|A|A|A
73,post,q5,B,A,0,1.0,B|B|B|B|B
74,post,q7,B,B,1,1.0,B|B|B|B|B
75,post,q11,A,A,1,1.0,A|A|A|A|A
76,post,q0,A,A,1,1.0,A|A|A|A|A
77,post,q7,B,B,1,1.0,B|B|B|B|B
78,post,q0,A,A,1,1.0,A|A|A|A|A
79,post,q4,A,B,0,1.0,A|A|A|A|A
