step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,q2,B,B,1,1.0,B|B|B|B|B
1,pre,q9,A,A,1,1.0,A|A|A|A|A
2,pre,q0,A,A,1,0.8,A|A|A|B|A
3,pre,q8,A,A,1,1.0,A|A|A|A|A
4,pre,q1,A,A,1,1.0,A|A|A|A|A
5,pre,q0,A,A,1,1.0,A|A|A|A|A
6,pre,q0,A,A,1,1.0,A|A|A|A|A
7,pre,q3,A,B,0,1.0,A|A|A|A|A
8,pre,q3,B,B,1,1.0,B|B|B|B|B
9,pre,q9,A,A,1,1.0,A|A|A|A|A
10,pre,q0,A,A,1,1.0,A|A|A|A|A
11,pre,q7,B,B,1,1.0,B|B|B|B|B
12,pre,q5,A,A,1,1.0,A|A|A|A|A
13,pre,q7,B,B,1,1.0,B|B|B|B|B
14,pre,q9,A,A,1,1.0,A|A|A|A|A
15,pre,q3,B,B,1,1.0,B|B|B|B|B
16,pre,q8,A,A,1,1.0,A|A|A|A|A
17,pre,q3,B,B,1,1.0,B|B|B|B|B
18,pre,q10,A,A,1,1.0,A|A|A|A|A
19,pre,q4,B,B,1,1.0,B|B|B|B|B
20,pre,q7,B,B,1,1.0,B|B|B|B|B
21,pre,q0,A,A,1,1.0,A|A|A|A|A
22,pre,q10,A,A,1,1.0,A|A|A|A|A
23,pre,q1,A,A,1,1.0,A|A|A|A|A
24,pre,q7,B,B,1,1.0,B|B|B|B|B
25,pre,q10,A,A,1,1.0,A|A|A|A|A
26,pre,q4,B,B,1,1.0,B|B|B|B|B
27,pre,q6,A,A,1,1.0,A|A|A|A|A
28,pre,q8,A,A,1,1.0,A|A|A|A|A
29,pre,q1,A,A,1,1.0,A|A|A|A|A
30,pre,q11,A,A,1,1.0,A|A|A|A|A
31,pre,q4,B,B,1,1.0,B|B|B|B|B
32,pre,q5,A,A,1,1.0,A|A|A|A|A
33,pre,q3,B,B,1,1.0,B|B|B|B|B
34,pre,q8,A,A,1,1.0,A|A|A|A|A
35,pre,q4,B,B,1,1.0,B|B|B|B|B
36,pre,q0,A,A,1,1.0,A|A|A|A|A
37,pre,q1,A,A,1,1.0,A|A|A|A|A
38,pre,q9,A,A,1,1.0,A|A|A|A|A
39,pre,q1,A,A,1,1.0,A|A|A|A|A
40,pre,q6,A,A,1,1.0,A|A|A|A|A
41,pre,q1,A,A,1,1.0,A|A|A|A|A
42,pre,q4,B,B,1,1.0,B|B|B|B|B
43,pre,q6,A,A,1,1.0,A|A|A|A|A
44,pre,q1,A,A,1,1.0,A|A|A|A|A
45,pre,q0,A,A,1,1.0,A|A|A|A|A
46,pre,q10,A,A,1,1.0,A|A|A|A|A
47,pre,q0,A,A,1,1.0,A|A|A|A|A
48,pre,q3,B,B,1,1.0,B|B|B|B|B
49,pre,q3,B,B,1,1.0,B|B|B|B|B
50,pre,q0,A,A,1,1.0,A|A|A|A|A
51,pre,q7,B,B,1,1.0,B|B|B|B|B
52,pre,q6,A,A,1,1.0,A|A|A|A|A
53,pre,q11,A,A,1,1.0,A|A|A|A|A
54,pre,q6,A,A,1,1.0,A|A|A|A|A
55,pre,q6,A,A,1,1.0,A|A|A|A|A
56,pre,q1,A,A,1,1.0,A|A|A|A|A
57,pre,q9,A,A,1,1.0,A|A|A|A|A
58,pre,q10,A,A,1,1.0,A|A|A|A|A
59,pre,q3,B,B,1,1.0,B|B|B|B|B
60,post,q10,A,B,0,1.0,A|A|A|A|A
61,post,q4,B,A,0,1.0,B|B|B|B|B
62,post,q5,A,A,1,1.0,A|A|A|A|A
63,post,q1,A,B,0,1.0,A|A|A|A|A
64,post,q4,B,A,0,1.0,B|B|B|B|B
65,post,q5,A,A,1,1.0,A|A|A|A|A
66,post,q0,A,A,1,1.0,A|A|A|A|A
67,post,q6,A,A,1,1.0,A|A|A|A|A
68,post,q1,A,B,0,1.0,A|A|A|A|A
69,post,q2,B,B,1,1.0,B|B|B|B|B
70,post,q3,B,A,0,1.0,B|B|B|B|B
71,post,q11,A,B,0,1.0,A|A|A|A|A
72,post,q1,A,B,0,1.0,A|A|A|A|A
73,post,q0,A,A,1,1.0,A|A|A|A|A
74,post,q0,A,A,1,1.0,A|A|A|A|A
75,post,q7,B,A,0,1.0,B|B|B|B|B
76,post,q7,B,A,0,1.0,B|B|B|B|B
77,post,q2,B,B,1,1.0,B|B|B|B|B
78,post,q10,A,B,0,1.0,A|A|A|A|A
79,post,q8,A,B,0,1.0,A|A|A|A|A
