step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,q8,B,A,0,1.0,B|B|B|B|B
1,pre,q3,A,B,0,1.0,A|A|A|A|A
2,pre,q10,B,B,1,1.0,B|B|B|B|B
3,pre,q7,A,A,1,1.0,A|A|A|A|A
4,pre,q3,B,B,1,1.0,B|B|B|B|B
5,pre,q11,B,B,1,1.0,B|B|B|B|B
6,pre,q4,A,A,1,1.0,A|A|A|A|A
7,pre,q4,A,A,1,1.0,A|A|A|A|A
8,pre,q0,B,A,0,0.6,B|A|B|B|A
9,pre,q5,A,A,1,1.0,A|A|A|A|A
10,pre,q6,B,B,1,1.0,B|B|B|B|B
11,pre,q3,B,B,1,1.0,B|B|B|B|B
12,pre,q11,B,B,1,1.0,B|B|B|B|B
13,pre,q6,B,B,1,1.0,B|B|B|B|B
14,pre,q8,A,A,1,0.8,B|A|A|A|A
15,pre,q5,A,A,1,1.0,A|A|A|A|A
16,pre,q9,B,B,1,1.0,B|B|B|B|B
17,pre,q9,B,B,1,1.0,B|B|B|B|B
18,pre,q8,A,A,1,1.0,A|A|A|A|A
19,pre,q4,A,A,1,1.0,A|A|A|A|A
20,pre,q4,A,A,1,1.0,A|A|A|A|A
21,pre,q9,B,B,1,1.0,B|B|B|B|B
22,pre,q11,B,B,1,1.0,B|B|B|B|B
23,pre,q4,A,A,1,1.0,A|A|A|A|A
24,pre,q8,A,A,1,1.0,A|A|A|A|A
25,pre,q1,B,B,1,1.0,B|B|B|B|B
26,pre,q4,A,A,1,1.0,A|A|A|A|A
27,pre,q7,A,A,1,1.0,A|A|A|A|A
28,pre,q9,B,B,1,1.0,B|B|B|B|B
29,pre,q8,A,A,1,1.0,A|A|A|A|A
30,pre,q2,B,A,0,1.0,B|B|B|B|B
31,pre,q7,A,A,1,1.0,A|A|A|A|A
32,pre,q10,B,B,1,1.0,B|B|B|B|B
33,pre,q10,B,B,1,1.0,B|B|B|B|B
34,pre,q2,A,A,1,0.6,B|A|B|A|A
35,pre,q3,B,B,1,1.0,B|B|B|B|B
36,pre,q3,B,B,1,1.0,B|B|B|B|B
37,pre,q10,B,B,1,1.0,B|B|B|B|B
38,pre,q10,B,B,1,1.0,B|B|B|B|B
39,pre,q6,B,B,1,1.0,B|B|B|B|B
40,pre,q2,A,A,1,1.0,A|A|A|A|A
41,pre,q6,B,B,1,1.0,B|B|B|B|B
42,pre,q8,A,A,1,0.8,B|A|A|A|A
43,pre,q7,A,A,1,1.0,A|A|A|A|A
44,pre,q9,B,B,1,1.0,B|B|B|B|B
45,pre,q1,B,B,1,1.0,B|B|B|B|B
46,pre,q11,B,B,1,1.0,B|B|B|B|B
47,pre,q3,B,B,1,1.0,B|B|B|B|B
48,pre,q9,B,B,1,1.0,B|B|B|B|B
49,pre,q4,A,A,1,1.0,A|A|A|A|A
50,pre,q8,A,A,1,0.8,B|A|A|A|A
51,pre,q5,A,A,1,1.0,A|A|A|A|A
52,pre,q10,B,B,1,1.0,B|B|B|B|B
53,pre,q8,A,A,1,0.8,B|A|A|A|A
54,pre,q7,A,A,1,1.0,A|A|A|A|A
55,pre,q1,B,B,1,1.0,B|B|B|B|B
56,pre,q7,A,A,1,1.0,A|A|A|A|A
57,pre,q2,A,A,1,0.8,B|A|A|A|A
58,pre,q7,A,A,1,1.0,A|A|A|A|A
59,pre,q2,A,A,1,0.8,B|A|A|A|A
60,post,q7,A,B,0,1.0,A|A|A|A|A
61,post,q1,B,A,0,1.0,B|B|B|B|B
62,post,q3,B,A,0,1.0,B|B|B|B|B
63,post,q10,B,A,0,1.0,B|B|B|B|B
64,post,q1,B,A,0,1.0,B|B|B|B|B
65,post,q8,A,B,0,0.8,B|A|A|A|A
66,post,q5,A,B,0,1.0,A|A|A|A|A
67,post,q3,B,A,0,1.0,B|B|B|B|B
68,post,q10,B,A,0,1.0,B|B|B|B|B
69,post,q6,B,A,0,1.0,B|B|B|B|B
70,post,q9,B,A,0,1.0,B|B|B|B|B
71,post,q8,B,B,1,1.0,B|B|B|B|B
72,post,q10,B,A,0,1.0,B|B|B|B|B
73,post,q8,B,B,1,1.0,B|B|B|B|B
74,post,q0,A,B,0,1.0,A|A|A|A|A
75,post,q2,A,B,0,0.6,B|A|B|A|A
76,post,q11,B,A,0,1.0,B|B|B|B|B
77,post,q1,B,A,0,1.0,B|B|B|B|B
78,post,q7,A,B,0,1.0,A|A|A|A|A
79,post,q6,B,A,0,1.0,B|B|B|B|B
