label,gate,episodes,episodes_fired,n_leads,mean_lead,lead_low,lead_high,frac_positive_lead,false_alarm_rate,unfailing_cues
RuleShift_3B_ov0,G0_cling,30,30,83,1.2409638554216869,0.7831325301204819,1.6987951807228916,0.5421686746987951,0.0,7
RuleShift_3B_ov0,G1_contradicted,30,30,83,-0.4457831325301205,-0.9518072289156626,0.0963855421686747,0.30120481927710846,0.14285714285714285,7
RuleShift_3B_ov1,G0_cling,30,30,79,0.8227848101265823,0.26582278481012656,1.379746835443038,0.5063291139240507,0.6363636363636364,11
RuleShift_3B_ov1,G1_contradicted,30,29,77,-0.24675324675324675,-0.8181818181818182,0.33766233766233766,0.35064935064935066,0.18181818181818182,11
RuleShift_3B_ov2,G0_cling,30,30,67,2.1343283582089554,1.507462686567164,2.746268656716418,0.7014925373134329,1.0,23
RuleShift_3B_ov2,G1_contradicted,30,27,60,0.5833333333333334,-0.016666666666666666,1.2166666666666666,0.43333333333333335,0.0,23
RuleShift_8B_ov0,G0_cling,30,29,82,0.9146341463414634,0.45121951219512196,1.3658536585365855,0.5365853658536586,0.16666666666666666,6
RuleShift_8B_ov0,G1_contradicted,30,30,84,-0.25,-0.7142857142857143,0.23809523809523808,0.2976190476190476,0.16666666666666666,6
RuleShift_8B_ov1,G0_cling,30,30,70,1.7571428571428571,1.2,2.3285714285714287,0.6285714285714286,0.95,20
RuleShift_8B_ov1,G1_contradicted,30,29,68,-0.5147058823529411,-1.1470588235294117,0.11764705882352941,0.29411764705882354,0.05,20
RuleShift_8B_ov2,G0_cling,30,30,52,1.7692307692307692,1.1730769230769231,2.3653846153846154,0.6730769230769231,0.9473684210526315,38
RuleShift_8B_ov2,G1_contradicted,30,28,49,-0.2653061224489796,-1,0.4489795918367347,0.2653061224489796,0.05263157894736842,38
RuleShift_70B_ov0,G0_cling,30,30,86,1.6511627906976745,1.244186046511628,2.0697674418604652,0.6511627906976745,0.0,4
RuleShift_70B_ov0,G1_contradicted,30,13,37,-1.2702702702702702,-1.9189189189189189,-0.5945945945945946,0.21621621621621623,0.0,4
RuleShift_70B_ov1,G0_cling,30,30,60,1.6333333333333333,1.1833333333333333,2.1333333333333333,0.6666666666666666,1.0,30
RuleShift_70B_ov1,G1_contradicted,30,13,26,-2,-2.5,-1.4615384615384615,0.038461538461538464,0.0,30
RuleShift_70B_ov2,G0_cling,30,30,30,1.6333333333333333,1.0333333333333334,2.3333333333333335,0.6666666666666666,1.0,60
RuleShift_70B_ov2,G1_contradicted,30,5,5,-2.8,-4,-1.8,0.0,0.0,60
FactStream_70B,G0_cling,30,30,229,5.755458515283843,5.065502183406114,6.454148471615721,0.8209606986899564,0.02586206896551724,116
FactStream_70B,G1_contradicted,30,30,229,2.572052401746725,1.7816593886462881,3.353711790393013,0.5676855895196506,0.0,116
TruthfulQA_f1_fresh,G0_cling,30,30,192,3.6197916666666665,3.2135416666666665,4.020833333333333,0.84375,0.07228915662650602,166
TruthfulQA_f1_fresh,G1_contradicted,30,30,192,0.8177083333333334,0.3072916666666667,1.3125,0.5520833333333334,0.0963855421686747,166
TruthfulQA_f07_fresh,G0_cling,30,30,130,3.6923076923076925,3.223076923076923,4.176923076923077,0.8461538461538461,0.32456140350877194,228
TruthfulQA_f07_fresh,G1_contradicted,30,27,118,-0.288135593220339,-0.864406779661017,0.2966101694915254,0.4067796610169492,0.03070175438596491,228
TreeCut_f07_fresh,G0_cling,30,30,132,3.734848484848485,3.2803030303030303,4.2272727272727275,0.8560606060606061,0.30973451327433627,226
TreeCut_f07_fresh,G1_contradicted,30,26,116,-1.1637931034482758,-1.706896551724138,-0.603448275862069,0.3275862068965517,0.0,226
HotpotQA_f07_fresh,G0_cling,30,30,132,3.742424242424242,3.257575757575758,4.21969696969697,0.8560606060606061,0.3230088495575221,226
HotpotQA_f07_fresh,G1_contradicted,30,26,116,-1.1724137931034482,-1.7327586206896552,-0.5948275862068966,0.3275862068965517,0.004424778761061947,226
