label,n,fixed_mean_cling,fixed_ci_low,fixed_ci_high,fixed_censored_rate,relative_mean_cling,relative_ci_low,relative_ci_high,relative_censored_rate,mean_agreement_change,min_group_post_agreement
RuleShift_3B_ov1,30,1.8275862068965518,1.2758620689655173,2.413793103448276,0.03333333333333333,1.8275862068965518,1.2758620689655173,2.413793103448276,0.03333333333333333,-0.021666666666666664,0.4
RuleShift_3B_ov0,30,1.9,1.2,2.6333333333333333,0,1.896551724137931,1.206896551724138,2.6206896551724137,0.03333333333333333,-0.02083333333333332,0.4
RuleShift_8B_ov0,30,2.5384615384615383,1.7692307692307692,3.3846153846153846,0.13333333333333333,2.269230769230769,1.5384615384615385,3.0384615384615383,0.13333333333333333,-0.036666666666666674,0.4
RuleShift_8B_ov1,30,2.3846153846153846,1.7307692307692308,3.076923076923077,0.13333333333333333,2.3846153846153846,1.7307692307692308,3.076923076923077,0.13333333333333333,-0.0024999999999999836,0.4
RuleShift_8B_ov2,30,2.526315789473684,1.5789473684210527,3.5789473684210527,0.36666666666666664,2.55,1.65,3.55,0.3333333333333333,0.013333333333333319,0.4
RuleShift_70B_ov0,30,3.3333333333333335,2.5833333333333335,4.166666666666667,0.6,2.5833333333333335,2.125,3.0833333333333335,0.2,-0.04833333333333336,0.4
RuleShift_70B_ov1,30,4.166666666666667,3.1666666666666665,5.166666666666667,0.8,3.1739130434782608,2.652173913043478,3.739130434782609,0.23333333333333334,-0.03583333333333334,0.4
RuleShift_70B_ov2,30,1.75,1.25,2.0,0.8666666666666667,2.8421052631578947,2.210526315789474,3.526315789473684,0.36666666666666664,-0.023333333333333338,0.4
FactStream_70B,30,7.068965517241379,5.379310344827586,8.862068965517242,0.03333333333333333,2.8333333333333335,2.1666666666666665,3.6666666666666665,0,-0.15866666666666668,0.2
RuleShift_3B_ov2,30,1.3333333333333333,0.8148148148148148,1.8888888888888888,0.1,1.3461538461538463,0.7692307692307693,1.9615384615384615,0.13333333333333333,0.008333333333333333,0.4
