step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,red,A,C,0,0.4,A|A|B|C|B
1,pre,red,A,C,0,0.6,B|A|B|A|A
2,pre,blue,C,B,0,0.6,C|C|A|C|B
3,pre,red,C,C,1,0.6,C|A|C|A|C
4,pre,green,B,A,0,0.6,B|B|A|A|B
5,pre,red,B,C,0,0.6,B|C|B|C|B
6,pre,red,A,C,0,0.6,A|C|B|A|A
7,pre,red,A,C,0,0.4,A|B|A|C|C
8,pre,red,A,C,0,0.8,A|A|A|A|C
9,pre,red,A,C,0,0.6,A|A|B|C|A
10,post,green,C,B,0,0.4,C|A|B|A|C
11,post,blue,C,A,0,0.8,C|B|C|C|C
12,post,green,C,B,0,0.4,C|C|B|A|A
13,post,blue,C,A,0,0.6,C|C|C|A|B
14,post,red,B,A,0,0.6,B|A|B|C|B
15,post,blue,A,A,1,0.4,A|C|A|B|C
16,post,blue,B,A,0,0.4,B|A|B|C|A
17,post,green,A,B,0,0.6,A|B|A|B|A
18,post,red,A,A,1,0.4,A|C|B|B|A
19,post,green,B,B,1,0.6,A|B|B|C|B
