step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,blue,A,B,0,0.4,A|B|A|C|B
1,pre,green,B,A,0,0.6,B|B|B|A|A
2,pre,blue,C,B,0,0.4,C|B|C|A|A
3,pre,red,B,C,0,0.6,A|B|A|B|B
4,pre,blue,A,B,0,0.4,B|A|C|A|C
5,pre,red,A,C,0,0.4,A|C|B|A|B
6,pre,red,C,C,1,0.4,C|C|A|A|B
7,pre,red,C,C,1,0.6,C|B|C|B|C
8,pre,green,C,A,0,0.6,C|B|C|C|B
9,pre,red,A,C,0,0.4,A|C|B|A|B
10,pre,blue,B,B,1,0.4,B|B|A|A|C
11,pre,blue,B,B,1,0.6,C|B|B|B|C
12,pre,red,B,C,0,0.6,B|B|A|B|A
13,pre,blue,A,B,0,0.6,A|B|A|C|A
14,pre,red,B,C,0,0.8,B|A|B|B|B
15,pre,red,C,C,1,0.6,B|C|C|C|B
16,pre,green,A,A,1,0.6,A|B|A|A|B
17,pre,blue,C,B,0,0.4,A|C|B|B|C
18,pre,green,C,A,0,0.6,A|C|C|A|C
19,pre,red,B,C,0,0.6,C|C|B|B|B
