step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,blue,B,B,1,0.6,B|B|A|B|?
1,pre,blue,B,B,1,0.6,A|B|B|B|C
2,pre,blue,B,B,1,0.6,B|B|B|C|C
3,pre,red,A,C,0,0.4,A|A|B|C|C
4,pre,blue,B,B,1,0.8,B|A|B|B|B
5,pre,green,B,A,0,0.4,B|A|B|A|C
6,pre,green,A,A,1,0.4,B|A|A|C|?
7,pre,red,B,C,0,0.6,B|B|C|C|B
8,pre,red,B,C,0,0.6,B|C|B|A|B
9,pre,green,B,A,0,0.6,B|B|A|A|B
10,post,blue,B,A,0,0.6,B|B|B|A|A
11,post,green,A,B,0,1.0,A|A|A|A|A
12,post,blue,B,A,0,0.4,B|A|B|A|C
13,post,green,A,B,0,0.8,A|A|A|A|C
14,post,green,B,B,1,0.4,B|B|A|A|C
15,post,blue,B,A,0,0.4,B|A|B|A|C
16,post,red,C,A,0,0.4,?|C|A|A|C
17,post,green,B,B,1,0.6,B|B|B|A|C
18,post,red,C,A,0,0.6,C|C|A|A|C
19,post,green,A,B,0,0.6,A|B|A|A|C
