step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,blue,B,B,1,0.4,B|A|B|A|?
1,pre,red,C,C,1,0.8,A|C|C|C|C
2,pre,blue,A,B,0,0.6,A|A|A|B|B
3,pre,green,A,A,1,0.6,A|A|B|B|A
4,pre,red,C,C,1,0.6,C|C|B|B|C
5,pre,red,A,C,0,0.4,B|A|A|C|C
6,pre,blue,B,B,1,0.6,A|B|B|B|A
7,pre,blue,B,B,1,1.0,B|B|B|B|B
8,pre,blue,B,B,1,0.8,B|A|B|B|B
9,pre,blue,B,B,1,0.8,B|B|B|B|C
10,pre,red,C,C,1,0.6,C|B|C|C|A
11,pre,green,A,A,1,0.6,A|B|A|B|A
12,pre,red,A,C,0,0.4,B|A|A|C|C
13,pre,blue,B,B,1,1.0,B|B|B|B|B
14,pre,blue,B,B,1,0.6,B|B|B|?|C
15,pre,green,A,A,1,0.6,A|A|A|C|C
16,pre,green,A,A,1,0.4,A|B|C|A|B
17,pre,red,B,C,0,0.8,B|B|B|B|C
18,pre,red,B,C,0,0.4,A|B|B|C|C
19,pre,blue,B,B,1,0.8,B|B|B|B|?
