path,condition,seed,step,phase,cue,chosen,correct,reward,wrong,agreement,entropy,high_agreement,low_entropy,confident_wrong_agreement,confident_wrong_entropy,confident_wrong,window,branches
traces/stage2_final/shift_seed0.csv,shift,0,0,pre,red,B,C,0,1,0.400,1.522,0,0,0,0,0,other,B|A|C|C|B
traces/stage2_final/shift_seed0.csv,shift,0,1,pre,red,B,C,0,1,0.400,1.922,0,0,0,0,0,other,B|A|C|?|B
traces/stage2_final/shift_seed0.csv,shift,0,2,pre,blue,B,B,1,0,0.400,1.522,0,0,0,0,0,other,C|B|A|A|B
traces/stage2_final/shift_seed0.csv,shift,0,3,pre,red,C,C,1,0,0.800,0.722,1,1,0,0,0,other,C|B|C|C|C
traces/stage2_final/shift_seed0.csv,shift,0,4,pre,green,A,A,1,0,0.800,0.722,1,1,0,0,0,other,A|A|A|A|C
traces/stage2_final/shift_seed0.csv,shift,0,5,pre,red,B,C,0,1,0.600,1.371,0,0,0,0,0,pre,B|B|B|A|C
traces/stage2_final/shift_seed0.csv,shift,0,6,pre,red,C,C,1,0,0.400,1.522,0,0,0,0,0,pre,C|B|C|B|?
traces/stage2_final/shift_seed0.csv,shift,0,7,pre,red,C,C,1,0,0.600,0.971,0,0,0,0,0,pre,B|C|C|C|B
traces/stage2_final/shift_seed0.csv,shift,0,8,pre,red,C,C,1,0,0.800,0.722,1,1,0,0,0,pre,C|C|C|B|C
traces/stage2_final/shift_seed0.csv,shift,0,9,pre,red,C,C,1,0,1.000,0.000,1,1,0,0,0,pre,C|C|C|C|C
traces/stage2_final/shift_seed0.csv,shift,0,10,post,green,A,B,0,1,1.000,0.000,1,1,1,1,1,post,A|A|A|A|A
traces/stage2_final/shift_seed0.csv,shift,0,11,post,blue,B,A,0,1,0.800,0.722,1,1,1,1,1,post,B|B|A|B|B
traces/stage2_final/shift_seed0.csv,shift,0,12,post,green,A,B,0,1,0.800,0.722,1,1,1,1,1,post,A|A|A|A|B
traces/stage2_final/shift_seed0.csv,shift,0,13,post,blue,B,A,0,1,0.600,0.971,0,0,0,0,0,post,B|A|A|B|B
traces/stage2_final/shift_seed0.csv,shift,0,14,post,red,A,A,1,0,0.400,1.522,0,0,0,0,0,post,A|B|C|C|A
traces/stage2_final/shift_seed0.csv,shift,0,15,post,blue,A,A,1,0,0.600,1.371,0,0,0,0,0,other,A|B|A|C|A
traces/stage2_final/shift_seed0.csv,shift,0,16,post,blue,A,A,1,0,0.800,0.722,1,1,0,0,0,other,B|A|A|A|A
traces/stage2_final/shift_seed0.csv,shift,0,17,post,green,B,B,1,0,0.600,1.371,0,0,0,0,0,other,C|B|A|B|B
traces/stage2_final/shift_seed0.csv,shift,0,18,post,red,B,A,0,1,0.400,1.922,0,0,0,0,0,other,B|B|A|C|?
traces/stage2_final/shift_seed0.csv,shift,0,19,post,green,?,B,0,1,0.400,1.922,0,0,0,0,0,other,?|A|B|C|?
traces/stage2_final/shift_seed1.csv,shift,1,0,pre,blue,B,B,1,0,0.400,1.522,0,0,0,0,0,other,B|A|B|A|?
traces/stage2_final/shift_seed1.csv,shift,1,1,pre,green,A,A,1,0,0.600,1.371,0,0,0,0,0,other,B|A|A|A|?
traces/stage2_final/shift_seed1.csv,shift,1,2,pre,blue,B,B,1,0,0.600,1.371,0,0,0,0,0,other,B|B|A|B|C
traces/stage2_final/shift_seed1.csv,shift,1,3,pre,red,C,C,1,0,0.800,0.722,1,1,0,0,0,other,C|C|A|C|C
