group,metric,n,value,ci_low,ci_high
shift_post,accuracy,25,0.200,0.040,0.360
shift_post,wrong,25,0.800,0.640,0.960
shift_post,agreement,25,0.632,0.544,0.720
shift_post,entropy,25,1.008,0.793,1.219
shift_post,high_agreement_wrong,25,0.400,0.200,0.600
shift_post,low_entropy_wrong,25,0.400,0.200,0.600
shift_post,confident_wrong,25,0.400,0.200,0.600
shift_pre,accuracy,25,0.600,0.400,0.800
shift_pre,wrong,25,0.400,0.200,0.600
shift_pre,agreement,25,0.632,0.568,0.704
shift_pre,entropy,25,1.094,0.897,1.281
shift_pre,high_agreement_wrong,25,0.080,0.000,0.200
shift_pre,low_entropy_wrong,25,0.080,0.000,0.200
shift_pre,confident_wrong,25,0.080,0.000,0.200
steady_post,accuracy,25,0.840,0.680,0.960
steady_post,wrong,25,0.160,0.040,0.320
steady_post,agreement,25,0.680,0.600,0.752
steady_post,entropy,25,0.984,0.763,1.199
steady_post,high_agreement_wrong,25,0.000,0.000,0.000
steady_post,low_entropy_wrong,25,0.000,0.000,0.000
steady_post,confident_wrong,25,0.000,0.000,0.000
steady_pre,accuracy,25,0.680,0.480,0.840
steady_pre,wrong,25,0.320,0.160,0.520
steady_pre,agreement,25,0.680,0.624,0.736
steady_pre,entropy,25,0.985,0.835,1.129
steady_pre,high_agreement_wrong,25,0.080,0.000,0.200
steady_pre,low_entropy_wrong,25,0.080,0.000,0.200
steady_pre,confident_wrong,25,0.080,0.000,0.200
shift_post_minus_shift_pre,accuracy,25,-0.400,-0.640,-0.160
shift_post_minus_shift_pre,wrong,25,0.400,0.160,0.640
shift_post_minus_shift_pre,agreement,25,0.000,-0.112,0.112
shift_post_minus_shift_pre,entropy,25,-0.086,-0.377,0.193
shift_post_minus_shift_pre,high_agreement_wrong,25,0.320,0.120,0.560
shift_post_minus_shift_pre,low_entropy_wrong,25,0.320,0.120,0.560
shift_post_minus_shift_pre,confident_wrong,25,0.320,0.120,0.560
shift_post_minus_steady_post,accuracy,25,-0.640,-0.840,-0.440
shift_post_minus_steady_post,wrong,25,0.640,0.440,0.840
shift_post_minus_steady_post,agreement,25,-0.048,-0.160,0.072
shift_post_minus_steady_post,entropy,25,0.024,-0.287,0.326
shift_post_minus_steady_post,high_agreement_wrong,25,0.400,0.200,0.600
shift_post_minus_steady_post,low_entropy_wrong,25,0.400,0.200,0.600
shift_post_minus_steady_post,confident_wrong,25,0.400,0.200,0.600
shift_post,self_consistency_auroc,25,0.200,0.075,0.370
shift_post,self_consistency_auroc_best_direction,25,0.800,0.075,0.925
shift_post,semantic_entropy_auroc,25,0.210,0.075,0.397
shift_post,semantic_entropy_auroc_best_direction,25,0.790,0.075,0.925
