path,condition,seed,step,phase,cue,chosen,correct,reward,wrong,agreement,entropy,high_agreement,low_entropy,confident_wrong_agreement,confident_wrong_entropy,confident_wrong,window,branches
traces/stage2/shift_seed0.csv,shift,0,0,pre,red,A,C,0,1,0.400,1.522,0,0,0,0,0,other,A|A|B|C|B
traces/stage2/shift_seed0.csv,shift,0,1,pre,red,A,C,0,1,0.600,0.971,0,0,0,0,0,other,B|A|B|A|A
traces/stage2/shift_seed0.csv,shift,0,2,pre,blue,C,B,0,1,0.600,1.371,0,0,0,0,0,other,C|C|A|C|B
traces/stage2/shift_seed0.csv,shift,0,3,pre,red,C,C,1,0,0.600,0.971,0,0,0,0,0,other,C|A|C|A|C
traces/stage2/shift_seed0.csv,shift,0,4,pre,green,B,A,0,1,0.600,0.971,0,0,0,0,0,other,B|B|A|A|B
traces/stage2/shift_seed0.csv,shift,0,5,pre,red,B,C,0,1,0.600,0.971,0,0,0,0,0,pre,B|C|B|C|B
traces/stage2/shift_seed0.csv,shift,0,6,pre,red,A,C,0,1,0.600,1.371,0,0,0,0,0,pre,A|C|B|A|A
traces/stage2/shift_seed0.csv,shift,0,7,pre,red,A,C,0,1,0.400,1.522,0,0,0,0,0,pre,A|B|A|C|C
traces/stage2/shift_seed0.csv,shift,0,8,pre,red,A,C,0,1,0.800,0.722,1,1,1,1,1,pre,A|A|A|A|C
traces/stage2/shift_seed0.csv,shift,0,9,pre,red,A,C,0,1,0.600,1.371,0,0,0,0,0,pre,A|A|B|C|A
traces/stage2/shift_seed0.csv,shift,0,10,post,green,C,B,0,1,0.400,1.522,0,0,0,0,0,post,C|A|B|A|C
traces/stage2/shift_seed0.csv,shift,0,11,post,blue,C,A,0,1,0.800,0.722,1,1,1,1,1,post,C|B|C|C|C
traces/stage2/shift_seed0.csv,shift,0,12,post,green,C,B,0,1,0.400,1.522,0,0,0,0,0,post,C|C|B|A|A
traces/stage2/shift_seed0.csv,shift,0,13,post,blue,C,A,0,1,0.600,1.371,0,0,0,0,0,post,C|C|C|A|B
traces/stage2/shift_seed0.csv,shift,0,14,post,red,B,A,0,1,0.600,1.371,0,0,0,0,0,post,B|A|B|C|B
traces/stage2/shift_seed0.csv,shift,0,15,post,blue,A,A,1,0,0.400,1.522,0,0,0,0,0,other,A|C|A|B|C
traces/stage2/shift_seed0.csv,shift,0,16,post,blue,B,A,0,1,0.400,1.522,0,0,0,0,0,other,B|A|B|C|A
traces/stage2/shift_seed0.csv,shift,0,17,post,green,A,B,0,1,0.600,0.971,0,0,0,0,0,other,A|B|A|B|A
