group,metric,n,value,ci_low,ci_high
shift_post,accuracy,5,0.200,0.000,0.600
shift_post,wrong,5,0.800,0.400,1.000
shift_post,agreement,5,0.720,0.560,0.880
shift_post,entropy,5,0.787,0.339,1.202
shift_post,high_agreement_wrong,5,0.600,0.200,1.000
shift_post,low_entropy_wrong,5,0.600,0.200,1.000
shift_post,confident_wrong,5,0.600,0.200,1.000
shift_pre,accuracy,5,0.800,0.400,1.000
shift_pre,wrong,5,0.200,0.000,0.600
shift_pre,agreement,5,0.680,0.520,0.840
shift_pre,entropy,5,0.917,0.433,1.351
shift_pre,high_agreement_wrong,5,0.000,0.000,0.000
shift_pre,low_entropy_wrong,5,0.000,0.000,0.000
shift_pre,confident_wrong,5,0.000,0.000,0.000
shift_post,self_consistency_auroc,5,0.000,0.000,0.000
shift_post,self_consistency_auroc_best_direction,5,1.000,0.000,1.000
shift_post,semantic_entropy_auroc,5,0.000,0.000,0.000
shift_post,semantic_entropy_auroc_best_direction,5,1.000,0.000,1.000
