step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,red,A,C,0,0.6,A|A|C|A|C
1,pre,red,A,C,0,0.6,A|C|A|C|A
2,pre,blue,A,B,0,0.8,A|A|B|A|A
3,pre,red,A,C,0,0.6,C|A|A|A|C
4,pre,green,B,A,0,0.6,B|A|B|A|B
5,pre,red,B,C,0,0.4,B|C|B|A|C
6,pre,red,B,C,0,0.6,B|A|B|B|A
7,pre,red,B,C,0,0.4,B|B|C|A|C
8,pre,red,A,C,0,0.6,A|A|C|A|B
9,pre,red,C,C,1,0.6,A|C|C|A|C
10,post,green,A,B,0,0.4,A|B|C|A|C
11,post,blue,A,A,1,0.6,A|A|B|C|A
12,post,green,A,B,0,0.6,A|A|A|B|C
13,post,blue,A,A,1,0.8,A|B|A|A|A
14,post,red,A,A,1,0.6,A|A|B|A|C
15,post,blue,A,A,1,0.4,A|A|C|B|C
16,post,blue,A,A,1,0.6,A|C|B|A|A
17,post,green,B,B,1,0.4,B|A|B|A|C
18,post,red,A,A,1,0.6,A|C|A|A|C
19,post,green,A,B,0,0.6,A|A|A|B|C
