step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,blue,A,B,0,0.6,A|A|A|B|C
1,pre,green,C,A,0,0.4,C|A|A|B|C
2,pre,green,C,A,0,0.4,A|C|B|B|C
3,pre,blue,A,B,0,0.8,A|A|A|A|C
4,pre,red,A,C,0,0.6,C|A|B|A|A
5,pre,green,A,A,1,0.4,B|A|A|C|?
6,pre,red,A,C,0,0.6,A|C|B|A|A
7,pre,green,B,A,0,0.4,B|B|A|A|C
8,pre,green,A,A,1,1.0,A|A|A|A|A
9,pre,blue,A,B,0,0.6,A|A|C|A|C
10,pre,green,A,A,1,0.4,A|B|C|A|C
11,pre,blue,A,B,0,0.6,B|A|B|A|A
12,pre,red,A,C,0,0.4,A|B|B|A|C
13,pre,red,A,C,0,0.8,A|B|A|A|A
14,pre,green,A,A,1,1.0,A|A|A|A|A
15,pre,blue,A,B,0,0.8,A|A|A|A|C
16,pre,blue,A,B,0,0.8,A|A|A|A|C
17,pre,green,A,A,1,0.6,B|A|A|B|A
18,pre,red,A,C,0,0.6,A|B|A|A|C
19,pre,green,A,A,1,1.0,A|A|A|A|A
