group,metric,n,value,ci_low,ci_high
shift_post,accuracy,25,0.600,0.400,0.800
shift_post,wrong,25,0.400,0.200,0.600
shift_post,agreement,25,0.632,0.576,0.688
shift_post,entropy,25,1.091,0.966,1.213
shift_post,high_agreement_wrong,25,0.160,0.040,0.320
shift_post,low_entropy_wrong,25,0.160,0.040,0.320
shift_post,confident_wrong,25,0.160,0.040,0.320
shift_pre,accuracy,25,0.400,0.200,0.600
shift_pre,wrong,25,0.600,0.400,0.800
shift_pre,agreement,25,0.584,0.528,0.648
shift_pre,entropy,25,1.132,0.995,1.272
shift_pre,high_agreement_wrong,25,0.160,0.040,0.320
shift_pre,low_entropy_wrong,25,0.160,0.040,0.320
shift_pre,confident_wrong,25,0.160,0.040,0.320
steady_post,accuracy,25,0.520,0.320,0.720
steady_post,wrong,25,0.480,0.280,0.680
steady_post,agreement,25,0.608,0.544,0.680
steady_post,entropy,25,1.120,0.928,1.305
steady_post,high_agreement_wrong,25,0.040,0.000,0.120
steady_post,low_entropy_wrong,25,0.040,0.000,0.120
steady_post,confident_wrong,25,0.040,0.000,0.120
steady_pre,accuracy,25,0.200,0.040,0.360
steady_pre,wrong,25,0.800,0.640,0.960
steady_pre,agreement,25,0.608,0.544,0.680
steady_pre,entropy,25,1.151,0.974,1.310
steady_pre,high_agreement_wrong,25,0.280,0.120,0.480
steady_pre,low_entropy_wrong,25,0.280,0.120,0.480
steady_pre,confident_wrong,25,0.280,0.120,0.480
shift_post,self_consistency_auroc,25,0.410,0.200,0.622
shift_post,self_consistency_auroc_best_direction,25,0.590,0.200,0.800
shift_post,semantic_entropy_auroc,25,0.380,0.163,0.612
shift_post,semantic_entropy_auroc_best_direction,25,0.620,0.163,0.837
