group,metric,n,value,ci_low,ci_high
shift_post,accuracy,8,0.375,0.000,0.750
shift_post,wrong,8,0.625,0.250,1.000
shift_post,agreement,8,0.475,0.425,0.550
shift_post,entropy,8,1.315,1.109,1.453
shift_post,high_agreement_wrong,8,0.000,0.000,0.000
shift_post,low_entropy_wrong,8,0.000,0.000,0.000
shift_post,confident_wrong,8,0.000,0.000,0.000
shift_pre,accuracy,8,0.125,0.000,0.375
shift_pre,wrong,8,0.875,0.625,1.000
shift_pre,agreement,8,0.525,0.450,0.600
shift_pre,entropy,8,1.228,1.040,1.415
shift_pre,high_agreement_wrong,8,0.000,0.000,0.000
shift_pre,low_entropy_wrong,8,0.000,0.000,0.000
shift_pre,confident_wrong,8,0.000,0.000,0.000
steady_post,accuracy,8,0.250,0.000,0.625
steady_post,wrong,8,0.750,0.375,1.000
steady_post,agreement,8,0.500,0.425,0.575
steady_post,entropy,8,1.296,1.109,1.453
steady_post,high_agreement_wrong,8,0.000,0.000,0.000
steady_post,low_entropy_wrong,8,0.000,0.000,0.000
steady_post,confident_wrong,8,0.000,0.000,0.000
steady_pre,accuracy,8,0.125,0.000,0.375
steady_pre,wrong,8,0.875,0.625,1.000
steady_pre,agreement,8,0.525,0.450,0.600
steady_pre,entropy,8,1.228,1.040,1.415
steady_pre,high_agreement_wrong,8,0.000,0.000,0.000
steady_pre,low_entropy_wrong,8,0.000,0.000,0.000
steady_pre,confident_wrong,8,0.000,0.000,0.000
shift_post,self_consistency_auroc,8,0.467,0.125,0.857
shift_post,self_consistency_auroc_best_direction,8,0.533,0.125,0.875
shift_post,semantic_entropy_auroc,8,0.467,0.125,0.857
shift_post,semantic_entropy_auroc_best_direction,8,0.533,0.125,0.875
