group,metric,n,value,ci_low,ci_high
shift_post,accuracy,25,0.160,0.040,0.320
shift_post,wrong,25,0.840,0.680,0.960
shift_post,agreement,25,0.592,0.528,0.664
shift_post,entropy,25,1.151,0.984,1.301
shift_post,high_agreement_wrong,25,0.240,0.080,0.400
shift_post,low_entropy_wrong,25,0.240,0.080,0.400
shift_post,confident_wrong,25,0.240,0.080,0.400
shift_pre,accuracy,25,0.280,0.120,0.480
shift_pre,wrong,25,0.720,0.560,0.880
shift_pre,agreement,25,0.552,0.496,0.616
shift_pre,entropy,25,1.181,1.023,1.318
shift_pre,high_agreement_wrong,25,0.120,0.000,0.280
shift_pre,low_entropy_wrong,25,0.120,0.000,0.280
shift_pre,confident_wrong,25,0.120,0.000,0.280
steady_post,accuracy,25,0.480,0.280,0.680
steady_post,wrong,25,0.520,0.320,0.720
steady_post,agreement,25,0.552,0.504,0.608
steady_post,entropy,25,1.235,1.117,1.343
steady_post,high_agreement_wrong,25,0.080,0.000,0.200
steady_post,low_entropy_wrong,25,0.080,0.000,0.200
steady_post,confident_wrong,25,0.080,0.000,0.200
steady_pre,accuracy,25,0.280,0.120,0.480
steady_pre,wrong,25,0.720,0.560,0.880
steady_pre,agreement,25,0.552,0.496,0.616
steady_pre,entropy,25,1.181,1.023,1.318
steady_pre,high_agreement_wrong,25,0.120,0.000,0.280
steady_pre,low_entropy_wrong,25,0.120,0.000,0.280
steady_pre,confident_wrong,25,0.120,0.000,0.280
shift_post,self_consistency_auroc,25,0.571,0.217,1.000
shift_post,self_consistency_auroc_best_direction,25,0.571,0.000,1.000
shift_post,semantic_entropy_auroc,25,0.577,0.217,1.000
shift_post,semantic_entropy_auroc_best_direction,25,0.577,0.000,1.000
