condition,step,n,accuracy,agreement,entropy
shift,0,5,0.400,0.520,1.351
shift,1,5,0.800,0.640,1.222
shift,2,5,1.000,0.560,1.222
shift,3,5,0.600,0.600,1.172
shift,4,5,0.800,0.720,0.787
shift,5,5,0.600,0.480,1.542
shift,6,5,0.600,0.680,0.978
shift,7,5,0.600,0.600,1.131
shift,8,5,0.400,0.640,1.062
shift,9,5,0.800,0.760,0.757
shift,10,5,0.000,0.720,0.773
shift,11,5,0.200,0.680,0.898
shift,12,5,0.000,0.480,1.362
shift,13,5,0.400,0.680,0.837
shift,14,5,0.400,0.600,1.172
shift,15,5,0.400,0.520,1.431
shift,16,5,0.600,0.600,1.172
shift,17,5,0.400,0.600,1.291
shift,18,5,0.200,0.520,1.431
shift,19,5,0.000,0.480,1.542
steady,0,5,0.600,0.520,1.332
steady,1,5,0.800,0.680,1.012
steady,2,5,0.600,0.680,0.951
steady,3,5,0.800,0.560,1.142
steady,4,5,0.800,0.600,1.191
steady,5,5,0.600,0.600,1.172
steady,6,5,0.600,0.640,1.081
steady,7,5,0.800,0.720,0.967
steady,8,5,0.600,0.680,0.932
steady,9,5,0.800,0.760,0.772
steady,10,5,1.000,0.720,0.807
steady,11,5,0.800,0.560,1.302
steady,12,5,0.600,0.720,0.867
steady,13,5,0.800,0.760,0.723
steady,14,5,1.000,0.640,1.222
steady,15,5,0.800,0.680,1.031
steady,16,5,0.600,0.560,1.222
steady,17,5,0.800,0.800,0.627
steady,18,5,0.600,0.560,1.202
steady,19,5,1.000,0.680,1.031
