method,n,threshold,auroc,auroc_low,auroc_high,precision,precision_low,precision_high,recall,recall_low,recall_high
uncertainty_agreement,25,0.500,0.200,0.071,0.380,0.600,0.286,0.900,0.300,0.105,0.522
semantic_entropy,25,0.750,0.210,0.073,0.409,0.667,0.412,0.909,0.500,0.286,0.714
reversed_agreement,25,0.800,0.800,0.620,0.929,1.000,1.000,1.000,0.500,0.286,0.714
reversed_entropy,25,-0.750,0.790,0.591,0.927,1.000,1.000,1.000,0.500,0.286,0.714
cling_timing,25,0.600,0.750,0.478,0.952,0.933,0.786,1.000,0.700,0.500,0.895
probe_rule_change,25,0.300,0.510,0.196,0.792,0.783,0.609,0.952,0.900,0.750,1.000
axon_probe,25,0.300,0.785,0.583,0.929,0.933,0.786,1.000,0.700,0.500,0.900
axon_probe_minus_uncertainty_agreement,25,,0.585,0.354,0.781,0.333,0.070,0.636,0.400,0.100,0.684
axon_probe_minus_semantic_entropy,25,,0.575,0.333,0.776,0.267,0.069,0.500,0.200,-0.056,0.467
axon_probe_minus_reversed_agreement,25,,-0.015,-0.270,0.238,-0.067,-0.214,0.000,0.200,-0.136,0.524
axon_probe_minus_reversed_entropy,25,,-0.005,-0.270,0.272,-0.067,-0.214,0.000,0.200,-0.136,0.524
axon_probe_minus_cling_timing,25,,0.035,-0.159,0.250,0.000,-0.042,0.043,0.000,-0.316,0.318
axon_probe_minus_probe_rule_change,25,,0.275,-0.106,0.670,0.151,0.011,0.318,-0.200,-0.389,-0.048
