path,condition,seed,step,phase,cue,chosen,correct,reward,agreement,branches,old,currents,change_score,stale_score,probe_pairs,probe_text,insufficient_history
traces/stage2_final/shift_seed0.csv,shift,0,0,pre,red,B,C,0,0.4,B|A|C|C|B,,,,,,,1
traces/stage2_final/shift_seed0.csv,shift,0,1,pre,red,B,C,0,0.4,B|A|C|?|B,,,,,,,1
traces/stage2_final/shift_seed0.csv,shift,0,2,pre,blue,B,B,1,0.4,C|B|A|A|B,,,,,,,1
traces/stage2_final/shift_seed0.csv,shift,0,3,pre,red,C,C,1,0.8,C|B|C|C|C,,,,,,,1
traces/stage2_final/shift_seed0.csv,shift,0,4,pre,green,A,A,1,0.8,A|A|A|A|C,,,,,,,1
traces/stage2_final/shift_seed0.csv,shift,0,5,pre,red,B,C,0,0.6,B|B|B|A|C,B,NO|YES|NO,0.333,0.333,NO|YES|NO,NO|YES.|NO,0
traces/stage2_final/shift_seed0.csv,shift,0,6,pre,red,C,C,1,0.4,C|B|C|B|?,B,NO|YES|NO,0.333,0.000,NO|YES|NO,NO.|YES.|NO,0
traces/stage2_final/shift_seed0.csv,shift,0,7,pre,red,C,C,1,0.6,B|C|C|C|B,B,NO|YES|NO,0.333,0.000,NO|YES|NO,NO|YES.|NO.,0
traces/stage2_final/shift_seed0.csv,shift,0,8,pre,red,C,C,1,0.8,C|C|C|B|C,B,NO|NO|NO,0.000,0.000,NO|NO|NO,NO.|NO|NO.,0
traces/stage2_final/shift_seed0.csv,shift,0,9,pre,red,C,C,1,1.0,C|C|C|C|C,C,NO|YES|NO,0.333,0.333,NO|YES|NO,NO.|YES.|NO,0
traces/stage2_final/shift_seed0.csv,shift,0,10,post,green,A,B,0,1.0,A|A|A|A|A,A,NO|NO|NO,0.000,0.000,NO|NO|NO,NO.|NO.|NO.,0
traces/stage2_final/shift_seed0.csv,shift,0,11,post,blue,B,A,0,0.8,B|B|A|B|B,B,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO.|NO.,0
