overlap,gate,episodes,episodes_fired,n_leads,mean_lead,lead_low,lead_high,frac_positive_lead,unfailing_cues,false_alarm_rate
0,G0_cling,30,29,82,0.915,0.427,1.39,0.537,2,0.5
0,G1_contradicted,30,30,84,-0.25,-0.726,0.226,0.298,2,0.5
0,G6_adaptive_d3,30,30,84,-0.119,-0.631,0.393,0.333,2,0.5
0,G7_blend,30,30,84,1.119,0.655,1.583,0.56,2,0.5
1,G0_cling,30,30,70,1.757,1.214,2.329,0.629,20,0.95
1,G1_contradicted,30,29,68,-0.515,-1.147,0.132,0.294,20,0.05
1,G6_adaptive_d3,30,30,70,-0.586,-1.214,0.086,0.314,20,0.35
1,G7_blend,30,30,70,1.8,1.271,2.371,0.629,20,0.95
2,G0_cling,30,30,52,1.769,1.173,2.365,0.673,38,0.947
2,G1_contradicted,30,28,49,-0.265,-0.959,0.449,0.265,38,0.053
2,G6_adaptive_d3,30,29,50,-0.16,-0.82,0.54,0.26,38,0.237
2,G7_blend,30,30,52,1.808,1.192,2.442,0.673,38,0.947
