condition,step,n,accuracy,agreement,entropy
shift,0,30,0.533,0.633,1.076
shift,1,30,0.567,0.633,1.087
shift,2,30,0.733,0.600,1.215
shift,3,30,0.500,0.613,1.126
shift,4,30,0.700,0.660,0.998
shift,5,30,0.767,0.640,1.083
shift,6,30,0.667,0.633,1.134
shift,7,30,0.767,0.620,1.059
shift,8,30,0.900,0.680,0.965
shift,9,30,0.733,0.660,1.002
shift,10,30,0.067,0.640,1.077
shift,11,30,0.067,0.613,1.158
shift,12,30,0.133,0.627,1.128
shift,13,30,0.200,0.573,1.154
shift,14,30,0.233,0.633,1.046
shift,15,30,0.333,0.580,1.220
shift,16,30,0.300,0.593,1.180
shift,17,30,0.333,0.553,1.250
shift,18,30,0.200,0.540,1.293
shift,19,30,0.300,0.587,1.203
