step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,red,C,C,1,0.8,C|C|C|A|C
1,pre,blue,B,B,1,0.4,B|A|B|A|C
2,pre,blue,B,B,1,0.4,B|A|B|A|C
3,pre,red,B,C,0,0.6,C|B|B|B|C
4,pre,green,A,A,1,0.6,A|A|B|A|B
5,pre,red,C,C,1,0.8,C|B|C|C|C
6,pre,blue,B,B,1,0.6,B|A|B|B|?
7,pre,red,C,C,1,0.8,C|C|C|C|A
8,pre,blue,B,B,1,0.6,B|A|B|B|C
9,pre,red,C,C,1,0.8,B|C|C|C|C
10,post,green,A,B,0,0.6,B|A|A|B|A
11,post,red,C,A,0,0.4,C|B|C|A|B
12,post,blue,C,C,1,0.6,B|A|C|C|C
13,post,green,A,B,0,0.6,C|B|A|A|A
14,post,blue,B,C,0,0.8,B|B|B|B|C
15,post,green,B,B,1,0.6,B|A|B|A|B
16,post,green,B,B,1,0.6,?|B|B|B|C
17,post,green,B,B,1,0.6,B|B|B|A|C
18,post,blue,B,C,0,0.6,A|B|B|B|C
19,post,green,B,B,1,0.6,A|B|B|B|C
