step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,red,C,C,1,0.8,C|A|C|C|C
1,pre,red,C,C,1,0.6,C|C|C|A|A
2,pre,blue,A,B,0,0.8,A|B|A|A|A
3,pre,red,C,C,1,0.6,C|B|C|A|C
4,pre,green,A,A,1,0.6,A|B|A|A|C
5,pre,red,C,C,1,0.8,B|C|C|C|C
6,pre,red,B,C,0,0.6,B|B|C|C|B
7,pre,red,C,C,1,0.8,B|C|C|C|C
8,pre,red,C,C,1,0.6,C|C|C|B|B
9,pre,red,C,C,1,1.0,C|C|C|C|C
10,post,green,A,B,0,0.8,B|A|A|A|A
11,post,blue,B,B,1,0.6,B|A|B|B|C
12,post,green,B,B,1,0.6,B|B|A|A|B
13,post,blue,B,B,1,0.6,B|B|B|C|C
14,post,red,C,A,0,0.8,C|C|C|A|C
15,post,blue,B,B,1,0.8,B|B|B|B|C
16,post,blue,B,B,1,0.8,B|B|B|B|C
17,post,green,A,B,0,0.6,A|A|B|B|A
18,post,red,A,A,1,0.6,C|A|A|A|B
19,post,green,A,B,0,0.6,A|B|A|C|A
