step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,red,C,C,1,0.8,C|C|A|C|C
1,pre,blue,A,B,0,1.0,A|A|A|A|A
2,pre,red,C,C,1,0.4,B|A|C|C|?
3,pre,green,B,A,0,0.6,B|A|B|A|B
4,pre,blue,B,B,1,0.6,B|B|B|A|C
5,pre,blue,B,B,1,0.8,B|B|B|B|?
6,pre,green,A,A,1,0.8,A|A|A|A|B
7,pre,blue,B,B,1,1.0,B|B|B|B|B
8,pre,red,C,C,1,0.4,B|C|C|A|A
9,pre,green,A,A,1,0.6,A|A|A|C|B
10,post,blue,B,C,0,0.6,B|B|?|B|?
11,post,green,A,A,1,0.6,A|B|A|A|B
12,post,blue,B,C,0,0.4,B|A|A|B|C
13,post,blue,C,C,1,0.4,A|C|B|B|C
14,post,blue,B,C,0,0.4,B|C|A|B|?
15,post,red,C,A,0,0.6,?|C|A|C|C
16,post,red,A,A,1,0.6,A|C|C|A|A
17,post,blue,B,C,0,0.8,B|B|B|B|?
18,post,blue,C,C,1,0.4,C|B|A|C|?
19,post,blue,B,C,0,0.4,B|C|C|A|B
