step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,red,C,C,1,0.6,C|C|C|A|B
1,pre,blue,A,B,0,0.6,B|C|A|A|A
2,pre,red,B,C,0,0.4,B|B|C|C|A
3,pre,green,A,A,1,0.4,A|B|A|B|C
4,pre,blue,B,B,1,0.8,B|B|B|B|C
5,pre,blue,A,B,0,0.4,A|B|B|A|C
6,pre,green,A,A,1,0.6,A|B|A|A|B
7,pre,blue,B,B,1,0.8,B|A|B|B|B
8,pre,red,C,C,1,0.6,B|B|C|C|C
9,pre,green,A,A,1,0.8,A|A|A|A|C
10,post,blue,B,C,0,1.0,B|B|B|B|B
11,post,green,B,B,1,0.6,A|B|B|A|B
12,post,blue,B,C,0,0.4,B|A|B|A|C
13,post,blue,B,C,0,0.6,B|B|A|B|C
14,post,blue,B,C,0,0.6,B|B|B|A|A
15,post,red,C,C,1,0.6,C|C|C|A|B
16,post,red,C,C,1,0.6,C|B|C|C|B
17,post,blue,B,C,0,0.8,B|B|A|B|B
18,post,blue,A,C,0,0.8,A|A|B|A|A
19,post,blue,B,C,0,0.6,B|C|B|B|C
