step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,green,A,A,1,1.0,A|A|A|A|A
1,pre,red,A,C,0,0.6,A|A|C|A|C
2,pre,green,A,A,1,0.8,B|A|A|A|A
3,pre,red,C,C,1,0.4,C|B|C|A|B
4,pre,green,A,A,1,1.0,A|A|A|A|A
5,pre,green,A,A,1,0.6,B|A|A|A|B
6,pre,green,A,A,1,0.8,A|A|A|A|C
7,pre,green,A,A,1,0.8,A|A|A|A|C
8,pre,blue,A,B,0,0.8,A|A|A|A|B
9,pre,red,A,C,0,0.4,B|C|?|A|A
10,post,blue,A,B,0,0.4,A|A|B|B|C
11,post,green,A,A,1,0.6,B|A|A|A|C
12,post,blue,A,B,0,0.4,A|B|C|A|C
13,post,blue,B,B,1,0.6,B|B|B|A|C
14,post,blue,B,B,1,0.4,B|B|A|A|C
15,post,red,C,A,0,0.6,?|C|C|A|C
16,post,red,A,A,1,0.6,B|A|A|A|B
17,post,blue,B,B,1,0.6,B|A|B|B|C
18,post,red,A,A,1,0.6,B|A|A|A|B
19,post,green,A,A,1,0.6,A|A|A|B|B
