step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,red,C,C,1,0.6,C|A|C|A|C
1,pre,red,C,C,1,0.4,C|B|C|B|A
2,pre,blue,B,B,1,0.6,B|B|B|A|?
3,pre,red,C,C,1,0.6,C|B|C|B|C
4,pre,green,A,A,1,0.6,A|A|A|B|?
5,pre,red,C,C,1,0.6,C|A|B|C|C
6,pre,red,C,C,1,0.8,C|B|C|C|C
7,pre,red,C,C,1,0.6,B|C|C|C|A
8,pre,red,C,C,1,1.0,C|C|C|C|C
9,pre,red,C,C,1,0.4,B|C|C|A|?
10,post,green,A,B,0,0.6,A|A|A|B|C
11,post,blue,A,B,0,0.6,A|B|A|A|C
12,post,green,A,B,0,0.6,?|A|A|A|B
13,post,blue,B,B,1,0.8,B|B|B|A|B
14,post,red,C,C,1,0.6,B|C|C|C|A
15,post,blue,B,B,1,0.8,B|B|B|B|A
16,post,blue,B,B,1,0.8,B|B|B|B|C
17,post,green,A,B,0,0.6,A|A|B|A|C
18,post,red,C,C,1,0.8,C|B|C|C|C
19,post,green,B,B,1,0.8,B|B|B|A|B
