seed,accuracy_collapse_step,confidence_dip_step,cling_time,censored
ov2_blue-green_seed0,10,18,8,0
ov2_blue-green_seed1,,,,1
ov2_blue-green_seed2,12,,,1
ov2_blue-green_seed3,13,13,0,0
ov2_blue-green_seed4,10,11,1,0
ov2_blue-green_seed5,10,10,0,0
ov2_blue-green_seed6,11,13,2,0
ov2_blue-green_seed7,15,16,1,0
ov2_blue-green_seed8,12,17,5,0
ov2_blue-green_seed9,10,17,7,0
ov2_blue-red_seed0,10,,,1
ov2_blue-red_seed1,12,12,0,0
ov2_blue-red_seed2,11,13,2,0
ov2_blue-red_seed3,10,17,7,0
ov2_blue-red_seed4,10,12,2,0
ov2_blue-red_seed5,11,13,2,0
ov2_blue-red_seed6,10,16,6,0
ov2_blue-red_seed7,11,19,8,0
ov2_blue-red_seed8,10,,,1
ov2_blue-red_seed9,11,,,1
ov2_green-red_seed0,11,13,2,0
ov2_green-red_seed1,10,14,4,0
ov2_green-red_seed2,10,18,8,0
ov2_green-red_seed3,11,15,4,0
ov2_green-red_seed4,13,,,1
ov2_green-red_seed5,10,12,2,0
ov2_green-red_seed6,11,11,0,0
ov2_green-red_seed7,10,18,8,0
ov2_green-red_seed8,11,12,1,0
ov2_green-red_seed9,12,,,1
