method,n,threshold,auroc,auroc_low,auroc_high,precision,precision_low,precision_high,recall,recall_low,recall_high
uncertainty_agreement,240,0.500,0.639,0.576,0.703,0.595,0.432,0.758,0.222,0.141,0.307
semantic_entropy,240,0.750,0.629,0.562,0.700,0.497,0.421,0.576,0.798,0.716,0.876
reversed_agreement,240,0.800,0.361,0.297,0.424,0.247,0.155,0.338,0.202,0.124,0.284
reversed_entropy,240,-0.750,0.371,0.300,0.438,0.247,0.155,0.338,0.202,0.124,0.284
cling_timing,240,0.600,0.551,0.475,0.624,0.442,0.351,0.532,0.535,0.434,0.629
probe_rule_change,240,0.300,0.493,0.423,0.563,0.394,0.327,0.463,0.808,0.723,0.883
axon_probe,240,0.300,0.376,0.309,0.447,0.285,0.205,0.367,0.354,0.258,0.454
axon_probe_minus_uncertainty_agreement,240,,-0.263,-0.366,-0.162,-0.310,-0.482,-0.148,0.131,0.000,0.260
axon_probe_minus_semantic_entropy,240,,-0.253,-0.358,-0.148,-0.212,-0.295,-0.130,-0.444,-0.573,-0.310
axon_probe_minus_reversed_agreement,240,,0.016,-0.069,0.100,0.038,-0.057,0.134,0.152,0.034,0.272
axon_probe_minus_reversed_entropy,240,,0.005,-0.080,0.094,0.038,-0.057,0.134,0.152,0.034,0.272
axon_probe_minus_cling_timing,240,,-0.174,-0.268,-0.078,-0.157,-0.246,-0.069,-0.182,-0.315,-0.045
axon_probe_minus_probe_rule_change,240,,-0.117,-0.190,-0.044,-0.110,-0.169,-0.051,-0.455,-0.553,-0.352
