step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,red,C,C,1,0.6,C|A|C|C|A
1,pre,blue,A,B,0,0.6,A|B|A|A|C
2,pre,red,B,C,0,0.4,B|A|C|B|C
3,pre,green,A,A,1,0.4,A|B|B|A|C
4,pre,blue,B,B,1,0.6,B|B|B|A|C
5,pre,blue,B,B,1,0.6,A|B|B|B|C
6,pre,green,A,A,1,0.4,A|B|A|C|B
7,pre,blue,B,B,1,0.6,B|B|B|A|A
8,pre,red,B,C,0,0.4,B|B|C|A|A
9,pre,green,A,A,1,0.8,A|A|A|A|C
10,post,blue,B,C,0,0.8,B|B|B|B|C
11,post,green,A,A,1,0.6,A|B|C|A|A
12,post,blue,B,C,0,0.6,B|A|B|B|C
13,post,blue,B,C,0,0.8,B|B|A|B|B
14,post,blue,B,C,0,0.6,B|C|C|B|B
15,post,red,C,C,1,0.6,A|C|B|C|C
16,post,red,C,C,1,1.0,C|C|C|C|C
17,post,blue,C,C,1,0.6,C|B|C|B|C
18,post,blue,B,C,0,0.4,B|B|A|C|C
19,post,blue,C,C,1,0.6,B|C|C|C|B
