path,condition,seed,step,phase,cue,chosen,correct,reward,agreement,branches,old,currents,change_score,stale_score,probe_pairs,probe_text,insufficient_history
traces/stage4b_overlap/ov2_blue-green_seed0.csv,shift,0,0,pre,red,C,C,1,0.4,C|A|C|A|B,,,,,,,1
traces/stage4b_overlap/ov2_blue-green_seed0.csv,shift,0,1,pre,red,A,C,0,0.6,A|A|C|A|C,,,,,,,1
traces/stage4b_overlap/ov2_blue-green_seed0.csv,shift,0,2,pre,blue,A,B,0,0.4,A|B|A|B|C,,,,,,,1
traces/stage4b_overlap/ov2_blue-green_seed0.csv,shift,0,3,pre,red,C,C,1,0.6,C|B|C|B|C,,,,,,,1
traces/stage4b_overlap/ov2_blue-green_seed0.csv,shift,0,4,pre,green,B,A,0,0.6,B|B|A|A|B,,,,,,,1
traces/stage4b_overlap/ov2_blue-green_seed0.csv,shift,0,5,pre,red,B,C,0,0.4,B|B|C|A|C,C,NO|YES|NO,0.333,0.000,NO|YES|NO,NO.|YES.|NO,0
traces/stage4b_overlap/ov2_blue-green_seed0.csv,shift,0,6,pre,red,C,C,1,0.6,B|C|C|A|C,C,NO|YES|YES,0.667,0.667,NO|YES|YES,NO.|YES|YES.,0
traces/stage4b_overlap/ov2_blue-green_seed0.csv,shift,0,7,pre,red,C,C,1,0.8,C|C|C|B|C,C,NO|YES|NO,0.333,0.333,NO|YES|NO,NO.|YES.|NO,0
traces/stage4b_overlap/ov2_blue-green_seed0.csv,shift,0,8,pre,red,B,C,0,0.6,B|B|C|C|B,C,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO.|NO,0
traces/stage4b_overlap/ov2_blue-green_seed0.csv,shift,0,9,pre,red,B,C,0,0.4,B|C|C|A|B,C,NO|YES|NO,0.333,0.000,NO|YES|NO,NO|YES.|NO.,0
traces/stage4b_overlap/ov2_blue-green_seed0.csv,shift,0,10,post,green,B,A,0,0.8,B|B|B|A|B,B,NO|NO|NO,0.000,0.000,NO|NO|NO,NO.|NO.|NO.,0
traces/stage4b_overlap/ov2_blue-green_seed0.csv,shift,0,11,post,blue,B,B,1,0.8,B|B|B|B|C,A,NO|YES|NO,0.333,0.000,NO|YES|NO,NO|YES.|NO.,0
traces/stage4b_overlap/ov2_blue-green_seed0.csv,shift,0,12,post,green,A,A,1,0.6,A|A|A|B|B,B,NO|YES|NO,0.333,0.000,NO|YES|NO,NO.|YES.|NO.,0
traces/stage4b_overlap/ov2_blue-green_seed0.csv,shift,0,13,post,blue,B,B,1,0.8,B|B|B|B|C,A,NO|YES|NO,0.333,0.000,NO|YES|NO,NO.|YES.|NO.,0
traces/stage4b_overlap/ov2_blue-green_seed0.csv,shift,0,14,post,red,C,A,0,0.6,B|C|C|C|A,C,NO|YES|NO,0.333,0.333,NO|YES|NO,NO|YES.|NO,0
traces/stage4b_overlap/ov2_blue-green_seed0.csv,shift,0,15,post,blue,B,B,1,0.8,B|B|B|A|B,B,NO|NO|NO,0.000,0.000,NO|NO|NO,NO.|NO.|NO,0
traces/stage4b_overlap/ov2_blue-green_seed0.csv,shift,0,16,post,blue,B,B,1,1.0,B|B|B|B|B,B,NO|YES|NO,0.333,0.333,NO|YES|NO,NO.|YES.|NO.,0
traces/stage4b_overlap/ov2_blue-green_seed0.csv,shift,0,17,post,green,A,A,1,0.6,B|A|A|A|C,B,YES|NO|NO,0.333,0.000,YES|NO|NO,YES.|NO.|NO,0
traces/stage4b_overlap/ov2_blue-green_seed0.csv,shift,0,18,post,red,C,A,0,0.4,C|C|B|A|A,C,NO|YES|YES,0.667,0.667,NO|YES|YES,NO|YES|YES.,0
traces/stage4b_overlap/ov2_blue-green_seed0.csv,shift,0,19,post,green,A,A,1,0.6,A|B|A|B|A,B,NO|YES|NO,0.333,0.000,NO|YES|NO,NO|YES|NO,0
traces/stage4b_overlap/ov2_blue-green_seed1.csv,shift,1,0,pre,blue,A,B,0,0.6,B|A|A|A|B,,,,,,,1
traces/stage4b_overlap/ov2_blue-green_seed1.csv,shift,1,1,pre,green,A,A,1,0.6,A|C|A|A|C,,,,,,,1
traces/stage4b_overlap/ov2_blue-green_seed1.csv,shift,1,2,pre,blue,B,B,1,0.6,B|B|A|B|C,,,,,,,1
traces/stage4b_overlap/ov2_blue-green_seed1.csv,shift,1,3,pre,red,A,C,0,0.4,A|B|C|A|C,,,,,,,1
traces/stage4b_overlap/ov2_blue-green_seed1.csv,shift,1,4,pre,blue,B,B,1,0.6,B|A|A|B|B,A,NO|YES|NO,0.333,0.000,NO|YES|NO,NO.|YES.|NO,0
traces/stage4b_overlap/ov2_blue-green_seed1.csv,shift,1,5,pre,red,B,C,0,0.6,B|B|C|B|C,A,NO|YES|NO,0.333,0.000,NO|YES|NO,NO.|YES.|NO,0
traces/stage4b_overlap/ov2_blue-green_seed1.csv,shift,1,6,pre,red,B,C,0,0.4,C|B|A|B|?,A,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage4b_overlap/ov2_blue-green_seed1.csv,shift,1,7,pre,red,C,C,1,0.4,B|C|C|?|A,B,NO|YES|NO,0.333,0.000,NO|YES|NO,NO.|YES|NO.,0
traces/stage4b_overlap/ov2_blue-green_seed1.csv,shift,1,8,pre,green,A,A,1,0.8,A|A|A|A|B,A,NO|YES|YES,0.667,0.667,NO|YES|YES,NO.|YES.|YES.,0
traces/stage4b_overlap/ov2_blue-green_seed1.csv,shift,1,9,pre,red,C,C,1,0.6,C|C|C|A|B,B,NO|YES|NO,0.333,0.000,NO|YES|NO,NO.|YES.|NO.,0
traces/stage4b_overlap/ov2_blue-green_seed1.csv,shift,1,10,post,blue,B,B,1,1.0,B|B|B|B|B,B,YES|YES|NO,0.667,0.667,YES|YES|NO,YES.|YES.|NO.,0
