overlap,method,n,auroc,auroc_low,auroc_high,precision,recall
0,uncertainty_agreement,236,0.397,0.318,0.478,0.707,0.219
0,semantic_entropy,236,0.407,0.323,0.492,0.762,0.738
0,reversed_agreement,236,0.603,0.522,0.682,0.891,0.262
0,reversed_entropy,236,0.593,0.508,0.677,0.891,0.262
0,cling_timing,236,0.682,0.601,0.759,0.888,0.551
0,probe_rule_change,236,0.453,0.366,0.539,0.797,0.968
0,axon_probe,236,0.769,0.712,0.819,0.959,0.631
0,axon_probe_minus_uncertainty_agreement,236,0.372,0.265,0.476,0.252,0.412
0,axon_probe_minus_semantic_entropy,236,0.362,0.254,0.469,0.197,-0.107
0,axon_probe_minus_reversed_agreement,236,0.166,0.081,0.252,0.068,0.369
0,axon_probe_minus_reversed_entropy,236,0.175,0.085,0.266,0.068,0.369
0,axon_probe_minus_cling_timing,236,0.087,-0.011,0.184,0.071,0.080
0,axon_probe_minus_probe_rule_change,236,0.316,0.213,0.419,0.162,-0.337
1,uncertainty_agreement,240,0.541,0.470,0.610,0.695,0.283
1,semantic_entropy,240,0.537,0.465,0.609,0.612,0.641
1,reversed_agreement,240,0.459,0.390,0.530,0.591,0.359
1,reversed_entropy,240,0.463,0.391,0.535,0.591,0.359
1,cling_timing,240,0.505,0.432,0.577,0.617,0.510
1,probe_rule_change,240,0.495,0.426,0.563,0.598,0.883
1,axon_probe,240,0.500,0.430,0.568,0.594,0.566
1,axon_probe_minus_uncertainty_agreement,240,-0.041,-0.151,0.070,-0.101,0.283
1,axon_probe_minus_semantic_entropy,240,-0.037,-0.147,0.072,-0.018,-0.076
1,axon_probe_minus_reversed_agreement,240,0.040,-0.043,0.126,0.003,0.207
1,axon_probe_minus_reversed_entropy,240,0.037,-0.050,0.126,0.003,0.207
1,axon_probe_minus_cling_timing,240,-0.006,-0.108,0.095,-0.022,0.055
1,axon_probe_minus_probe_rule_change,240,0.005,-0.064,0.076,-0.004,-0.317
2,uncertainty_agreement,240,0.639,0.576,0.703,0.595,0.222
2,semantic_entropy,240,0.629,0.562,0.700,0.497,0.798
2,reversed_agreement,240,0.361,0.297,0.424,0.247,0.202
2,reversed_entropy,240,0.371,0.300,0.438,0.247,0.202
2,cling_timing,240,0.551,0.475,0.624,0.442,0.535
2,probe_rule_change,240,0.493,0.423,0.563,0.394,0.808
2,axon_probe,240,0.376,0.309,0.447,0.285,0.354
2,axon_probe_minus_uncertainty_agreement,240,-0.263,-0.366,-0.162,-0.310,0.131
2,axon_probe_minus_semantic_entropy,240,-0.253,-0.358,-0.148,-0.212,-0.444
2,axon_probe_minus_reversed_agreement,240,0.016,-0.069,0.100,0.038,0.152
2,axon_probe_minus_reversed_entropy,240,0.005,-0.080,0.094,0.038,0.152
2,axon_probe_minus_cling_timing,240,-0.174,-0.268,-0.078,-0.157,-0.182
2,axon_probe_minus_probe_rule_change,240,-0.117,-0.190,-0.044,-0.110,-0.455
