step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,red,C,C,1,0.4,C|A|C|A|B
1,pre,green,A,A,1,0.8,A|A|A|A|C
2,pre,red,C,C,1,0.6,C|C|A|B|C
3,pre,red,C,C,1,0.6,C|A|A|C|C
4,pre,blue,A,B,0,0.6,A|A|B|A|C
5,pre,blue,B,B,1,0.6,A|B|B|B|C
6,pre,green,A,A,1,0.4,A|A|B|C|C
7,pre,blue,B,B,1,0.8,B|A|B|B|B
8,pre,red,B,C,0,0.4,B|A|B|C|C
9,pre,green,A,A,1,0.4,A|A|B|B|C
10,post,red,C,A,0,0.6,C|A|A|C|C
11,post,green,A,B,0,0.6,A|A|A|B|B
12,post,blue,A,B,0,0.6,A|A|B|B|A
13,post,red,B,A,0,0.4,A|B|B|?|C
14,post,green,A,B,0,0.4,A|B|A|B|C
15,post,green,B,B,1,0.8,B|A|B|B|B
16,post,green,B,B,1,0.6,A|B|B|B|C
17,post,blue,A,B,0,0.6,A|A|B|A|C
18,post,green,B,B,1,0.8,B|B|B|A|B
19,post,red,A,A,1,0.4,A|B|A|C|C
