method,n,threshold,auroc,auroc_low,auroc_high,precision,precision_low,precision_high,recall,recall_low,recall_high
uncertainty_agreement,240,0.500,0.522,0.453,0.592,0.635,0.526,0.744,0.313,0.242,0.388
semantic_entropy,240,0.750,0.519,0.444,0.596,0.639,0.570,0.704,0.860,0.803,0.914
reversed_agreement,240,0.800,0.478,0.408,0.547,0.553,0.387,0.707,0.140,0.086,0.197
reversed_entropy,240,-0.750,0.481,0.405,0.556,0.553,0.387,0.707,0.140,0.086,0.197
cling_timing,240,0.600,0.587,0.513,0.658,0.717,0.629,0.795,0.573,0.497,0.651
probe_rule_change,240,0.300,0.506,0.484,0.527,0.714,0.300,1.000,0.033,0.007,0.066
axon_probe,240,0.300,0.501,0.485,0.514,0.667,0.000,1.000,0.013,0.000,0.034
axon_probe_minus_uncertainty_agreement,240,,-0.021,-0.092,0.047,0.032,-0.672,0.434,-0.300,-0.373,-0.229
axon_probe_minus_semantic_entropy,240,,-0.018,-0.093,0.055,0.028,-0.663,0.406,-0.847,-0.903,-0.786
axon_probe_minus_reversed_agreement,240,,0.023,-0.049,0.098,0.114,-0.622,0.565,-0.127,-0.187,-0.068
axon_probe_minus_reversed_entropy,240,,0.020,-0.057,0.099,0.114,-0.622,0.565,-0.127,-0.187,-0.068
axon_probe_minus_cling_timing,240,,-0.086,-0.159,-0.011,-0.050,-0.752,0.345,-0.560,-0.640,-0.478
axon_probe_minus_probe_rule_change,240,,-0.004,-0.020,0.011,-0.048,-0.800,0.375,-0.020,-0.045,0.000
