step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,green,A,A,1,0.4,A|A|B|?|C
1,pre,red,A,C,0,0.4,A|A|C|B|C
2,pre,green,A,A,1,0.6,A|A|A|C|C
3,pre,red,C,C,1,0.6,C|B|C|B|C
4,pre,green,A,A,1,0.6,A|A|A|B|C
5,pre,green,B,A,0,0.6,A|B|B|B|A
6,pre,green,A,A,1,0.6,A|A|A|B|C
7,pre,green,A,A,1,0.8,A|A|A|A|C
8,pre,blue,A,B,0,0.6,A|A|C|A|C
9,pre,red,C,C,1,0.8,C|A|C|C|C
10,post,blue,A,C,0,0.4,A|A|B|B|C
11,post,green,A,A,1,0.8,A|A|A|A|B
12,post,blue,A,C,0,0.4,A|A|B|B|C
13,post,blue,B,C,0,0.6,B|A|A|B|B
14,post,blue,B,C,0,0.6,C|A|B|B|B
15,post,red,C,A,0,0.6,C|C|C|B|B
16,post,red,A,A,1,0.6,A|A|A|C|B
17,post,blue,C,C,1,0.8,C|C|C|B|C
18,post,red,B,A,0,0.6,A|B|C|B|B
19,post,green,C,A,0,0.4,C|A|A|B|C
