path,condition,seed,step,phase,cue,chosen,correct,reward,wrong,agreement,entropy,high_agreement,low_entropy,confident_wrong_agreement,confident_wrong_entropy,confident_wrong,window,branches
traces/stage5_scale/3b/ov1_blue_seed0.csv,shift,0,0,pre,red,C,C,1,0,0.600,1.371,0,0,0,0,0,other,C|C|C|A|B
traces/stage5_scale/3b/ov1_blue_seed0.csv,shift,0,1,pre,red,C,C,1,0,0.600,1.371,0,0,0,0,0,other,C|A|C|B|C
traces/stage5_scale/3b/ov1_blue_seed0.csv,shift,0,2,pre,blue,A,B,0,1,0.400,1.522,0,0,0,0,0,pre,A|C|A|B|C
traces/stage5_scale/3b/ov1_blue_seed0.csv,shift,0,3,pre,red,C,C,1,0,0.800,0.722,1,1,0,0,0,pre,C|C|C|A|C
traces/stage5_scale/3b/ov1_blue_seed0.csv,shift,0,4,pre,green,B,A,0,1,0.600,0.971,0,0,0,0,0,pre,A|B|B|B|A
traces/stage5_scale/3b/ov1_blue_seed0.csv,shift,0,5,pre,red,C,C,1,0,0.400,1.522,0,0,0,0,0,pre,C|C|A|B|B
traces/stage5_scale/3b/ov1_blue_seed0.csv,shift,0,6,pre,red,B,C,0,1,0.800,0.722,1,1,1,1,1,pre,B|B|B|B|C
traces/stage5_scale/3b/ov1_blue_seed0.csv,shift,0,7,pre,red,B,C,0,1,0.600,1.371,0,0,0,0,0,pre,B|C|A|B|B
traces/stage5_scale/3b/ov1_blue_seed0.csv,shift,0,8,pre,red,C,C,1,0,0.600,0.971,0,0,0,0,0,pre,C|C|B|B|C
traces/stage5_scale/3b/ov1_blue_seed0.csv,shift,0,9,pre,red,A,C,0,1,0.400,1.522,0,0,0,0,0,pre,A|C|A|B|B
traces/stage5_scale/3b/ov1_blue_seed0.csv,shift,0,10,post,green,A,B,0,1,0.600,0.971,0,0,0,0,0,post,A|A|A|B|B
traces/stage5_scale/3b/ov1_blue_seed0.csv,shift,0,11,post,blue,B,B,1,0,0.600,0.971,0,0,0,0,0,post,A|A|B|B|B
traces/stage5_scale/3b/ov1_blue_seed0.csv,shift,0,12,post,green,A,B,0,1,0.400,1.522,0,0,0,0,0,post,A|A|B|B|C
traces/stage5_scale/3b/ov1_blue_seed0.csv,shift,0,13,post,blue,B,B,1,0,0.400,1.522,0,0,0,0,0,post,B|B|A|C|C
traces/stage5_scale/3b/ov1_blue_seed0.csv,shift,0,14,post,red,A,A,1,0,0.600,0.971,0,0,0,0,0,post,A|A|B|A|B
traces/stage5_scale/3b/ov1_blue_seed0.csv,shift,0,15,post,blue,A,B,0,1,0.600,1.371,0,0,0,0,0,post,A|A|A|C|B
traces/stage5_scale/3b/ov1_blue_seed0.csv,shift,0,16,post,blue,B,B,1,0,0.600,0.971,0,0,0,0,0,post,A|B|A|B|B
traces/stage5_scale/3b/ov1_blue_seed0.csv,shift,0,17,post,green,A,B,0,1,0.400,1.522,0,0,0,0,0,post,A|A|B|B|C
traces/stage5_scale/3b/ov1_blue_seed0.csv,shift,0,18,post,red,B,A,0,1,0.600,0.971,0,0,0,0,0,other,B|B|A|A|B
traces/stage5_scale/3b/ov1_blue_seed0.csv,shift,0,19,post,green,B,B,1,0,0.600,0.971,0,0,0,0,0,other,A|B|A|B|B
traces/stage5_scale/3b/ov1_blue_seed1.csv,shift,1,0,pre,blue,A,B,0,1,0.600,0.971,0,0,0,0,0,other,B|B|A|A|A
traces/stage5_scale/3b/ov1_blue_seed1.csv,shift,1,1,pre,green,A,A,1,0,0.600,0.971,0,0,0,0,0,other,A|A|A|B|B
traces/stage5_scale/3b/ov1_blue_seed1.csv,shift,1,2,pre,blue,A,B,0,1,0.600,1.371,0,0,0,0,0,pre,B|A|A|A|C
traces/stage5_scale/3b/ov1_blue_seed1.csv,shift,1,3,pre,red,C,C,1,0,0.600,1.371,0,0,0,0,0,pre,C|A|C|B|C
traces/stage5_scale/3b/ov1_blue_seed1.csv,shift,1,4,pre,blue,B,B,1,0,0.600,1.371,0,0,0,0,0,pre,B|B|A|B|C
traces/stage5_scale/3b/ov1_blue_seed1.csv,shift,1,5,pre,red,C,C,1,0,0.400,1.522,0,0,0,0,0,pre,C|B|A|B|C
traces/stage5_scale/3b/ov1_blue_seed1.csv,shift,1,6,pre,red,C,C,1,0,0.400,1.522,0,0,0,0,0,pre,C|B|C|A|B
traces/stage5_scale/3b/ov1_blue_seed1.csv,shift,1,7,pre,red,C,C,1,0,0.600,1.371,0,0,0,0,0,pre,A|C|C|B|C
traces/stage5_scale/3b/ov1_blue_seed1.csv,shift,1,8,pre,green,A,A,1,0,0.600,0.971,0,0,0,0,0,pre,A|A|C|A|C
traces/stage5_scale/3b/ov1_blue_seed1.csv,shift,1,9,pre,red,C,C,1,0,0.800,0.722,1,1,0,0,0,pre,C|C|C|B|C
traces/stage5_scale/3b/ov1_blue_seed1.csv,shift,1,10,post,blue,B,B,1,0,1.000,0.000,1,1,0,0,0,post,B|B|B|B|B
traces/stage5_scale/3b/ov1_blue_seed1.csv,shift,1,11,post,blue,A,B,0,1,0.400,1.522,0,0,0,0,0,post,A|A|B|B|C
traces/stage5_scale/3b/ov1_blue_seed1.csv,shift,1,12,post,red,B,A,0,1,0.600,1.371,0,0,0,0,0,post,C|B|A|B|B
traces/stage5_scale/3b/ov1_blue_seed1.csv,shift,1,13,post,blue,B,B,1,0,0.600,0.971,0,0,0,0,0,post,A|A|B|B|B
traces/stage5_scale/3b/ov1_blue_seed1.csv,shift,1,14,post,red,A,A,1,0,0.400,1.522,0,0,0,0,0,post,A|A|C|B|C
traces/stage5_scale/3b/ov1_blue_seed1.csv,shift,1,15,post,red,A,A,1,0,0.400,1.522,0,0,0,0,0,post,C|A|A|B|B
traces/stage5_scale/3b/ov1_blue_seed1.csv,shift,1,16,post,green,A,B,0,1,0.400,1.522,0,0,0,0,0,post,A|A|B|B|C
traces/stage5_scale/3b/ov1_blue_seed1.csv,shift,1,17,post,blue,B,B,1,0,0.400,1.522,0,0,0,0,0,post,B|A|B|C|C
traces/stage5_scale/3b/ov1_blue_seed1.csv,shift,1,18,post,green,A,B,0,1,0.400,1.522,0,0,0,0,0,other,A|A|C|B|B
traces/stage5_scale/3b/ov1_blue_seed1.csv,shift,1,19,post,red,A,A,1,0,0.400,1.522,0,0,0,0,0,other,A|B|A|B|C
traces/stage5_scale/3b/ov1_blue_seed2.csv,shift,2,0,pre,blue,B,B,1,0,0.600,1.371,0,0,0,0,0,other,B|A|B|B|C
traces/stage5_scale/3b/ov1_blue_seed2.csv,shift,2,1,pre,blue,B,B,1,0,0.400,1.522,0,0,0,0,0,other,B|A|A|B|C
traces/stage5_scale/3b/ov1_blue_seed2.csv,shift,2,2,pre,blue,B,B,1,0,0.600,1.371,0,0,0,0,0,pre,B|A|B|B|C
traces/stage5_scale/3b/ov1_blue_seed2.csv,shift,2,3,pre,red,A,C,0,1,0.400,1.522,0,0,0,0,0,pre,A|B|A|C|B
traces/stage5_scale/3b/ov1_blue_seed2.csv,shift,2,4,pre,blue,B,B,1,0,0.400,1.522,0,0,0,0,0,pre,B|A|B|A|C
traces/stage5_scale/3b/ov1_blue_seed2.csv,shift,2,5,pre,green,B,A,0,1,0.600,0.971,0,0,0,0,0,pre,A|A|B|B|B
traces/stage5_scale/3b/ov1_blue_seed2.csv,shift,2,6,pre,green,A,A,1,0,0.600,1.371,0,0,0,0,0,pre,A|A|A|B|C
traces/stage5_scale/3b/ov1_blue_seed2.csv,shift,2,7,pre,red,C,C,1,0,0.400,1.522,0,0,0,0,0,pre,A|C|B|B|C
traces/stage5_scale/3b/ov1_blue_seed2.csv,shift,2,8,pre,red,C,C,1,0,0.400,1.522,0,0,0,0,0,pre,C|C|A|B|B
traces/stage5_scale/3b/ov1_blue_seed2.csv,shift,2,9,pre,green,A,A,1,0,0.600,1.371,0,0,0,0,0,pre,A|A|A|B|C
traces/stage5_scale/3b/ov1_blue_seed2.csv,shift,2,10,post,blue,A,B,0,1,0.400,1.522,0,0,0,0,0,post,A|B|A|C|B
traces/stage5_scale/3b/ov1_blue_seed2.csv,shift,2,11,post,green,A,B,0,1,0.600,1.371,0,0,0,0,0,post,A|A|B|A|C
traces/stage5_scale/3b/ov1_blue_seed2.csv,shift,2,12,post,blue,B,B,1,0,1.000,0.000,1,1,0,0,0,post,B|B|B|B|B
traces/stage5_scale/3b/ov1_blue_seed2.csv,shift,2,13,post,green,A,B,0,1,0.600,0.971,0,0,0,0,0,post,A|A|A|B|B
traces/stage5_scale/3b/ov1_blue_seed2.csv,shift,2,14,post,green,B,B,1,0,0.800,0.722,1,1,0,0,0,post,B|A|B|B|B
traces/stage5_scale/3b/ov1_blue_seed2.csv,shift,2,15,post,blue,B,B,1,0,0.600,1.371,0,0,0,0,0,post,B|A|B|B|C
traces/stage5_scale/3b/ov1_blue_seed2.csv,shift,2,16,post,red,C,A,0,1,0.600,0.971,0,0,0,0,0,post,C|A|A|C|C
traces/stage5_scale/3b/ov1_blue_seed2.csv,shift,2,17,post,green,A,B,0,1,0.400,1.522,0,0,0,0,0,post,A|B|A|B|C
traces/stage5_scale/3b/ov1_blue_seed2.csv,shift,2,18,post,red,C,A,0,1,0.400,1.522,0,0,0,0,0,other,A|C|C|B|B
traces/stage5_scale/3b/ov1_blue_seed2.csv,shift,2,19,post,green,B,B,1,0,0.800,0.722,1,1,0,0,0,other,B|B|B|C|B
traces/stage5_scale/3b/ov1_blue_seed3.csv,shift,3,0,pre,blue,B,B,1,0,0.400,1.522,0,0,0,0,0,other,B|A|C|B|C
traces/stage5_scale/3b/ov1_blue_seed3.csv,shift,3,1,pre,green,A,A,1,0,0.600,0.971,0,0,0,0,0,other,A|A|A|C|C
traces/stage5_scale/3b/ov1_blue_seed3.csv,shift,3,2,pre,green,A,A,1,0,0.600,0.971,0,0,0,0,0,pre,A|A|A|B|B
traces/stage5_scale/3b/ov1_blue_seed3.csv,shift,3,3,pre,blue,A,B,0,1,0.400,1.522,0,0,0,0,0,pre,B|A|A|C|C
traces/stage5_scale/3b/ov1_blue_seed3.csv,shift,3,4,pre,red,C,C,1,0,0.600,1.371,0,0,0,0,0,pre,C|B|A|C|C
traces/stage5_scale/3b/ov1_blue_seed3.csv,shift,3,5,pre,green,A,A,1,0,0.600,1.371,0,0,0,0,0,pre,A|A|A|B|C
traces/stage5_scale/3b/ov1_blue_seed3.csv,shift,3,6,pre,red,B,C,0,1,0.600,1.371,0,0,0,0,0,pre,A|C|B|B|B
traces/stage5_scale/3b/ov1_blue_seed3.csv,shift,3,7,pre,green,A,A,1,0,0.600,1.371,0,0,0,0,0,pre,A|A|A|B|C
traces/stage5_scale/3b/ov1_blue_seed3.csv,shift,3,8,pre,green,B,A,0,1,0.600,0.971,0,0,0,0,0,pre,A|A|B|B|B
traces/stage5_scale/3b/ov1_blue_seed3.csv,shift,3,9,pre,blue,B,B,1,0,0.600,1.371,0,0,0,0,0,pre,B|A|B|B|C
traces/stage5_scale/3b/ov1_blue_seed3.csv,shift,3,10,post,green,A,B,0,1,0.600,0.971,0,0,0,0,0,post,A|A|A|B|B
traces/stage5_scale/3b/ov1_blue_seed3.csv,shift,3,11,post,blue,B,B,1,0,0.600,0.971,0,0,0,0,0,post,B|B|A|B|A
traces/stage5_scale/3b/ov1_blue_seed3.csv,shift,3,12,post,red,A,A,1,0,0.400,1.522,0,0,0,0,0,post,A|A|B|B|C
traces/stage5_scale/3b/ov1_blue_seed3.csv,shift,3,13,post,red,A,A,1,0,0.400,1.522,0,0,0,0,0,post,A|A|C|B|C
traces/stage5_scale/3b/ov1_blue_seed3.csv,shift,3,14,post,green,B,B,1,0,0.600,0.971,0,0,0,0,0,post,A|A|B|B|B
traces/stage5_scale/3b/ov1_blue_seed3.csv,shift,3,15,post,blue,A,B,0,1,0.400,1.522,0,0,0,0,0,post,A|B|B|A|C
traces/stage5_scale/3b/ov1_blue_seed3.csv,shift,3,16,post,blue,C,B,0,1,0.400,1.522,0,0,0,0,0,post,C|A|B|B|C
traces/stage5_scale/3b/ov1_blue_seed3.csv,shift,3,17,post,green,B,B,1,0,0.600,1.371,0,0,0,0,0,post,C|B|A|B|B
traces/stage5_scale/3b/ov1_blue_seed3.csv,shift,3,18,post,red,A,A,1,0,0.400,1.522,0,0,0,0,0,other,A|A|B|B|C
traces/stage5_scale/3b/ov1_blue_seed3.csv,shift,3,19,post,green,B,B,1,0,0.800,0.722,1,1,0,0,0,other,A|B|B|B|B
traces/stage5_scale/3b/ov1_blue_seed4.csv,shift,4,0,pre,blue,B,B,1,0,0.600,0.971,0,0,0,0,0,other,A|A|B|B|B
traces/stage5_scale/3b/ov1_blue_seed4.csv,shift,4,1,pre,red,B,C,0,1,0.600,0.971,0,0,0,0,0,other,C|B|C|B|B
traces/stage5_scale/3b/ov1_blue_seed4.csv,shift,4,2,pre,blue,C,B,0,1,0.600,1.371,0,0,0,0,0,pre,B|A|C|C|C
traces/stage5_scale/3b/ov1_blue_seed4.csv,shift,4,3,pre,green,A,A,1,0,0.400,1.522,0,0,0,0,0,pre,A|A|C|B|C
traces/stage5_scale/3b/ov1_blue_seed4.csv,shift,4,4,pre,red,C,C,1,0,0.800,0.722,1,1,0,0,0,pre,A|C|C|C|C
traces/stage5_scale/3b/ov1_blue_seed4.csv,shift,4,5,pre,red,C,C,1,0,0.600,1.371,0,0,0,0,0,pre,C|C|C|B|A
traces/stage5_scale/3b/ov1_blue_seed4.csv,shift,4,6,pre,blue,B,B,1,0,0.400,1.522,0,0,0,0,0,pre,B|A|A|B|C
traces/stage5_scale/3b/ov1_blue_seed4.csv,shift,4,7,pre,blue,B,B,1,0,0.600,0.971,0,0,0,0,0,pre,B|B|B|C|C
traces/stage5_scale/3b/ov1_blue_seed4.csv,shift,4,8,pre,blue,B,B,1,0,1.000,0.000,1,1,0,0,0,pre,B|B|B|B|B
traces/stage5_scale/3b/ov1_blue_seed4.csv,shift,4,9,pre,blue,B,B,1,0,0.800,0.722,1,1,0,0,0,pre,B|B|B|B|C
traces/stage5_scale/3b/ov1_blue_seed4.csv,shift,4,10,post,red,C,A,0,1,0.600,1.371,0,0,0,0,0,post,C|A|C|B|C
traces/stage5_scale/3b/ov1_blue_seed4.csv,shift,4,11,post,green,A,B,0,1,0.600,0.971,0,0,0,0,0,post,A|A|A|B|B
traces/stage5_scale/3b/ov1_blue_seed4.csv,shift,4,12,post,red,B,A,0,1,0.600,0.971,0,0,0,0,0,post,A|B|B|B|A
traces/stage5_scale/3b/ov1_blue_seed4.csv,shift,4,13,post,blue,B,B,1,0,0.600,1.371,0,0,0,0,0,post,A|B|B|B|C
traces/stage5_scale/3b/ov1_blue_seed4.csv,shift,4,14,post,blue,B,B,1,0,0.400,1.522,0,0,0,0,0,post,B|A|A|B|C
traces/stage5_scale/3b/ov1_blue_seed4.csv,shift,4,15,post,green,B,B,1,0,0.800,0.722,1,1,0,0,0,post,A|B|B|B|B
traces/stage5_scale/3b/ov1_blue_seed4.csv,shift,4,16,post,green,B,B,1,0,0.600,0.971,0,0,0,0,0,post,A|B|A|B|B
traces/stage5_scale/3b/ov1_blue_seed4.csv,shift,4,17,post,red,C,A,0,1,0.600,0.971,0,0,0,0,0,post,A|A|C|C|C
traces/stage5_scale/3b/ov1_blue_seed4.csv,shift,4,18,post,red,B,A,0,1,0.800,0.722,1,1,1,1,1,other,B|A|B|B|B
traces/stage5_scale/3b/ov1_blue_seed4.csv,shift,4,19,post,blue,B,B,1,0,0.600,0.971,0,0,0,0,0,other,B|B|B|A|A
traces/stage5_scale/3b/ov1_blue_seed5.csv,shift,5,0,pre,green,A,A,1,0,0.600,1.371,0,0,0,0,0,other,A|A|A|B|C
traces/stage5_scale/3b/ov1_blue_seed5.csv,shift,5,1,pre,red,C,C,1,0,0.400,1.522,0,0,0,0,0,other,C|A|C|B|A
traces/stage5_scale/3b/ov1_blue_seed5.csv,shift,5,2,pre,green,A,A,1,0,0.800,0.722,1,1,0,0,0,pre,A|A|A|B|A
traces/stage5_scale/3b/ov1_blue_seed5.csv,shift,5,3,pre,red,B,C,0,1,0.600,1.371,0,0,0,0,0,pre,B|A|B|B|C
