step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,red,C,C,1,0.6,C|C|C|A|A
1,pre,blue,A,B,0,0.6,A|B|A|C|A
2,pre,red,A,C,0,0.4,A|B|C|B|A
3,pre,green,A,A,1,0.8,A|A|A|A|C
4,pre,blue,B,B,1,0.4,B|A|B|?|C
5,pre,blue,B,B,1,0.6,B|A|B|B|C
6,pre,green,A,A,1,0.6,A|A|A|B|C
7,pre,blue,B,B,1,0.4,A|B|B|?|C
8,pre,red,B,C,0,0.4,B|A|C|A|B
9,pre,green,A,A,1,0.6,A|A|A|C|B
10,post,blue,B,C,0,0.6,A|B|B|B|C
11,post,green,A,B,0,0.6,A|A|A|B|C
12,post,blue,B,C,0,0.6,B|C|C|B|B
13,post,blue,C,C,1,0.4,C|B|C|B|A
14,post,blue,C,C,1,0.6,C|A|C|B|C
15,post,red,B,C,0,0.6,B|C|B|B|C
16,post,red,C,C,1,0.6,C|C|B|A|C
17,post,blue,C,C,1,0.8,C|C|C|B|C
18,post,blue,C,C,1,1.0,C|C|C|C|C
19,post,blue,C,C,1,0.8,C|C|C|B|C
