step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,blue,B,B,1,0.4,C|B|A|A|B
1,pre,green,A,A,1,0.8,A|A|A|A|B
2,pre,blue,C,B,0,0.4,C|A|B|?|C
3,pre,red,C,C,1,0.4,C|A|B|B|C
4,pre,blue,B,B,1,0.4,B|A|B|C|C
5,pre,red,C,C,1,0.6,B|C|C|A|C
6,pre,red,C,C,1,0.4,C|C|A|B|B
7,pre,red,C,C,1,0.8,A|C|C|C|C
8,pre,green,B,A,0,0.6,A|B|C|B|B
9,pre,red,C,C,1,0.6,A|C|C|B|C
10,post,blue,B,B,1,0.8,B|B|A|B|B
11,post,blue,A,B,0,0.4,A|A|C|B|B
12,post,red,C,C,1,0.6,C|A|C|C|B
13,post,blue,C,B,0,0.6,A|C|C|A|C
14,post,red,B,C,0,0.6,C|B|B|B|C
15,post,red,B,C,0,0.6,C|C|B|B|B
16,post,green,A,B,0,0.6,A|A|A|B|B
17,post,blue,A,B,0,0.4,A|A|B|B|C
18,post,green,A,B,0,0.4,A|A|C|B|C
19,post,red,C,C,1,0.4,C|A|B|B|C
