step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,green,A,A,1,0.6,A|A|A|B|B
1,pre,blue,A,B,0,0.8,A|A|A|A|C
2,pre,red,C,C,1,0.6,C|C|C|B|B
3,pre,red,C,C,1,0.6,A|C|C|B|C
4,pre,blue,B,B,1,0.8,B|B|B|B|C
5,pre,blue,B,B,1,0.4,B|A|A|B|C
6,pre,blue,B,B,1,0.6,B|A|B|B|C
7,pre,green,A,A,1,0.6,A|A|A|B|C
8,pre,green,B,A,0,0.6,A|A|B|B|B
9,pre,red,C,C,1,0.4,C|A|B|A|C
10,post,green,A,A,1,0.8,A|A|A|A|C
11,post,red,C,C,1,0.6,C|A|C|B|C
12,post,red,A,C,0,0.4,C|A|A|B|B
13,post,blue,B,C,0,0.4,B|A|B|C|C
14,post,red,B,C,0,0.6,A|B|C|B|B
15,post,red,C,C,1,1.0,C|C|C|C|C
16,post,blue,C,C,1,0.6,C|C|B|B|C
17,post,green,A,A,1,0.4,A|A|B|B|C
18,post,red,C,C,1,0.8,C|C|C|B|C
19,post,green,C,A,0,0.4,C|A|B|B|C
