condition,step,n,accuracy,agreement,entropy
shift,0,30,1.000,0.853,0.529
shift,1,30,1.000,0.847,0.549
shift,2,30,1.000,0.867,0.479
shift,3,30,1.000,0.853,0.511
shift,4,30,1.000,0.833,0.586
shift,5,30,1.000,0.827,0.626
shift,6,30,1.000,0.867,0.481
shift,7,30,1.000,0.873,0.457
shift,8,30,1.000,0.867,0.481
shift,9,30,1.000,0.853,0.529
shift,10,30,0.000,0.853,0.529
shift,11,30,0.100,0.827,0.573
shift,12,30,0.433,0.747,0.770
shift,13,30,0.733,0.760,0.752
shift,14,30,0.767,0.780,0.656
shift,15,30,0.800,0.833,0.549
shift,16,30,0.800,0.820,0.613
shift,17,30,0.933,0.833,0.562
shift,18,30,0.833,0.847,0.527
shift,19,30,0.933,0.840,0.556
