step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,blue,B,B,1,0.8,B|B|B|B|C
1,pre,red,C,C,1,1.0,C|C|C|C|C
2,pre,blue,B,B,1,0.8,B|B|B|B|C
3,pre,green,A,A,1,0.8,A|A|A|A|C
4,pre,red,C,C,1,0.8,C|C|C|C|B
5,pre,red,C,C,1,1.0,C|C|C|C|C
6,pre,blue,B,B,1,0.8,B|B|B|B|C
7,pre,blue,B,B,1,0.8,B|B|?|B|B
8,pre,blue,B,B,1,1.0,B|B|B|B|B
9,pre,blue,B,B,1,1.0,B|B|B|B|B
10,post,red,C,A,0,0.8,C|C|C|C|B
11,post,green,A,B,0,0.8,A|A|A|A|C
12,post,red,C,A,0,0.6,A|C|C|C|A
13,post,blue,B,C,0,0.8,B|B|B|B|C
14,post,blue,C,C,1,0.6,C|C|C|B|A
15,post,green,A,B,0,0.6,A|B|A|A|C
16,post,green,B,B,1,0.8,B|B|B|B|C
17,post,red,A,A,1,0.8,A|A|A|A|C
18,post,red,A,A,1,0.8,A|A|A|A|C
19,post,blue,C,C,1,0.8,C|C|C|C|B
