step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,blue,B,B,1,0.8,B|B|B|B|A
1,pre,green,A,A,1,0.8,A|A|A|A|B
2,pre,green,A,A,1,0.8,A|A|A|A|C
3,pre,blue,B,B,1,1.0,B|B|B|B|B
4,pre,red,C,C,1,0.8,C|C|C|C|B
5,pre,green,A,A,1,0.8,A|A|A|A|C
6,pre,red,C,C,1,1.0,C|C|C|C|C
7,pre,green,A,A,1,0.8,A|A|A|A|C
8,pre,green,A,A,1,0.8,A|A|A|A|B
9,pre,blue,B,B,1,1.0,B|B|B|B|B
10,post,green,A,A,1,0.8,A|A|A|A|C
11,post,blue,B,B,1,1.0,B|B|B|B|B
12,post,red,C,A,0,0.8,C|C|C|C|B
13,post,red,C,A,0,0.4,C|A|A|C|B
14,post,green,A,A,1,1.0,A|A|A|A|A
15,post,blue,B,B,1,1.0,B|B|B|B|B
16,post,blue,B,B,1,1.0,B|B|B|B|B
17,post,green,A,A,1,0.8,A|A|A|A|B
18,post,red,A,A,1,0.8,A|A|A|A|B
19,post,green,A,A,1,0.8,A|A|A|A|B
