overlap,gate,n,auroc,auroc_low,auroc_high,silent_on_wrong
0,G0_cling,240,0.9757281553398058,0.9529411764705882,0.9949494949494949,0.049
0,G1_contradicted,240,0.5728155339805825,0.5392156862745098,0.6086956521739131,0.854
0,G2_contradicted_graded,240,0.5728155339805825,0.5392156862745098,0.6086956521739131,0.854
0,G3_contradicted_and_cling,240,0.5728155339805825,0.5392156862745098,0.6086956521739131,0.854
0,G4_either,240,0.9757281553398058,0.9529411764705882,0.9949494949494949,0.049
0,G5_cling_after_any_contradiction,240,0.8349514563106796,0.7897196261682243,0.8806818181818182,0.33
0,G6_adaptive_d2,240,0.6893203883495146,0.6415094339622641,0.7403846153846154,0.621
0,G6_adaptive_d3,240,0.5728155339805825,0.5392156862745098,0.6086956521739131,0.854
0,G7_blend,240,0.8349514563106796,0.7897196261682243,0.8806818181818182,0.33
0,G8_adaptive,240,0.5728155339805825,0.5392156862745098,0.6086956521739131,0.854
0,G9_blend,240,0.8300970873786407,0.7836538461538461,0.875,0.34
1,G0_cling,240,0.7530487804878049,0.7147239263803681,0.7914110429447853,0.0
1,G1_contradicted,240,0.6052631578947368,0.5614035087719298,0.654320987654321,0.789
1,G2_contradicted_graded,240,0.6052631578947368,0.5614035087719298,0.654320987654321,0.789
1,G3_contradicted_and_cling,240,0.6052631578947368,0.5614035087719298,0.654320987654321,0.789
1,G4_either,240,0.7530487804878049,0.7147239263803681,0.7914110429447853,0.0
1,G5_cling_after_any_contradiction,240,0.5892169448010269,0.523109243697479,0.6571149462715727,0.395
1,G6_adaptive_d2,240,0.4741655969191271,0.41881116346502356,0.5322908721078058,0.789
1,G6_adaptive_d3,240,0.6052631578947368,0.5614035087719298,0.654320987654321,0.789
1,G7_blend,240,0.5823973042362003,0.5084057047247231,0.655564263322884,0.395
1,G8_adaptive,240,0.6052631578947368,0.5614035087719298,0.654320987654321,0.789
1,G9_blend,240,0.5823973042362003,0.5084057047247231,0.655564263322884,0.395
2,G0_cling,240,0.5915032679738562,0.5514739929001389,0.6274509803921569,0.028
2,G1_contradicted,240,0.5694444444444444,0.5151515151515151,0.6323529411764706,0.861
2,G2_contradicted_graded,240,0.5694444444444444,0.5151515151515151,0.6323529411764706,0.861
2,G3_contradicted_and_cling,240,0.5694444444444444,0.5151515151515151,0.6323529411764706,0.861
2,G4_either,240,0.5915032679738562,0.5514739929001389,0.6274509803921569,0.028
2,G5_cling_after_any_contradiction,240,0.2949346405228758,0.23259762308998302,0.36566981247701924,0.861
2,G6_adaptive_d2,240,0.5694444444444444,0.5151515151515151,0.6323529411764706,0.861
2,G6_adaptive_d3,240,0.5694444444444444,0.5151515151515151,0.6323529411764706,0.861
2,G7_blend,240,0.33306100217864926,0.24722035040431267,0.43378607809847197,0.861
2,G8_adaptive,240,0.5694444444444444,0.5151515151515151,0.6323529411764706,0.861
2,G9_blend,240,0.33306100217864926,0.24722035040431267,0.43378607809847197,0.861
