step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,Keystone Partners,Quinn,Quinn,1,0.6,Quinn|Quinn|Navarro|Petrov|Quinn
1,pre,Acme Corp,Petrov,Navarro,0,0.8,Petrov|Petrov|Petrov|Quinn|Petrov
2,pre,Lantern Industries,Navarro,Lee,0,0.4,Navarro|Navarro|Petrov|Quinn|Quinn
3,pre,Cascade Group,Petrov,Kim,0,0.6,Petrov|Petrov|Petrov|Quinn|Kim
4,pre,Granite Holdings,Petrov,Okafor,0,1.0,Petrov|Petrov|Petrov|Petrov|Petrov
5,pre,Acme Corp,Quinn,Navarro,0,0.8,Navarro|Quinn|Quinn|Quinn|Quinn
6,pre,Borealis Ltd,Petrov,Kim,0,1.0,Petrov|Petrov|Petrov|Petrov|Petrov
7,pre,Granite Holdings,Quinn,Okafor,0,1.0,Quinn|Quinn|Quinn|Quinn|Quinn
8,pre,Eastgate Trust,Quinn,Navarro,0,0.6,Quinn|Quinn|Quinn|Petrov|Petrov
9,pre,Acme Corp,Navarro,Navarro,1,1.0,Navarro|Navarro|Navarro|Navarro|Navarro
10,pre,Granite Holdings,Navarro,Okafor,0,0.8,Navarro|Navarro|Navarro|Kim|Navarro
11,pre,Cascade Group,Quinn,Kim,0,0.8,Quinn|Quinn|Petrov|Quinn|Quinn
12,pre,Eastgate Trust,Petrov,Navarro,0,0.6,Navarro|Navarro|Petrov|Petrov|Petrov
13,pre,Cascade Group,Navarro,Kim,0,1.0,Navarro|Navarro|Navarro|Navarro|Navarro
14,pre,Cascade Group,Okafor,Kim,0,1.0,Okafor|Okafor|Okafor|Okafor|Okafor
15,pre,Acme Corp,Navarro,Navarro,1,1.0,Navarro|Navarro|Navarro|Navarro|Navarro
16,pre,Borealis Ltd,Quinn,Kim,0,1.0,Quinn|Quinn|Quinn|Quinn|Quinn
17,pre,Cascade Group,Lee,Kim,0,0.8,Lee|Lee|Lee|Lee|Kim
18,pre,Junction Labs,Quinn,Lee,0,0.6,Petrov|Petrov|Quinn|Quinn|Quinn
19,pre,Acme Corp,Navarro,Navarro,1,1.0,Navarro|Navarro|Navarro|Navarro|Navarro
20,post,Cascade Group,Kim,Okafor,0,1.0,Kim|Kim|Kim|Kim|Kim
21,post,Acme Corp,Navarro,Lee,0,1.0,Navarro|Navarro|Navarro|Navarro|Navarro
22,post,Ivory Systems,Petrov,Lee,0,0.8,Petrov|Petrov|Petrov|Quinn|Petrov
23,post,Cascade Group,Kim,Okafor,0,0.8,Kim|Kim|Petrov|Kim|Kim
24,post,Ivory Systems,Quinn,Lee,0,1.0,Quinn|Quinn|Quinn|Quinn|Quinn
25,post,Borealis Ltd,Navarro,Okafor,0,0.8,Navarro|Okafor|Navarro|Navarro|Navarro
26,post,Acme Corp,Navarro,Lee,0,1.0,Navarro|Navarro|Navarro|Navarro|Navarro
27,post,Acme Corp,Navarro,Lee,0,1.0,Navarro|Navarro|Navarro|Navarro|Navarro
28,post,Dovetail Inc,Quinn,Kim,0,0.6,Quinn|Quinn|Petrov|Quinn|Petrov
29,post,Acme Corp,Quinn,Lee,0,0.6,Navarro|Quinn|Quinn|Quinn|Navarro
30,post,Granite Holdings,Okafor,Lee,0,0.6,Lee|Okafor|Okafor|Lee|Okafor
31,post,Cascade Group,Petrov,Okafor,0,1.0,Petrov|Petrov|Petrov|Petrov|Petrov
32,post,Borealis Ltd,Okafor,Okafor,1,1.0,Okafor|Okafor|Okafor|Okafor|Okafor
33,post,Acme Corp,Navarro,Lee,0,0.4,Navarro|Quinn|Petrov|Kim|Navarro
34,post,Fairwind Co,Petrov,Quinn,0,0.6,Petrov|Quinn|Petrov|Quinn|Petrov
35,post,Acme Corp,Petrov,Lee,0,0.6,Petrov|Quinn|Petrov|Petrov|Navarro
36,post,Borealis Ltd,Okafor,Okafor,1,1.0,Okafor|Okafor|Okafor|Okafor|Okafor
37,post,Borealis Ltd,Okafor,Okafor,1,1.0,Okafor|Okafor|Okafor|Okafor|Okafor
38,post,Acme Corp,Okafor,Lee,0,1.0,Okafor|Okafor|Okafor|Okafor|Okafor
39,post,Dovetail Inc,Petrov,Kim,0,0.4,Okafor|Petrov|Petrov|Navarro|Navarro
