step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,Acme Corp,Petrov,Kim,0,0.6,Quinn|Petrov|Petrov|Quinn|Petrov
1,pre,Acme Corp,Quinn,Kim,0,0.8,Navarro|Quinn|Quinn|Quinn|Quinn
2,pre,Acme Corp,Navarro,Kim,0,0.8,Navarro|Navarro|Okafor|Navarro|Navarro
3,pre,Cascade Group,Petrov,Kim,0,0.8,Petrov|Petrov|Petrov|Quinn|Petrov
4,pre,Borealis Ltd,Petrov,Kim,0,1.0,Petrov|Petrov|Petrov|Petrov|Petrov
5,pre,Cascade Group,Quinn,Kim,0,1.0,Quinn|Quinn|Quinn|Quinn|Quinn
6,pre,Cascade Group,Navarro,Kim,0,1.0,Navarro|Navarro|Navarro|Navarro|Navarro
7,pre,Lantern Industries,Navarro,Petrov,0,0.6,Navarro|Navarro|Quinn|Quinn|Navarro
8,pre,Borealis Ltd,Quinn,Kim,0,1.0,Quinn|Quinn|Quinn|Quinn|Quinn
9,pre,Borealis Ltd,Navarro,Kim,0,0.8,Navarro|Okafor|Navarro|Navarro|Navarro
10,pre,Cascade Group,Okafor,Kim,0,1.0,Okafor|Okafor|Okafor|Okafor|Okafor
11,pre,Ivory Systems,Petrov,Navarro,0,0.6,Petrov|Kim|Petrov|Quinn|Petrov
12,pre,Borealis Ltd,Okafor,Kim,0,1.0,Okafor|Okafor|Okafor|Okafor|Okafor
13,pre,Dovetail Inc,Petrov,Navarro,0,0.6,Petrov|Petrov|Petrov|Quinn|Quinn
14,pre,Borealis Ltd,Lee,Kim,0,0.8,Lee|Lee|Lee|Lee|Kim
15,pre,Harbour Works,Quinn,Navarro,0,0.4,Navarro|Petrov|Quinn|Quinn|Kim
16,pre,Borealis Ltd,Kim,Kim,1,1.0,Kim|Kim|Kim|Kim|Kim
17,pre,Keystone Partners,Quinn,Lee,0,0.8,Quinn|Quinn|Navarro|Quinn|Quinn
18,pre,Borealis Ltd,Kim,Kim,1,1.0,Kim|Kim|Kim|Kim|Kim
19,pre,Fairwind Co,Quinn,Quinn,1,0.6,Petrov|Petrov|Quinn|Quinn|Quinn
20,pre,Dovetail Inc,Quinn,Navarro,0,0.8,Quinn|Quinn|Navarro|Quinn|Quinn
21,pre,Acme Corp,Okafor,Kim,0,1.0,Okafor|Okafor|Okafor|Okafor|Okafor
22,pre,Acme Corp,Kim,Kim,1,0.8,Lee|Kim|Kim|Kim|Kim
23,pre,Cascade Group,Lee,Kim,0,0.8,Lee|Lee|Lee|Lee|Kim
24,pre,Cascade Group,Kim,Kim,1,1.0,Kim|Kim|Kim|Kim|Kim
25,pre,Granite Holdings,Petrov,Quinn,0,0.6,Quinn|Petrov|Petrov|Petrov|Navarro
26,pre,Dovetail Inc,Navarro,Navarro,1,1.0,Navarro|Navarro|Navarro|Navarro|Navarro
27,pre,Borealis Ltd,Kim,Kim,1,1.0,Kim|Kim|Kim|Kim|Kim
28,pre,Ivory Systems,Quinn,Navarro,0,1.0,Quinn|Quinn|Quinn|Quinn|Quinn
29,pre,Borealis Ltd,Kim,Kim,1,1.0,Kim|Kim|Kim|Kim|Kim
30,pre,Eastgate Trust,Petrov,Lee,0,0.6,Petrov|Petrov|Quinn|Quinn|Petrov
31,pre,Cascade Group,Kim,Kim,1,1.0,Kim|Kim|Kim|Kim|Kim
32,pre,Borealis Ltd,Kim,Kim,1,1.0,Kim|Kim|Kim|Kim|Kim
