step,phase,cue,chosen,correct,reward,agreement,branches
0,static,q0,A,A,1,1.0,A|A|A|A|A
1,static,q1,A,A,1,0.6,A|A|B|A|B
2,static,q2,B,B,1,1.0,B|B|B|B|B
3,static,q3,B,B,1,1.0,B|B|B|B|B
4,static,q4,A,A,1,1.0,A|A|A|A|A
5,static,q5,B,B,1,1.0,B|B|B|B|B
6,static,q6,A,A,1,1.0,A|A|A|A|A
7,static,q7,B,B,1,1.0,B|B|B|B|B
8,static,q8,B,B,1,1.0,B|B|B|B|B
9,static,q9,A,A,1,1.0,A|A|A|A|A
10,static,q10,A,A,1,1.0,A|A|A|A|A
11,static,q11,A,A,1,1.0,A|A|A|A|A
12,static,q12,B,B,1,1.0,B|B|B|B|B
13,static,q13,A,A,1,1.0,A|A|A|A|A
14,static,q14,A,A,1,1.0,A|A|A|A|A
15,static,q15,B,B,1,1.0,B|B|B|B|B
16,static,q16,A,A,1,1.0,A|A|A|A|A
17,static,q17,A,A,1,1.0,A|A|A|A|A
18,static,q18,A,A,1,1.0,A|A|A|A|A
19,static,q19,A,A,1,1.0,A|A|A|A|A
20,static,q20,B,B,1,1.0,B|B|B|B|B
21,static,q21,A,A,1,1.0,A|A|A|A|A
22,static,q22,A,A,1,1.0,A|A|A|A|A
23,static,q23,A,A,1,1.0,A|A|A|A|A
24,static,q24,B,B,1,1.0,B|B|B|B|B
25,static,q25,B,B,1,1.0,B|B|B|B|B
26,static,q26,B,B,1,1.0,B|B|B|B|B
27,static,q27,A,A,1,1.0,A|A|A|A|A
28,static,q28,A,A,1,0.8,A|A|B|A|A
29,static,q29,A,A,1,1.0,A|A|A|A|A
30,static,q30,B,B,1,1.0,B|B|B|B|B
31,static,q31,A,A,1,1.0,A|A|A|A|A
32,static,q32,B,B,1,1.0,B|B|B|B|B
33,static,q33,A,A,1,1.0,A|A|A|A|A
34,static,q34,A,A,1,1.0,A|A|A|A|A
35,static,q35,B,B,1,1.0,B|B|B|B|B
36,static,q36,A,A,1,1.0,A|A|A|A|A
37,static,q37,B,B,1,1.0,B|B|B|B|B
38,static,q38,A,A,1,1.0,A|A|A|A|A
39,static,q39,A,A,1,1.0,A|A|A|A|A
40,static,q40,B,B,1,1.0,B|B|B|B|B
41,static,q41,B,B,1,1.0,B|B|B|B|B
42,static,q42,A,A,1,1.0,A|A|A|A|A
43,static,q43,B,B,1,1.0,B|B|B|B|B
44,static,q44,B,B,1,1.0,B|B|B|B|B
45,static,q45,A,A,1,1.0,A|A|A|A|A
46,static,q46,B,B,1,1.0,B|B|B|B|B
47,static,q47,A,A,1,1.0,A|A|A|A|A
48,static,q48,B,B,1,1.0,B|B|B|B|B
49,static,q49,A,A,1,1.0,A|A|A|A|A
50,static,q50,A,A,1,1.0,A|A|A|A|A
51,static,q51,B,B,1,1.0,B|B|B|B|B
52,static,q52,B,B,1,1.0,B|B|B|B|B
53,static,q53,B,B,1,1.0,B|B|B|B|B
54,static,q54,A,A,1,1.0,A|A|A|A|A
55,static,q55,A,A,1,1.0,A|A|A|A|A
56,static,q56,B,B,1,1.0,B|B|B|B|B
57,static,q57,A,A,1,1.0,A|A|A|A|A
58,static,q58,A,A,1,1.0,A|A|A|A|A
59,static,q59,A,A,1,1.0,A|A|A|A|A
60,static,q60,A,A,1,1.0,A|A|A|A|A
61,static,q61,A,A,1,1.0,A|A|A|A|A
62,static,q62,A,A,1,1.0,A|A|A|A|A
63,static,q63,A,A,1,1.0,A|A|A|A|A
64,static,q64,A,A,1,1.0,A|A|A|A|A
65,static,q65,B,B,1,1.0,B|B|B|B|B
66,static,q66,A,A,1,1.0,A|A|A|A|A
67,static,q67,B,B,1,1.0,B|B|B|B|B
68,static,q68,A,A,1,1.0,A|A|A|A|A
69,static,q69,B,B,1,1.0,B|B|B|B|B
70,static,q70,B,B,1,1.0,B|B|B|B|B
71,static,q71,B,B,1,1.0,B|B|B|B|B
72,static,q72,A,A,1,1.0,A|A|A|A|A
73,static,q73,A,A,1,1.0,A|A|A|A|A
74,static,q74,B,B,1,1.0,B|B|B|B|B
75,static,q75,B,B,1,1.0,B|B|B|B|B
76,static,q76,A,A,1,1.0,A|A|A|A|A
77,static,q77,A,A,1,1.0,A|A|A|A|A
78,static,q78,A,A,1,1.0,A|A|A|A|A
79,static,q79,A,A,1,1.0,A|A|A|A|A
80,static,q80,A,A,1,1.0,A|A|A|A|A
81,static,q81,A,A,1,1.0,A|A|A|A|A
82,static,q82,A,A,1,1.0,A|A|A|A|A
83,static,q83,B,B,1,1.0,B|B|B|B|B
84,static,q84,A,A,1,1.0,A|A|A|A|A
85,static,q85,B,B,1,1.0,B|B|B|B|B
86,static,q86,A,A,1,1.0,A|A|A|A|A
87,static,q87,A,A,1,1.0,A|A|A|A|A
88,static,q88,A,A,1,1.0,A|A|A|A|A
89,static,q89,A,A,1,1.0,A|A|A|A|A
90,static,q90,A,A,1,1.0,A|A|A|A|A
91,static,q91,A,A,1,1.0,A|A|A|A|A
92,static,q92,B,B,1,1.0,B|B|B|B|B
93,static,q93,A,A,1,1.0,A|A|A|A|A
94,static,q94,A,A,1,1.0,A|A|A|A|A
95,static,q95,A,A,1,1.0,A|A|A|A|A
96,static,q96,A,A,1,0.8,A|A|B|A|A
97,static,q97,B,B,1,1.0,B|B|B|B|B
98,static,q98,A,A,1,1.0,A|A|A|A|A
99,static,q99,B,B,1,1.0,B|B|B|B|B
100,static,q100,A,A,1,1.0,A|A|A|A|A
101,static,q101,A,A,1,1.0,A|A|A|A|A
102,static,q102,B,B,1,1.0,B|B|B|B|B
103,static,q103,A,A,1,1.0,A|A|A|A|A
104,static,q104,B,B,1,1.0,B|B|B|B|B
105,static,q105,B,B,1,1.0,B|B|B|B|B
106,static,q106,A,A,1,1.0,A|A|A|A|A
107,static,q107,B,B,1,1.0,B|B|B|B|B
108,static,q108,A,A,1,1.0,A|A|A|A|A
109,static,q109,B,B,1,1.0,B|B|B|B|B
110,static,q110,B,B,1,1.0,B|B|B|B|B
111,static,q111,A,A,1,1.0,A|A|A|A|A
112,static,q112,B,B,1,1.0,B|B|B|B|B
113,static,q113,A,A,1,1.0,A|A|A|A|A
114,static,q114,A,A,1,1.0,A|A|A|A|A
115,static,q115,A,A,1,1.0,A|A|A|A|A
116,static,q116,A,A,1,1.0,A|A|A|A|A
117,static,q117,B,B,1,1.0,B|B|B|B|B
118,static,q118,A,A,1,1.0,A|A|A|A|A
119,static,q119,A,A,1,1.0,A|A|A|A|A
120,static,q120,A,A,1,1.0,A|A|A|A|A
121,static,q121,B,B,1,1.0,B|B|B|B|B
122,static,q122,B,B,1,1.0,B|B|B|B|B
123,static,q123,A,A,1,1.0,A|A|A|A|A
124,static,q124,B,B,1,1.0,B|B|B|B|B
125,static,q125,B,B,1,1.0,B|B|B|B|B
126,static,q126,A,A,1,1.0,A|A|A|A|A
127,static,q127,B,B,1,1.0,B|B|B|B|B
128,static,q128,B,B,1,1.0,B|B|B|B|B
129,static,q129,B,B,1,1.0,B|B|B|B|B
130,static,q130,A,A,1,1.0,A|A|A|A|A
131,static,q131,A,A,1,1.0,A|A|A|A|A
132,static,q132,B,B,1,1.0,B|B|B|B|B
133,static,q133,B,B,1,1.0,B|B|B|B|B
134,static,q134,B,B,1,1.0,B|B|B|B|B
135,static,q135,B,B,1,1.0,B|B|B|B|B
136,static,q136,B,B,1,1.0,B|B|B|B|B
137,static,q137,A,A,1,1.0,A|A|A|A|A
138,static,q138,B,B,1,1.0,B|B|B|B|B
