step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,q10,A,A,1,1.0,A|A|A|A|A
1,pre,q10,A,A,1,1.0,A|A|A|A|A
2,pre,q0,A,A,1,1.0,A|A|A|A|A
3,pre,q7,A,A,1,1.0,A|A|A|A|A
4,pre,q7,A,A,1,1.0,A|A|A|A|A
5,pre,q9,B,B,1,1.0,B|B|B|B|B
6,pre,q10,A,A,1,1.0,A|A|A|A|A
7,pre,q11,A,A,1,1.0,A|A|A|A|A
8,pre,q4,B,B,1,1.0,B|B|B|B|B
9,pre,q3,B,B,1,1.0,B|B|B|B|B
10,pre,q4,B,B,1,1.0,B|B|B|B|B
11,pre,q5,A,A,1,1.0,A|A|A|A|A
12,pre,q4,B,B,1,1.0,B|B|B|B|B
13,pre,q6,B,B,1,1.0,B|B|B|B|B
14,pre,q1,B,B,1,1.0,B|B|B|B|B
15,pre,q5,A,A,1,1.0,A|A|A|A|A
16,pre,q7,A,A,1,1.0,A|A|A|A|A
17,pre,q6,B,B,1,1.0,B|B|B|B|B
18,pre,q8,A,A,1,1.0,A|A|A|A|A
19,pre,q10,A,A,1,1.0,A|A|A|A|A
20,pre,q2,B,B,1,1.0,B|B|B|B|B
21,pre,q9,B,B,1,1.0,B|B|B|B|B
22,pre,q4,B,B,1,1.0,B|B|B|B|B
23,pre,q9,B,B,1,1.0,B|B|B|B|B
24,pre,q0,A,A,1,1.0,A|A|A|A|A
25,pre,q4,B,B,1,1.0,B|B|B|B|B
26,pre,q1,B,B,1,1.0,B|B|B|B|B
27,pre,q0,A,A,1,1.0,A|A|A|A|A
28,pre,q8,A,A,1,1.0,A|A|A|A|A
29,pre,q5,A,A,1,1.0,A|A|A|A|A
30,pre,q3,B,B,1,1.0,B|B|B|B|B
31,pre,q7,A,A,1,1.0,A|A|A|A|A
32,pre,q2,B,B,1,1.0,B|B|B|B|B
33,pre,q4,B,B,1,1.0,B|B|B|B|B
34,pre,q4,B,B,1,1.0,B|B|B|B|B
35,pre,q5,A,A,1,1.0,A|A|A|A|A
36,pre,q7,A,A,1,1.0,A|A|A|A|A
37,pre,q7,A,A,1,1.0,A|A|A|A|A
38,pre,q1,B,B,1,1.0,B|B|B|B|B
39,pre,q2,B,B,1,1.0,B|B|B|B|B
40,pre,q11,A,A,1,1.0,A|A|A|A|A
41,pre,q7,A,A,1,1.0,A|A|A|A|A
42,pre,q11,A,A,1,1.0,A|A|A|A|A
43,pre,q0,A,A,1,1.0,A|A|A|A|A
44,pre,q7,A,A,1,1.0,A|A|A|A|A
45,pre,q7,A,A,1,1.0,A|A|A|A|A
46,pre,q0,A,A,1,1.0,A|A|A|A|A
47,pre,q7,A,A,1,1.0,A|A|A|A|A
48,pre,q11,A,A,1,1.0,A|A|A|A|A
49,pre,q1,B,B,1,1.0,B|B|B|B|B
50,pre,q7,A,A,1,1.0,A|A|A|A|A
51,pre,q9,B,B,1,1.0,B|B|B|B|B
52,pre,q1,B,B,1,1.0,B|B|B|B|B
53,pre,q7,A,A,1,1.0,A|A|A|A|A
54,pre,q10,A,A,1,1.0,A|A|A|A|A
55,pre,q0,A,A,1,1.0,A|A|A|A|A
56,pre,q2,B,B,1,1.0,B|B|B|B|B
57,pre,q11,A,A,1,1.0,A|A|A|A|A
58,pre,q3,B,B,1,1.0,B|B|B|B|B
59,pre,q6,B,B,1,1.0,B|B|B|B|B
60,post,q5,A,B,0,1.0,A|A|A|A|A
61,post,q0,A,B,0,1.0,A|A|A|A|A
62,post,q8,A,B,0,1.0,A|A|A|A|A
63,post,q0,A,B,0,1.0,A|A|A|A|A
64,post,q10,A,B,0,1.0,A|A|A|A|A
65,post,q10,A,B,0,1.0,A|A|A|A|A
66,post,q6,B,A,0,1.0,B|B|B|B|B
67,post,q9,B,A,0,1.0,B|B|B|B|B
68,post,q5,A,B,0,1.0,A|A|A|A|A
69,post,q7,A,B,0,1.0,A|A|A|A|A
70,post,q8,A,B,0,1.0,A|A|A|A|A
71,post,q10,A,B,0,1.0,A|A|A|A|A
72,post,q10,A,B,0,1.0,A|A|A|A|A
73,post,q10,A,B,0,1.0,A|A|A|A|A
74,post,q1,B,A,0,1.0,B|B|B|B|B
75,post,q3,B,A,0,1.0,B|B|B|B|B
76,post,q5,A,B,0,1.0,A|A|A|A|A
77,post,q1,B,A,0,1.0,B|B|B|B|B
78,post,q11,A,B,0,1.0,A|A|A|A|A
79,post,q1,B,A,0,1.0,B|B|B|B|B
