step,phase,cue,chosen,correct,reward,agreement,branches
0,static,q0,A,A,1,0.8,A|A|A|A|B
1,static,q1,B,A,0,1.0,B|B|B|B|B
2,static,q2,B,B,1,1.0,B|B|B|B|B
3,static,q3,A,B,0,0.6,A|A|A|B|B
4,static,q4,A,A,1,0.8,A|A|A|B|A
5,static,q5,A,B,0,0.8,A|A|A|B|A
6,static,q6,B,A,0,0.8,B|A|B|B|B
7,static,q7,B,B,1,1.0,B|B|B|B|B
8,static,q8,A,B,0,0.8,A|A|A|B|A
9,static,q9,B,A,0,1.0,B|B|B|B|B
10,static,q10,A,A,1,1.0,A|A|A|A|A
11,static,q11,B,A,0,1.0,B|B|B|B|B
12,static,q12,B,B,1,1.0,B|B|B|B|B
13,static,q13,B,A,0,1.0,B|B|B|B|B
14,static,q14,B,A,0,1.0,B|B|B|B|B
15,static,q15,B,B,1,1.0,B|B|B|B|B
16,static,q16,B,A,0,1.0,B|B|B|B|B
17,static,q17,B,A,0,1.0,B|B|B|B|B
18,static,q18,B,A,0,0.6,A|A|B|B|B
19,static,q19,B,A,0,1.0,B|B|B|B|B
20,static,q20,B,B,1,1.0,B|B|B|B|B
21,static,q21,B,A,0,1.0,B|B|B|B|B
22,static,q22,B,A,0,1.0,B|B|B|B|B
23,static,q23,B,A,0,1.0,B|B|B|B|B
24,static,q24,B,B,1,0.8,B|B|A|B|B
25,static,q25,A,B,0,0.6,A|A|A|B|B
26,static,q26,A,B,0,0.8,A|A|A|B|A
27,static,q27,A,A,1,1.0,A|A|A|A|A
28,static,q28,B,A,0,0.8,A|B|B|B|B
29,static,q29,B,A,0,1.0,B|B|B|B|B
30,static,q30,A,B,0,0.8,A|A|A|B|A
31,static,q31,B,A,0,1.0,B|B|B|B|B
32,static,q32,B,B,1,0.8,B|A|B|B|B
33,static,q33,B,A,0,1.0,B|B|B|B|B
34,static,q34,A,A,1,1.0,A|A|A|A|A
35,static,q35,B,B,1,0.8,B|A|B|B|B
36,static,q36,A,A,1,0.8,A|A|A|B|A
37,static,q37,B,B,1,1.0,B|B|B|B|B
38,static,q38,B,A,0,1.0,B|B|B|B|B
39,static,q39,B,A,0,1.0,B|B|B|B|B
40,static,q40,A,B,0,0.8,A|A|A|B|A
41,static,q41,B,B,1,0.8,A|B|B|B|B
42,static,q42,B,A,0,1.0,B|B|B|B|B
43,static,q43,B,B,1,1.0,B|B|B|B|B
44,static,q44,B,B,1,0.6,A|A|B|B|B
45,static,q45,B,A,0,1.0,B|B|B|B|B
46,static,q46,B,B,1,0.6,A|A|B|B|B
47,static,q47,B,A,0,0.8,A|B|B|B|B
48,static,q48,B,B,1,1.0,B|B|B|B|B
49,static,q49,B,A,0,0.6,A|A|B|B|B
50,static,q50,B,A,0,1.0,B|B|B|B|B
51,static,q51,B,B,1,0.6,A|A|B|B|B
52,static,q52,B,B,1,0.8,B|A|B|B|B
53,static,q53,B,B,1,1.0,B|B|B|B|B
54,static,q54,B,A,0,1.0,B|B|B|B|B
55,static,q55,B,A,0,0.6,B|A|A|B|B
56,static,q56,B,B,1,1.0,B|B|B|B|B
57,static,q57,B,A,0,1.0,B|B|B|B|B
58,static,q58,B,A,0,0.6,A|A|B|B|B
59,static,q59,B,A,0,1.0,B|B|B|B|B
60,static,q60,B,A,0,1.0,B|B|B|B|B
61,static,q61,B,A,0,1.0,B|B|B|B|B
62,static,q62,B,A,0,1.0,B|B|B|B|B
63,static,q63,A,A,1,0.8,A|A|A|B|A
64,static,q64,B,A,0,1.0,B|B|B|B|B
65,static,q65,B,B,1,1.0,B|B|B|B|B
66,static,q66,A,A,1,0.6,A|A|A|B|B
67,static,q67,B,B,1,1.0,B|B|B|B|B
68,static,q68,B,A,0,1.0,B|B|B|B|B
69,static,q69,B,B,1,0.6,A|A|B|B|B
70,static,q70,B,B,1,1.0,B|B|B|B|B
71,static,q71,B,B,1,1.0,B|B|B|B|B
72,static,q72,B,A,0,1.0,B|B|B|B|B
73,static,q73,A,A,1,0.6,A|A|B|B|A
74,static,q74,B,B,1,1.0,B|B|B|B|B
75,static,q75,B,B,1,0.8,B|A|B|B|B
76,static,q76,B,A,0,0.6,A|A|B|B|B
77,static,q77,B,A,0,0.6,A|A|B|B|B
78,static,q78,B,A,0,1.0,B|B|B|B|B
79,static,q79,B,A,0,1.0,B|B|B|B|B
80,static,q80,B,A,0,1.0,B|B|B|B|B
81,static,q81,B,A,0,1.0,B|B|B|B|B
82,static,q82,B,A,0,1.0,B|B|B|B|B
83,static,q83,B,B,1,1.0,B|B|B|B|B
84,static,q84,B,A,0,1.0,B|B|B|B|B
85,static,q85,B,B,1,1.0,B|B|B|B|B
86,static,q86,B,A,0,0.6,A|A|B|B|B
87,static,q87,B,A,0,1.0,B|B|B|B|B
88,static,q88,A,A,1,0.8,A|A|A|B|A
89,static,q89,B,A,0,0.8,B|B|B|B|A
90,static,q90,A,A,1,0.8,A|A|A|B|A
91,static,q91,B,A,0,1.0,B|B|B|B|B
92,static,q92,B,B,1,1.0,B|B|B|B|B
93,static,q93,B,A,0,1.0,B|B|B|B|B
94,static,q94,B,A,0,1.0,B|B|B|B|B
95,static,q95,B,A,0,1.0,B|B|B|B|B
96,static,q96,B,A,0,0.6,A|A|B|B|B
97,static,q97,B,B,1,1.0,B|B|B|B|B
98,static,q98,B,A,0,0.8,A|B|B|B|B
99,static,q99,B,B,1,0.6,A|A|B|B|B
100,static,q100,B,A,0,1.0,B|B|B|B|B
101,static,q101,B,A,0,1.0,B|B|B|B|B
102,static,q102,B,B,1,1.0,B|B|B|B|B
103,static,q103,B,A,0,1.0,B|B|B|B|B
104,static,q104,B,B,1,1.0,B|B|B|B|B
105,static,q105,B,B,1,0.6,A|A|B|B|B
106,static,q106,B,A,0,1.0,B|B|B|B|B
107,static,q107,B,B,1,0.8,B|A|B|B|B
108,static,q108,B,A,0,1.0,B|B|B|B|B
109,static,q109,B,B,1,0.6,A|B|B|A|B
110,static,q110,B,B,1,1.0,B|B|B|B|B
111,static,q111,B,A,0,1.0,B|B|B|B|B
112,static,q112,B,B,1,1.0,B|B|B|B|B
113,static,q113,B,A,0,0.8,B|A|B|B|B
114,static,q114,B,A,0,1.0,B|B|B|B|B
115,static,q115,B,A,0,0.8,B|A|B|B|B
116,static,q116,A,A,1,0.8,A|A|A|B|A
117,static,q117,B,B,1,1.0,B|B|B|B|B
118,static,q118,B,A,0,1.0,B|B|B|B|B
119,static,q119,B,A,0,1.0,B|B|B|B|B
120,static,q120,B,A,0,1.0,B|B|B|B|B
121,static,q121,B,B,1,0.6,A|A|B|B|B
122,static,q122,B,B,1,0.8,A|B|B|B|B
123,static,q123,B,A,0,1.0,B|B|B|B|B
124,static,q124,B,B,1,1.0,B|B|B|B|B
125,static,q125,A,B,0,1.0,A|A|A|A|A
126,static,q126,B,A,0,1.0,B|B|B|B|B
127,static,q127,B,B,1,0.8,B|A|B|B|B
128,static,q128,B,B,1,1.0,B|B|B|B|B
129,static,q129,B,B,1,1.0,B|B|B|B|B
130,static,q130,B,A,0,1.0,B|B|B|B|B
131,static,q131,B,A,0,0.8,A|B|B|B|B
132,static,q132,B,B,1,1.0,B|B|B|B|B
133,static,q133,B,B,1,1.0,B|B|B|B|B
134,static,q134,B,B,1,0.8,B|B|A|B|B
135,static,q135,B,B,1,0.8,A|B|B|B|B
136,static,q136,B,B,1,1.0,B|B|B|B|B
137,static,q137,B,A,0,1.0,B|B|B|B|B
138,static,q138,B,B,1,1.0,B|B|B|B|B
139,static,q139,B,B,1,0.8,B|A|B|B|B
140,static,q140,B,A,0,0.6,A|A|B|B|B
141,static,q141,B,B,1,1.0,B|B|B|B|B
142,static,q142,B,B,1,1.0,B|B|B|B|B
143,static,q143,B,A,0,0.6,A|A|B|B|B
144,static,q144,B,B,1,1.0,B|B|B|B|B
145,static,q145,B,B,1,0.6,A|B|A|B|B
146,static,q146,B,A,0,0.6,A|A|B|B|B
147,static,q147,B,A,0,1.0,B|B|B|B|B
148,static,q148,B,A,0,0.8,B|A|B|B|B
149,static,q149,B,B,1,0.6,A|A|B|B|B
150,static,q150,A,A,1,0.6,A|A|B|B|A
151,static,q151,B,A,0,1.0,B|B|B|B|B
152,static,q152,B,B,1,0.6,A|A|B|B|B
153,static,q153,B,A,0,0.8,A|B|B|B|B
154,static,q154,B,A,0,1.0,B|B|B|B|B
155,static,q155,B,B,1,1.0,B|B|B|B|B
156,static,q156,B,B,1,0.6,A|A|B|B|B
157,static,q157,B,A,0,1.0,B|B|B|B|B
158,static,q158,B,B,1,0.6,A|A|B|B|B
159,static,q159,A,B,0,0.8,A|A|A|B|A
160,static,q160,B,B,1,1.0,B|B|B|B|B
161,static,q161,B,B,1,1.0,B|B|B|B|B
162,static,q162,B,A,0,1.0,B|B|B|B|B
163,static,q163,A,A,1,0.8,A|A|A|A|B
164,static,q164,B,B,1,1.0,B|B|B|B|B
165,static,q165,B,B,1,1.0,B|B|B|B|B
166,static,q166,B,A,0,1.0,B|B|B|B|B
167,static,q167,B,B,1,0.6,A|A|B|B|B
168,static,q168,B,A,0,1.0,B|B|B|B|B
169,static,q169,B,B,1,1.0,B|B|B|B|B
170,static,q170,A,A,1,0.6,A|A|A|B|B
171,static,q171,B,B,1,1.0,B|B|B|B|B
172,static,q172,A,B,0,0.8,A|A|A|B|A
173,static,q173,B,B,1,0.8,B|A|B|B|B
174,static,q174,B,B,1,1.0,B|B|B|B|B
175,static,q175,A,A,1,0.8,A|A|A|A|B
176,static,q176,A,B,0,0.8,A|A|A|B|A
177,static,q177,B,B,1,1.0,B|B|B|B|B
178,static,q178,A,B,0,0.8,A|A|A|B|A
179,static,q179,B,A,0,1.0,B|B|B|B|B
180,static,q180,B,A,0,1.0,B|B|B|B|B
181,static,q181,B,A,0,1.0,B|B|B|B|B
182,static,q182,B,A,0,1.0,B|B|B|B|B
183,static,q183,A,B,0,0.6,A|A|A|B|B
184,static,q184,B,B,1,1.0,B|B|B|B|B
185,static,q185,A,A,1,0.6,A|A|A|B|B
186,static,q186,A,B,0,0.8,A|A|A|A|B
187,static,q187,B,B,1,1.0,B|B|B|B|B
188,static,q188,B,B,1,1.0,B|B|B|B|B
189,static,q189,A,B,0,0.8,A|A|A|B|A
190,static,q190,B,A,0,1.0,B|B|B|B|B
191,static,q191,B,B,1,1.0,B|B|B|B|B
192,static,q192,B,A,0,0.6,B|A|B|A|B
193,static,q193,B,A,0,1.0,B|B|B|B|B
194,static,q194,B,B,1,1.0,B|B|B|B|B
195,static,q195,B,B,1,0.8,B|A|B|B|B
196,static,q196,A,A,1,0.6,A|A|A|B|B
197,static,q197,B,B,1,1.0,B|B|B|B|B
198,static,q198,B,A,0,0.8,B|A|B|B|B
199,static,q199,B,B,1,0.8,B|A|B|B|B
