step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,q9,B,B,1,1.0,B|B|B|B|B
1,pre,q8,B,A,0,0.6,A|B|A|B|B
2,pre,q11,B,A,0,1.0,B|B|B|B|B
3,pre,q9,B,B,1,1.0,B|B|B|B|B
4,pre,q0,B,B,1,0.6,A|A|B|B|B
5,pre,q11,A,A,1,1.0,A|A|A|A|A
6,pre,q5,A,A,1,1.0,A|A|A|A|A
7,pre,q9,B,B,1,1.0,B|B|B|B|B
8,pre,q5,A,A,1,1.0,A|A|A|A|A
9,pre,q4,B,A,0,1.0,B|B|B|B|B
10,pre,q2,A,A,1,0.8,A|A|A|B|A
11,pre,q6,B,B,1,1.0,B|B|B|B|B
12,pre,q4,A,A,1,1.0,A|A|A|A|A
13,pre,q10,B,B,1,1.0,B|B|B|B|B
14,pre,q8,A,A,1,1.0,A|A|A|A|A
15,pre,q2,A,A,1,1.0,A|A|A|A|A
16,pre,q4,A,A,1,1.0,A|A|A|A|A
17,pre,q4,A,A,1,1.0,A|A|A|A|A
18,pre,q10,B,B,1,1.0,B|B|B|B|B
19,pre,q11,A,A,1,1.0,A|A|A|A|A
20,pre,q2,A,A,1,1.0,A|A|A|A|A
21,pre,q6,B,B,1,1.0,B|B|B|B|B
22,pre,q0,B,B,1,1.0,B|B|B|B|B
23,pre,q5,A,A,1,1.0,A|A|A|A|A
24,pre,q8,A,A,1,1.0,A|A|A|A|A
25,pre,q0,B,B,1,1.0,B|B|B|B|B
26,pre,q6,B,B,1,1.0,B|B|B|B|B
27,pre,q4,A,A,1,1.0,A|A|A|A|A
28,pre,q8,A,A,1,1.0,A|A|A|A|A
29,pre,q4,A,A,1,1.0,A|A|A|A|A
30,pre,q8,A,A,1,1.0,A|A|A|A|A
31,pre,q6,B,B,1,1.0,B|B|B|B|B
32,pre,q6,B,B,1,1.0,B|B|B|B|B
33,pre,q10,B,B,1,1.0,B|B|B|B|B
34,pre,q2,A,A,1,1.0,A|A|A|A|A
35,pre,q4,A,A,1,1.0,A|A|A|A|A
36,pre,q9,B,B,1,1.0,B|B|B|B|B
37,pre,q5,A,A,1,1.0,A|A|A|A|A
38,pre,q6,B,B,1,1.0,B|B|B|B|B
39,pre,q9,B,B,1,1.0,B|B|B|B|B
40,pre,q0,B,B,1,1.0,B|B|B|B|B
41,pre,q4,A,A,1,1.0,A|A|A|A|A
42,pre,q9,B,B,1,1.0,B|B|B|B|B
43,pre,q9,B,B,1,1.0,B|B|B|B|B
44,pre,q8,A,A,1,1.0,A|A|A|A|A
45,pre,q8,A,A,1,1.0,A|A|A|A|A
46,pre,q8,A,A,1,1.0,A|A|A|A|A
47,pre,q6,B,B,1,1.0,B|B|B|B|B
48,pre,q10,B,B,1,1.0,B|B|B|B|B
49,pre,q8,A,A,1,1.0,A|A|A|A|A
50,pre,q6,B,B,1,1.0,B|B|B|B|B
51,pre,q1,A,A,1,0.8,A|A|A|A|B
52,pre,q1,A,A,1,1.0,A|A|A|A|A
53,pre,q7,B,A,0,1.0,B|B|B|B|B
54,pre,q5,A,A,1,1.0,A|A|A|A|A
55,pre,q1,A,A,1,1.0,A|A|A|A|A
56,pre,q6,B,B,1,1.0,B|B|B|B|B
57,pre,q6,B,B,1,1.0,B|B|B|B|B
58,pre,q0,B,B,1,1.0,B|B|B|B|B
59,pre,q3,A,A,1,0.8,A|A|B|A|A
60,post,q8,A,B,0,1.0,A|A|A|A|A
61,post,q3,A,B,0,1.0,A|A|A|A|A
62,post,q6,B,A,0,1.0,B|B|B|B|B
63,post,q0,B,A,0,1.0,B|B|B|B|B
64,post,q1,A,B,0,1.0,A|A|A|A|A
65,post,q7,A,B,0,1.0,A|A|A|A|A
66,post,q3,A,B,0,1.0,A|A|A|A|A
67,post,q2,A,B,0,1.0,A|A|A|A|A
68,post,q0,B,A,0,1.0,B|B|B|B|B
69,post,q8,A,B,0,1.0,A|A|A|A|A
70,post,q6,B,A,0,1.0,B|B|B|B|B
71,post,q5,A,B,0,1.0,A|A|A|A|A
72,post,q2,A,B,0,1.0,A|A|A|A|A
73,post,q5,A,B,0,1.0,A|A|A|A|A
74,post,q5,A,B,0,1.0,A|A|A|A|A
75,post,q10,B,A,0,1.0,B|B|B|B|B
76,post,q3,A,B,0,0.8,A|A|A|B|A
77,post,q7,A,B,0,0.8,A|A|A|A|B
78,post,q0,B,A,0,1.0,B|B|B|B|B
79,post,q1,A,B,0,1.0,A|A|A|A|A
