step,phase,cue,chosen,correct,reward,agreement,branches
0,static,q0,A,A,1,1.0,A|A|A|A|A
1,static,q1,A,A,1,1.0,A|A|A|A|A
2,static,q2,A,B,0,1.0,A|A|A|A|A
3,static,q3,B,B,1,1.0,B|B|B|B|B
4,static,q4,A,A,1,1.0,A|A|A|A|A
5,static,q5,B,B,1,1.0,B|B|B|B|B
6,static,q6,B,A,0,1.0,B|B|B|B|B
7,static,q7,A,B,0,0.8,A|A|A|A|B
8,static,q8,A,B,0,1.0,A|A|A|A|A
9,static,q9,A,A,1,1.0,A|A|A|A|A
10,static,q10,A,A,1,0.8,A|A|A|B|A
11,static,q11,B,A,0,0.6,B|A|B|A|B
12,static,q12,A,B,0,1.0,A|A|A|A|A
13,static,q13,A,A,1,1.0,A|A|A|A|A
14,static,q14,A,A,1,1.0,A|A|A|A|A
15,static,q15,A,B,0,0.8,A|A|A|A|B
16,static,q16,A,A,1,1.0,A|A|A|A|A
17,static,q17,A,A,1,1.0,A|A|A|A|A
18,static,q18,B,A,0,0.8,B|A|B|B|B
19,static,q19,A,A,1,1.0,A|A|A|A|A
20,static,q20,B,B,1,1.0,B|B|B|B|B
21,static,q21,A,A,1,1.0,A|A|A|A|A
22,static,q22,A,A,1,1.0,A|A|A|A|A
23,static,q23,A,A,1,1.0,A|A|A|A|A
24,static,q24,B,B,1,1.0,B|B|B|B|B
25,static,q25,B,B,1,0.6,B|A|B|A|B
26,static,q26,B,B,1,1.0,B|B|B|B|B
27,static,q27,A,A,1,1.0,A|A|A|A|A
28,static,q28,A,A,1,1.0,A|A|A|A|A
29,static,q29,A,A,1,1.0,A|A|A|A|A
30,static,q30,B,B,1,1.0,B|B|B|B|B
31,static,q31,A,A,1,1.0,A|A|A|A|A
32,static,q32,B,B,1,1.0,B|B|B|B|B
33,static,q33,A,A,1,0.8,A|A|A|B|A
34,static,q34,A,A,1,1.0,A|A|A|A|A
35,static,q35,B,B,1,0.8,B|A|B|B|B
36,static,q36,B,A,0,1.0,B|B|B|B|B
37,static,q37,B,B,1,1.0,B|B|B|B|B
38,static,q38,A,A,1,1.0,A|A|A|A|A
39,static,q39,A,A,1,1.0,A|A|A|A|A
40,static,q40,B,B,1,1.0,B|B|B|B|B
41,static,q41,B,B,1,1.0,B|B|B|B|B
42,static,q42,A,A,1,1.0,A|A|A|A|A
43,static,q43,A,B,0,1.0,A|A|A|A|A
44,static,q44,B,B,1,1.0,B|B|B|B|B
45,static,q45,A,A,1,1.0,A|A|A|A|A
46,static,q46,B,B,1,0.6,B|A|B|A|B
47,static,q47,A,A,1,1.0,A|A|A|A|A
48,static,q48,A,B,0,1.0,A|A|A|A|A
49,static,q49,A,A,1,1.0,A|A|A|A|A
50,static,q50,B,A,0,1.0,B|B|B|B|B
51,static,q51,A,B,0,0.6,A|A|A|B|B
52,static,q52,B,B,1,1.0,B|B|B|B|B
53,static,q53,B,B,1,0.6,B|A|A|B|B
54,static,q54,A,A,1,0.8,A|A|A|B|A
55,static,q55,A,A,1,1.0,A|A|A|A|A
56,static,q56,B,B,1,1.0,B|B|B|B|B
57,static,q57,A,A,1,1.0,A|A|A|A|A
58,static,q58,A,A,1,1.0,A|A|A|A|A
59,static,q59,B,A,0,1.0,B|B|B|B|B
60,static,q60,A,A,1,1.0,A|A|A|A|A
61,static,q61,A,A,1,0.8,A|A|A|B|A
62,static,q62,A,A,1,1.0,A|A|A|A|A
63,static,q63,A,A,1,1.0,A|A|A|A|A
64,static,q64,A,A,1,1.0,A|A|A|A|A
65,static,q65,B,B,1,1.0,B|B|B|B|B
66,static,q66,A,A,1,1.0,A|A|A|A|A
67,static,q67,B,B,1,1.0,B|B|B|B|B
68,static,q68,A,A,1,1.0,A|A|A|A|A
69,static,q69,B,B,1,1.0,B|B|B|B|B
70,static,q70,B,B,1,1.0,B|B|B|B|B
71,static,q71,B,B,1,0.8,B|B|B|A|B
72,static,q72,A,A,1,0.8,A|A|A|B|A
73,static,q73,A,A,1,1.0,A|A|A|A|A
74,static,q74,A,B,0,1.0,A|A|A|A|A
75,static,q75,B,B,1,1.0,B|B|B|B|B
76,static,q76,A,A,1,1.0,A|A|A|A|A
77,static,q77,A,A,1,1.0,A|A|A|A|A
78,static,q78,A,A,1,1.0,A|A|A|A|A
79,static,q79,A,A,1,1.0,A|A|A|A|A
80,static,q80,A,A,1,1.0,A|A|A|A|A
81,static,q81,A,A,1,1.0,A|A|A|A|A
82,static,q82,A,A,1,1.0,A|A|A|A|A
83,static,q83,A,B,0,1.0,A|A|A|A|A
84,static,q84,A,A,1,1.0,A|A|A|A|A
85,static,q85,B,B,1,1.0,B|B|B|B|B
86,static,q86,A,A,1,1.0,A|A|A|A|A
87,static,q87,B,A,0,1.0,B|B|B|B|B
88,static,q88,A,A,1,1.0,A|A|A|A|A
