step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,q10,A,B,0,0.6,A|A|B|B|A
1,pre,q10,B,B,1,1.0,B|B|B|B|B
2,pre,q8,B,B,1,1.0,B|B|B|B|B
3,pre,q2,A,A,1,1.0,A|A|A|A|A
4,pre,q2,A,A,1,1.0,A|A|A|A|A
5,pre,q8,B,B,1,1.0,B|B|B|B|B
6,pre,q10,B,B,1,1.0,B|B|B|B|B
7,pre,q10,B,B,1,1.0,B|B|B|B|B
8,pre,q4,A,A,1,1.0,A|A|A|A|A
9,pre,q2,A,A,1,1.0,A|A|A|A|A
10,pre,q0,B,B,1,1.0,B|B|B|B|B
11,pre,q10,B,B,1,1.0,B|B|B|B|B
12,pre,q1,B,A,0,1.0,B|B|B|B|B
13,pre,q1,B,A,0,0.8,B|B|A|B|B
14,pre,q9,B,A,0,0.8,B|A|B|B|B
15,pre,q5,B,B,1,0.8,B|B|A|B|B
16,pre,q0,B,B,1,1.0,B|B|B|B|B
17,pre,q1,B,A,0,1.0,B|B|B|B|B
18,pre,q4,A,A,1,1.0,A|A|A|A|A
19,pre,q3,B,B,1,0.6,B|A|B|A|B
20,pre,q6,A,A,1,1.0,A|A|A|A|A
21,pre,q6,A,A,1,1.0,A|A|A|A|A
22,pre,q9,A,A,1,1.0,A|A|A|A|A
23,pre,q7,B,B,1,0.8,B|B|A|B|B
24,pre,q9,A,A,1,1.0,A|A|A|A|A
25,pre,q1,B,A,0,0.8,B|A|B|B|B
26,pre,q10,B,B,1,1.0,B|B|B|B|B
27,pre,q10,B,B,1,1.0,B|B|B|B|B
28,pre,q1,B,A,0,0.6,B|A|A|B|B
29,pre,q9,A,A,1,1.0,A|A|A|A|A
30,pre,q9,A,A,1,1.0,A|A|A|A|A
31,pre,q10,B,B,1,1.0,B|B|B|B|B
32,pre,q10,B,B,1,1.0,B|B|B|B|B
33,pre,q5,B,B,1,1.0,B|B|B|B|B
34,pre,q2,A,A,1,1.0,A|A|A|A|A
35,pre,q1,A,A,1,0.6,B|A|A|A|B
36,pre,q11,B,B,1,1.0,B|B|B|B|B
37,pre,q7,B,B,1,1.0,B|B|B|B|B
38,pre,q8,B,B,1,1.0,B|B|B|B|B
39,pre,q10,B,B,1,1.0,B|B|B|B|B
40,pre,q3,B,B,1,1.0,B|B|B|B|B
41,pre,q4,A,A,1,1.0,A|A|A|A|A
42,pre,q7,B,B,1,1.0,B|B|B|B|B
43,pre,q9,A,A,1,1.0,A|A|A|A|A
44,pre,q3,B,B,1,0.8,B|B|B|A|B
45,pre,q7,B,B,1,1.0,B|B|B|B|B
46,pre,q4,A,A,1,1.0,A|A|A|A|A
47,pre,q8,B,B,1,1.0,B|B|B|B|B
48,pre,q4,A,A,1,1.0,A|A|A|A|A
49,pre,q1,A,A,1,0.8,B|A|A|A|A
50,pre,q1,B,A,0,0.8,B|B|A|B|B
51,pre,q1,A,A,1,0.6,B|A|A|B|A
52,pre,q4,A,A,1,1.0,A|A|A|A|A
53,pre,q4,A,A,1,1.0,A|A|A|A|A
54,pre,q1,B,A,0,0.8,B|B|A|B|B
55,pre,q0,B,B,1,1.0,B|B|B|B|B
56,pre,q2,A,A,1,1.0,A|A|A|A|A
57,pre,q11,B,B,1,1.0,B|B|B|B|B
58,pre,q6,A,A,1,1.0,A|A|A|A|A
59,pre,q1,B,A,0,0.8,B|B|A|B|B
60,post,q10,B,B,1,1.0,B|B|B|B|B
61,post,q8,B,A,0,1.0,B|B|B|B|B
62,post,q9,A,B,0,1.0,A|A|A|A|A
63,post,q1,B,B,1,0.6,B|A|A|B|B
64,post,q6,A,A,1,1.0,A|A|A|A|A
65,post,q7,B,B,1,1.0,B|B|B|B|B
66,post,q10,B,B,1,1.0,B|B|B|B|B
67,post,q2,A,A,1,1.0,A|A|A|A|A
68,post,q8,B,A,0,1.0,B|B|B|B|B
69,post,q6,A,A,1,1.0,A|A|A|A|A
70,post,q7,B,B,1,1.0,B|B|B|B|B
71,post,q4,A,B,0,1.0,A|A|A|A|A
72,post,q7,B,B,1,1.0,B|B|B|B|B
73,post,q7,B,B,1,1.0,B|B|B|B|B
74,post,q6,A,A,1,1.0,A|A|A|A|A
75,post,q6,A,A,1,1.0,A|A|A|A|A
76,post,q9,B,B,1,0.6,A|B|B|B|A
77,post,q1,B,B,1,1.0,B|B|B|B|B
78,post,q4,A,B,0,1.0,A|A|A|A|A
79,post,q7,B,B,1,1.0,B|B|B|B|B
