step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,q7,A,A,1,1.0,A|A|A|A|A
1,pre,q6,B,B,1,1.0,B|B|B|B|B
2,pre,q1,B,B,1,1.0,B|B|B|B|B
3,pre,q3,A,A,1,1.0,A|A|A|A|A
4,pre,q9,B,B,1,1.0,B|B|B|B|B
5,pre,q3,A,A,1,1.0,A|A|A|A|A
6,pre,q0,A,A,1,1.0,A|A|A|A|A
7,pre,q3,A,A,1,1.0,A|A|A|A|A
8,pre,q1,B,B,1,1.0,B|B|B|B|B
9,pre,q1,B,B,1,1.0,B|B|B|B|B
10,pre,q3,A,A,1,1.0,A|A|A|A|A
11,pre,q4,B,B,1,1.0,B|B|B|B|B
12,pre,q11,A,A,1,1.0,A|A|A|A|A
13,pre,q4,B,B,1,1.0,B|B|B|B|B
14,pre,q4,B,B,1,1.0,B|B|B|B|B
15,pre,q11,A,A,1,1.0,A|A|A|A|A
16,pre,q4,B,B,1,1.0,B|B|B|B|B
17,pre,q2,B,B,1,1.0,B|B|B|B|B
18,pre,q9,B,B,1,1.0,B|B|B|B|B
19,pre,q1,B,B,1,1.0,B|B|B|B|B
20,pre,q0,A,A,1,1.0,A|A|A|A|A
21,pre,q4,B,B,1,1.0,B|B|B|B|B
22,pre,q11,A,A,1,1.0,A|A|A|A|A
23,pre,q3,A,A,1,1.0,A|A|A|A|A
24,pre,q3,A,A,1,1.0,A|A|A|A|A
25,pre,q9,B,B,1,1.0,B|B|B|B|B
26,pre,q3,A,A,1,1.0,A|A|A|A|A
27,pre,q0,A,A,1,1.0,A|A|A|A|A
28,pre,q0,A,A,1,1.0,A|A|A|A|A
29,pre,q10,A,A,1,1.0,A|A|A|A|A
30,pre,q9,B,B,1,1.0,B|B|B|B|B
31,pre,q4,B,B,1,1.0,B|B|B|B|B
32,pre,q4,B,B,1,1.0,B|B|B|B|B
33,pre,q2,B,B,1,1.0,B|B|B|B|B
34,pre,q11,A,A,1,1.0,A|A|A|A|A
35,pre,q10,A,A,1,1.0,A|A|A|A|A
36,pre,q5,B,B,1,1.0,B|B|B|B|B
37,pre,q9,B,B,1,1.0,B|B|B|B|B
38,pre,q11,A,A,1,1.0,A|A|A|A|A
39,pre,q7,A,A,1,1.0,A|A|A|A|A
40,pre,q2,B,B,1,1.0,B|B|B|B|B
41,pre,q10,A,A,1,1.0,A|A|A|A|A
42,pre,q4,B,B,1,1.0,B|B|B|B|B
43,pre,q8,B,B,1,1.0,B|B|B|B|B
44,pre,q6,B,B,1,1.0,B|B|B|B|B
45,pre,q2,B,B,1,1.0,B|B|B|B|B
46,pre,q2,B,B,1,1.0,B|B|B|B|B
47,pre,q6,B,B,1,1.0,B|B|B|B|B
48,pre,q11,A,A,1,1.0,A|A|A|A|A
49,pre,q1,B,B,1,1.0,B|B|B|B|B
50,pre,q11,A,A,1,1.0,A|A|A|A|A
51,pre,q2,B,B,1,1.0,B|B|B|B|B
52,pre,q9,B,B,1,1.0,B|B|B|B|B
53,pre,q6,B,B,1,1.0,B|B|B|B|B
54,pre,q5,B,B,1,1.0,B|B|B|B|B
55,pre,q3,A,A,1,1.0,A|A|A|A|A
56,pre,q1,B,B,1,1.0,B|B|B|B|B
57,pre,q9,B,B,1,1.0,B|B|B|B|B
58,pre,q0,A,A,1,1.0,A|A|A|A|A
59,pre,q8,B,B,1,1.0,B|B|B|B|B
60,post,q3,A,B,0,1.0,A|A|A|A|A
61,post,q6,B,A,0,1.0,B|B|B|B|B
62,post,q2,B,A,0,1.0,B|B|B|B|B
63,post,q2,B,A,0,1.0,B|B|B|B|B
64,post,q1,B,A,0,1.0,B|B|B|B|B
65,post,q1,B,A,0,1.0,B|B|B|B|B
66,post,q4,B,A,0,1.0,B|B|B|B|B
67,post,q0,A,B,0,1.0,A|A|A|A|A
68,post,q10,A,B,0,1.0,A|A|A|A|A
69,post,q5,B,A,0,1.0,B|B|B|B|B
70,post,q10,A,B,0,1.0,A|A|A|A|A
71,post,q11,A,B,0,1.0,A|A|A|A|A
72,post,q6,B,A,0,1.0,B|B|B|B|B
73,post,q7,A,B,0,1.0,A|A|A|A|A
74,post,q8,B,A,0,1.0,B|B|B|B|B
75,post,q11,A,B,0,1.0,A|A|A|A|A
76,post,q0,A,B,0,1.0,A|A|A|A|A
77,post,q10,A,B,0,1.0,A|A|A|A|A
78,post,q2,B,A,0,1.0,B|B|B|B|B
79,post,q1,B,A,0,1.0,B|B|B|B|B
