step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,q10,B,B,1,1.0,B|B|B|B|B
1,pre,q1,B,B,1,1.0,B|B|B|B|B
2,pre,q6,A,A,1,1.0,A|A|A|A|A
3,pre,q5,A,A,1,1.0,A|A|A|A|A
4,pre,q1,B,B,1,1.0,B|B|B|B|B
5,pre,q5,A,A,1,1.0,A|A|A|A|A
6,pre,q6,A,A,1,1.0,A|A|A|A|A
7,pre,q4,B,B,1,1.0,B|B|B|B|B
8,pre,q7,B,B,1,1.0,B|B|B|B|B
9,pre,q11,A,A,1,1.0,A|A|A|A|A
10,pre,q1,B,B,1,1.0,B|B|B|B|B
11,pre,q3,A,A,1,1.0,A|A|A|A|A
12,pre,q11,A,A,1,1.0,A|A|A|A|A
13,pre,q10,B,B,1,1.0,B|B|B|B|B
14,pre,q4,B,B,1,1.0,B|B|B|B|B
15,pre,q1,B,B,1,1.0,B|B|B|B|B
16,pre,q0,A,A,1,1.0,A|A|A|A|A
17,pre,q9,B,A,0,1.0,B|B|B|B|B
18,pre,q3,A,A,1,1.0,A|A|A|A|A
19,pre,q10,B,B,1,1.0,B|B|B|B|B
20,pre,q5,A,A,1,1.0,A|A|A|A|A
21,pre,q7,B,B,1,1.0,B|B|B|B|B
22,pre,q3,A,A,1,1.0,A|A|A|A|A
23,pre,q8,B,A,0,0.8,B|A|B|B|B
24,pre,q9,B,A,0,1.0,B|B|B|B|B
25,pre,q10,B,B,1,1.0,B|B|B|B|B
26,pre,q11,A,A,1,1.0,A|A|A|A|A
27,pre,q8,A,A,1,1.0,A|A|A|A|A
28,pre,q0,A,A,1,1.0,A|A|A|A|A
29,pre,q10,B,B,1,1.0,B|B|B|B|B
30,pre,q5,A,A,1,1.0,A|A|A|A|A
31,pre,q3,A,A,1,1.0,A|A|A|A|A
32,pre,q9,B,A,0,1.0,B|B|B|B|B
33,pre,q6,A,A,1,1.0,A|A|A|A|A
34,pre,q4,B,B,1,1.0,B|B|B|B|B
35,pre,q5,A,A,1,1.0,A|A|A|A|A
36,pre,q9,B,A,0,1.0,B|B|B|B|B
37,pre,q1,B,B,1,1.0,B|B|B|B|B
38,pre,q1,B,B,1,1.0,B|B|B|B|B
39,pre,q8,A,A,1,1.0,A|A|A|A|A
40,pre,q10,B,B,1,1.0,B|B|B|B|B
41,pre,q8,A,A,1,1.0,A|A|A|A|A
42,pre,q3,A,A,1,1.0,A|A|A|A|A
43,pre,q1,B,B,1,1.0,B|B|B|B|B
44,pre,q9,B,A,0,1.0,B|B|B|B|B
45,pre,q10,B,B,1,1.0,B|B|B|B|B
46,pre,q4,B,B,1,1.0,B|B|B|B|B
47,pre,q4,B,B,1,1.0,B|B|B|B|B
48,pre,q11,A,A,1,1.0,A|A|A|A|A
49,pre,q3,A,A,1,1.0,A|A|A|A|A
50,pre,q6,A,A,1,1.0,A|A|A|A|A
51,pre,q7,B,B,1,1.0,B|B|B|B|B
52,pre,q3,A,A,1,1.0,A|A|A|A|A
53,pre,q2,B,A,0,0.6,B|B|A|A|B
54,pre,q9,B,A,0,1.0,B|B|B|B|B
55,pre,q3,A,A,1,1.0,A|A|A|A|A
56,pre,q11,A,A,1,1.0,A|A|A|A|A
57,pre,q8,A,A,1,1.0,A|A|A|A|A
58,pre,q0,A,A,1,1.0,A|A|A|A|A
59,pre,q3,A,A,1,1.0,A|A|A|A|A
60,post,q2,A,B,0,1.0,A|A|A|A|A
61,post,q0,A,B,0,1.0,A|A|A|A|A
62,post,q10,B,A,0,1.0,B|B|B|B|B
63,post,q5,A,B,0,1.0,A|A|A|A|A
64,post,q8,A,B,0,1.0,A|A|A|A|A
65,post,q10,B,A,0,1.0,B|B|B|B|B
66,post,q9,B,B,1,1.0,B|B|B|B|B
67,post,q9,B,B,1,1.0,B|B|B|B|B
68,post,q4,B,A,0,1.0,B|B|B|B|B
69,post,q5,A,B,0,1.0,A|A|A|A|A
70,post,q6,A,B,0,1.0,A|A|A|A|A
71,post,q8,A,B,0,0.8,A|A|A|A|B
72,post,q6,A,B,0,1.0,A|A|A|A|A
73,post,q4,B,A,0,1.0,B|B|B|B|B
74,post,q2,B,B,1,0.6,B|B|A|A|B
75,post,q10,B,A,0,1.0,B|B|B|B|B
76,post,q7,B,A,0,1.0,B|B|B|B|B
77,post,q0,A,B,0,1.0,A|A|A|A|A
78,post,q2,B,B,1,0.6,B|B|A|A|B
79,post,q6,A,B,0,1.0,A|A|A|A|A
