step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,q7,B,B,1,1.0,B|B|B|B|B
1,pre,q11,A,A,1,1.0,A|A|A|A|A
2,pre,q7,B,B,1,1.0,B|B|B|B|B
3,pre,q10,B,B,1,1.0,B|B|B|B|B
4,pre,q4,A,A,1,1.0,A|A|A|A|A
5,pre,q7,B,B,1,1.0,B|B|B|B|B
6,pre,q1,B,B,1,1.0,B|B|B|B|B
7,pre,q10,B,B,1,1.0,B|B|B|B|B
8,pre,q4,A,A,1,1.0,A|A|A|A|A
9,pre,q9,A,A,1,1.0,A|A|A|A|A
10,pre,q2,B,A,0,1.0,B|B|B|B|B
11,pre,q10,B,B,1,1.0,B|B|B|B|B
12,pre,q5,A,A,1,1.0,A|A|A|A|A
13,pre,q4,A,A,1,1.0,A|A|A|A|A
14,pre,q1,B,B,1,1.0,B|B|B|B|B
15,pre,q8,A,A,1,1.0,A|A|A|A|A
16,pre,q10,B,B,1,1.0,B|B|B|B|B
17,pre,q5,A,A,1,1.0,A|A|A|A|A
18,pre,q10,B,B,1,1.0,B|B|B|B|B
19,pre,q0,A,A,1,1.0,A|A|A|A|A
20,pre,q3,B,B,1,1.0,B|B|B|B|B
21,pre,q5,A,A,1,1.0,A|A|A|A|A
22,pre,q5,A,A,1,1.0,A|A|A|A|A
23,pre,q11,A,A,1,1.0,A|A|A|A|A
24,pre,q1,B,B,1,1.0,B|B|B|B|B
25,pre,q4,A,A,1,1.0,A|A|A|A|A
26,pre,q1,B,B,1,1.0,B|B|B|B|B
27,pre,q3,B,B,1,1.0,B|B|B|B|B
28,pre,q10,B,B,1,1.0,B|B|B|B|B
29,pre,q9,A,A,1,1.0,A|A|A|A|A
30,pre,q2,A,A,1,1.0,A|A|A|A|A
31,pre,q7,B,B,1,1.0,B|B|B|B|B
32,pre,q4,A,A,1,1.0,A|A|A|A|A
33,pre,q4,A,A,1,1.0,A|A|A|A|A
34,pre,q8,A,A,1,1.0,A|A|A|A|A
35,pre,q11,A,A,1,1.0,A|A|A|A|A
36,pre,q4,A,A,1,1.0,A|A|A|A|A
37,pre,q3,B,B,1,1.0,B|B|B|B|B
38,pre,q1,B,B,1,1.0,B|B|B|B|B
39,pre,q9,A,A,1,1.0,A|A|A|A|A
40,pre,q7,B,B,1,1.0,B|B|B|B|B
41,pre,q2,A,A,1,1.0,A|A|A|A|A
42,pre,q10,B,B,1,1.0,B|B|B|B|B
43,pre,q2,A,A,1,1.0,A|A|A|A|A
44,pre,q5,A,A,1,1.0,A|A|A|A|A
45,pre,q7,B,B,1,1.0,B|B|B|B|B
46,pre,q3,B,B,1,1.0,B|B|B|B|B
47,pre,q10,B,B,1,1.0,B|B|B|B|B
48,pre,q9,A,A,1,1.0,A|A|A|A|A
49,pre,q2,A,A,1,1.0,A|A|A|A|A
50,pre,q7,B,B,1,1.0,B|B|B|B|B
51,pre,q8,A,A,1,1.0,A|A|A|A|A
52,pre,q4,A,A,1,1.0,A|A|A|A|A
53,pre,q8,A,A,1,1.0,A|A|A|A|A
54,pre,q3,B,B,1,1.0,B|B|B|B|B
55,pre,q8,A,A,1,1.0,A|A|A|A|A
56,pre,q3,B,B,1,1.0,B|B|B|B|B
57,pre,q1,B,B,1,1.0,B|B|B|B|B
58,pre,q10,B,B,1,1.0,B|B|B|B|B
59,pre,q2,A,A,1,0.6,B|A|A|B|A
60,post,q4,A,A,1,1.0,A|A|A|A|A
61,post,q5,A,B,0,1.0,A|A|A|A|A
62,post,q10,B,A,0,1.0,B|B|B|B|B
63,post,q8,A,A,1,1.0,A|A|A|A|A
64,post,q10,B,A,0,1.0,B|B|B|B|B
65,post,q3,B,A,0,1.0,B|B|B|B|B
66,post,q6,A,B,0,1.0,A|A|A|A|A
67,post,q3,B,A,0,1.0,B|B|B|B|B
68,post,q4,A,A,1,1.0,A|A|A|A|A
69,post,q6,B,B,1,0.8,A|B|B|B|B
70,post,q1,B,A,0,1.0,B|B|B|B|B
71,post,q7,B,B,1,1.0,B|B|B|B|B
72,post,q5,A,B,0,1.0,A|A|A|A|A
73,post,q5,A,B,0,1.0,A|A|A|A|A
74,post,q4,A,A,1,1.0,A|A|A|A|A
75,post,q2,A,B,0,0.6,B|A|A|B|A
76,post,q11,A,B,0,1.0,A|A|A|A|A
77,post,q9,A,B,0,1.0,A|A|A|A|A
78,post,q6,B,B,1,1.0,B|B|B|B|B
79,post,q5,A,B,0,1.0,A|A|A|A|A
