step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,q1,B,B,1,0.6,A|A|B|B|B
1,pre,q10,A,A,1,0.6,A|A|B|A|B
2,pre,q8,B,B,1,1.0,B|B|B|B|B
3,pre,q7,B,B,1,1.0,B|B|B|B|B
4,pre,q6,A,A,1,0.8,A|A|A|B|A
5,pre,q1,B,B,1,1.0,B|B|B|B|B
6,pre,q3,A,B,0,0.6,A|A|B|A|B
7,pre,q9,B,A,0,0.6,A|A|B|B|B
8,pre,q3,B,B,1,1.0,B|B|B|B|B
9,pre,q0,B,A,0,1.0,B|B|B|B|B
10,pre,q3,B,B,1,1.0,B|B|B|B|B
11,pre,q1,B,B,1,1.0,B|B|B|B|B
12,pre,q1,B,B,1,1.0,B|B|B|B|B
13,pre,q3,B,B,1,1.0,B|B|B|B|B
14,pre,q4,B,B,1,0.6,A|B|A|B|B
15,pre,q11,B,B,1,1.0,B|B|B|B|B
16,pre,q4,B,B,1,1.0,B|B|B|B|B
17,pre,q4,B,B,1,1.0,B|B|B|B|B
18,pre,q11,B,B,1,1.0,B|B|B|B|B
19,pre,q4,B,B,1,1.0,B|B|B|B|B
20,pre,q2,B,B,1,1.0,B|B|B|B|B
21,pre,q9,A,A,1,1.0,A|A|A|A|A
22,pre,q1,B,B,1,1.0,B|B|B|B|B
23,pre,q0,A,A,1,0.6,A|A|A|B|B
24,pre,q4,B,B,1,1.0,B|B|B|B|B
25,pre,q11,B,B,1,1.0,B|B|B|B|B
26,pre,q3,B,B,1,1.0,B|B|B|B|B
27,pre,q3,B,B,1,1.0,B|B|B|B|B
28,pre,q9,A,A,1,1.0,A|A|A|A|A
29,pre,q3,B,B,1,1.0,B|B|B|B|B
30,pre,q0,A,A,1,1.0,A|A|A|A|A
31,pre,q0,A,A,1,1.0,A|A|A|A|A
32,pre,q10,A,A,1,1.0,A|A|A|A|A
33,pre,q9,A,A,1,1.0,A|A|A|A|A
34,pre,q4,B,B,1,1.0,B|B|B|B|B
35,pre,q4,B,B,1,1.0,B|B|B|B|B
36,pre,q2,B,B,1,1.0,B|B|B|B|B
37,pre,q11,B,B,1,1.0,B|B|B|B|B
38,pre,q10,A,A,1,1.0,A|A|A|A|A
39,pre,q5,B,B,1,1.0,B|B|B|B|B
40,pre,q9,A,A,1,1.0,A|A|A|A|A
41,pre,q11,B,B,1,1.0,B|B|B|B|B
42,pre,q7,B,B,1,1.0,B|B|B|B|B
43,pre,q2,B,B,1,1.0,B|B|B|B|B
44,pre,q10,A,A,1,1.0,A|A|A|A|A
45,pre,q4,B,B,1,1.0,B|B|B|B|B
46,pre,q8,B,B,1,1.0,B|B|B|B|B
47,pre,q6,A,A,1,1.0,A|A|A|A|A
48,pre,q2,B,B,1,1.0,B|B|B|B|B
49,pre,q2,B,B,1,1.0,B|B|B|B|B
50,pre,q6,A,A,1,1.0,A|A|A|A|A
51,pre,q11,B,B,1,1.0,B|B|B|B|B
52,pre,q1,B,B,1,1.0,B|B|B|B|B
53,pre,q11,B,B,1,1.0,B|B|B|B|B
54,pre,q2,B,B,1,1.0,B|B|B|B|B
55,pre,q9,A,A,1,1.0,A|A|A|A|A
56,pre,q6,A,A,1,1.0,A|A|A|A|A
57,pre,q5,B,B,1,1.0,B|B|B|B|B
58,pre,q3,B,B,1,1.0,B|B|B|B|B
59,pre,q1,B,B,1,1.0,B|B|B|B|B
60,post,q9,A,B,0,1.0,A|A|A|A|A
61,post,q0,A,A,1,1.0,A|A|A|A|A
62,post,q8,B,A,0,1.0,B|B|B|B|B
63,post,q3,B,B,1,1.0,B|B|B|B|B
64,post,q6,A,B,0,1.0,A|A|A|A|A
65,post,q2,B,A,0,1.0,B|B|B|B|B
66,post,q2,B,A,0,1.0,B|B|B|B|B
67,post,q1,B,A,0,1.0,B|B|B|B|B
68,post,q1,B,A,0,1.0,B|B|B|B|B
69,post,q4,B,A,0,1.0,B|B|B|B|B
70,post,q0,A,A,1,1.0,A|A|A|A|A
71,post,q10,A,B,0,1.0,A|A|A|A|A
72,post,q5,B,B,1,1.0,B|B|B|B|B
73,post,q10,A,B,0,1.0,A|A|A|A|A
74,post,q11,B,A,0,1.0,B|B|B|B|B
75,post,q6,A,B,0,1.0,A|A|A|A|A
76,post,q7,B,B,1,1.0,B|B|B|B|B
77,post,q8,B,A,0,1.0,B|B|B|B|B
78,post,q11,B,A,0,1.0,B|B|B|B|B
79,post,q0,A,A,1,1.0,A|A|A|A|A
