step,phase,cue,chosen,correct,reward,agreement,branches
0,pre,q3,B,B,1,1.0,B|B|B|B|B
1,pre,q1,A,B,0,0.8,A|A|A|A|B
2,pre,q8,B,B,1,0.6,B|A|A|B|B
3,pre,q7,B,B,1,0.6,A|B|B|A|B
4,pre,q6,B,B,1,0.8,B|B|B|A|B
5,pre,q11,B,B,1,1.0,B|B|B|B|B
6,pre,q1,B,B,1,1.0,B|B|B|B|B
7,pre,q1,B,B,1,1.0,B|B|B|B|B
8,pre,q6,B,B,1,1.0,B|B|B|B|B
9,pre,q0,B,B,1,1.0,B|B|B|B|B
10,pre,q1,B,B,1,1.0,B|B|B|B|B
11,pre,q9,B,A,0,1.0,B|B|B|B|B
12,pre,q11,B,B,1,1.0,B|B|B|B|B
13,pre,q6,B,B,1,1.0,B|B|B|B|B
14,pre,q6,B,B,1,1.0,B|B|B|B|B
15,pre,q7,B,B,1,1.0,B|B|B|B|B
16,pre,q10,B,B,1,1.0,B|B|B|B|B
17,pre,q4,B,B,1,1.0,B|B|B|B|B
18,pre,q9,A,A,1,1.0,A|A|A|A|A
19,pre,q8,B,B,1,0.8,A|B|B|B|B
20,pre,q2,A,B,0,1.0,A|A|A|A|A
21,pre,q10,B,B,1,1.0,B|B|B|B|B
22,pre,q6,B,B,1,1.0,B|B|B|B|B
23,pre,q3,B,B,1,1.0,B|B|B|B|B
24,pre,q8,B,B,1,1.0,B|B|B|B|B
25,pre,q9,A,A,1,1.0,A|A|A|A|A
26,pre,q11,B,B,1,1.0,B|B|B|B|B
27,pre,q1,B,B,1,1.0,B|B|B|B|B
28,pre,q3,B,B,1,1.0,B|B|B|B|B
29,pre,q6,B,B,1,1.0,B|B|B|B|B
30,pre,q3,B,B,1,1.0,B|B|B|B|B
31,pre,q2,B,B,1,1.0,B|B|B|B|B
32,pre,q2,B,B,1,1.0,B|B|B|B|B
33,pre,q10,B,B,1,1.0,B|B|B|B|B
34,pre,q7,B,B,1,1.0,B|B|B|B|B
35,pre,q1,B,B,1,0.6,B|B|B|A|A
36,pre,q8,B,B,1,1.0,B|B|B|B|B
37,pre,q11,B,B,1,1.0,B|B|B|B|B
38,pre,q7,B,B,1,1.0,B|B|B|B|B
39,pre,q0,B,B,1,1.0,B|B|B|B|B
40,pre,q7,B,B,1,1.0,B|B|B|B|B
41,pre,q7,B,B,1,1.0,B|B|B|B|B
42,pre,q9,A,A,1,1.0,A|A|A|A|A
43,pre,q1,B,B,1,0.8,B|B|B|A|B
44,pre,q8,B,B,1,1.0,B|B|B|B|B
45,pre,q7,B,B,1,1.0,B|B|B|B|B
46,pre,q8,B,B,1,1.0,B|B|B|B|B
47,pre,q7,B,B,1,1.0,B|B|B|B|B
48,pre,q5,B,B,1,0.6,A|B|A|B|B
49,pre,q6,B,B,1,1.0,B|B|B|B|B
50,pre,q8,B,B,1,1.0,B|B|B|B|B
51,pre,q2,B,B,1,1.0,B|B|B|B|B
52,pre,q0,B,B,1,1.0,B|B|B|B|B
53,pre,q3,B,B,1,1.0,B|B|B|B|B
54,pre,q1,B,B,1,0.6,B|B|B|A|A
55,pre,q0,B,B,1,1.0,B|B|B|B|B
56,pre,q7,B,B,1,1.0,B|B|B|B|B
57,pre,q6,B,B,1,1.0,B|B|B|B|B
58,pre,q7,B,B,1,1.0,B|B|B|B|B
59,pre,q1,B,B,1,0.8,B|B|B|A|B
60,post,q10,B,A,0,1.0,B|B|B|B|B
61,post,q11,B,B,1,1.0,B|B|B|B|B
62,post,q10,B,A,0,1.0,B|B|B|B|B
63,post,q4,B,A,0,1.0,B|B|B|B|B
64,post,q2,B,A,0,1.0,B|B|B|B|B
65,post,q7,B,A,0,1.0,B|B|B|B|B
66,post,q4,B,A,0,1.0,B|B|B|B|B
67,post,q7,B,A,0,0.8,B|B|B|A|B
68,post,q6,B,B,1,1.0,B|B|B|B|B
69,post,q4,B,A,0,1.0,B|B|B|B|B
70,post,q11,B,B,1,1.0,B|B|B|B|B
71,post,q2,B,A,0,1.0,B|B|B|B|B
72,post,q7,B,A,0,1.0,B|B|B|B|B
73,post,q7,A,A,1,1.0,A|A|A|A|A
74,post,q4,B,A,0,1.0,B|B|B|B|B
75,post,q4,B,A,0,0.8,B|B|B|A|B
76,post,q10,B,A,0,1.0,B|B|B|B|B
77,post,q0,B,A,0,1.0,B|B|B|B|B
78,post,q1,B,A,0,0.8,B|B|B|A|B
79,post,q3,B,A,0,1.0,B|B|B|B|B
